step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.7208,7.6903,1.34e+13,1.36e+13,655360
40,7.4930,7.5022,2.68e+13,2.73e+13,1310720
60,7.3483,7.3817,4.03e+13,4.09e+13,1966080
80,7.3069,7.3242,5.37e+13,5.45e+13,2621440
100,7.3054,7.3090,6.71e+13,6.82e+13,3276800
120,7.2698,7.2889,8.05e+13,8.18e+13,3932160
140,7.2871,7.2581,9.40e+13,9.54e+13,4587520
160,7.1663,7.1474,1.07e+14,1.09e+14,5242880
180,7.0352,7.0331,1.21e+14,1.23e+14,5898240
200,6.9299,6.9105,1.34e+14,1.36e+14,6553600
220,6.7649,6.8077,1.48e+14,1.50e+14,7208960
240,6.8200,6.7330,1.61e+14,1.64e+14,7864320
260,6.6638,6.6318,1.74e+14,1.77e+14,8519680
280,6.5315,6.5499,1.88e+14,1.91e+14,9175040
300,6.4882,6.4759,2.01e+14,2.04e+14,9830400
320,6.3491,6.4022,2.15e+14,2.18e+14,10485760
340,6.3702,6.3191,2.28e+14,2.32e+14,11141120
360,6.2536,6.2558,2.42e+14,2.45e+14,11796480
380,6.1426,6.1824,2.55e+14,2.59e+14,12451840
400,6.1172,6.1133,2.68e+14,2.73e+14,13107200
420,6.0244,6.0532,2.82e+14,2.86e+14,13762560
440,5.9629,5.9924,2.95e+14,3.00e+14,14417920
460,5.8995,5.9390,3.09e+14,3.14e+14,15073280
480,5.8462,5.8842,3.22e+14,3.27e+14,15728640
500,5.8703,5.8385,3.36e+14,3.41e+14,16384000
520,5.6927,5.7911,3.49e+14,3.54e+14,17039360
540,5.8251,5.7529,3.62e+14,3.68e+14,17694720
560,5.7705,5.7178,3.76e+14,3.82e+14,18350080
580,5.7219,5.6838,3.89e+14,3.95e+14,19005440
600,5.6670,5.6514,4.03e+14,4.09e+14,19660800
620,5.6448,5.6283,4.16e+14,4.23e+14,20316160
640,5.6478,5.5992,4.30e+14,4.36e+14,20971520
660,5.5784,5.5780,4.43e+14,4.50e+14,21626880
680,5.5730,5.5580,4.56e+14,4.63e+14,22282240
700,5.5165,5.5405,4.70e+14,4.77e+14,22937600
720,5.4772,5.5252,4.83e+14,4.91e+14,23592960
740,5.5745,5.5103,4.97e+14,5.04e+14,24248320
760,5.5661,5.4967,5.10e+14,5.18e+14,24903680
780,5.5773,5.4856,5.23e+14,5.32e+14,25559040
