step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.5558,8.4296,1.34e+13,1.36e+13,655360
40,7.4801,7.4904,2.68e+13,2.73e+13,1310720
60,7.2373,7.2744,4.03e+13,4.09e+13,1966080
80,7.0835,7.0946,5.37e+13,5.45e+13,2621440
100,6.8928,6.8849,6.71e+13,6.82e+13,3276800
120,6.6463,6.6687,8.05e+13,8.18e+13,3932160
140,6.5417,6.5141,9.40e+13,9.54e+13,4587520
160,6.4136,6.3759,1.07e+14,1.09e+14,5242880
180,6.2448,6.2596,1.21e+14,1.23e+14,5898240
200,6.1892,6.1547,1.34e+14,1.36e+14,6553600
220,6.0278,6.0695,1.48e+14,1.50e+14,7208960
240,6.0898,5.9922,1.61e+14,1.64e+14,7864320
260,5.9445,5.9244,1.74e+14,1.77e+14,8519680
280,5.8672,5.8693,1.88e+14,1.91e+14,9175040
300,5.7966,5.8169,2.01e+14,2.04e+14,9830400
320,5.6936,5.7576,2.15e+14,2.18e+14,10485760
340,5.7740,5.7099,2.28e+14,2.32e+14,11141120
360,5.6533,5.6684,2.42e+14,2.45e+14,11796480
380,5.5887,5.6280,2.55e+14,2.59e+14,12451840
400,5.6062,5.5862,2.68e+14,2.73e+14,13107200
420,5.5629,5.5524,2.82e+14,2.86e+14,13762560
440,5.4849,5.5245,2.95e+14,3.00e+14,14417920
460,5.4618,5.4932,3.09e+14,3.14e+14,15073280
480,5.4328,5.4674,3.22e+14,3.27e+14,15728640
500,5.4691,5.4431,3.36e+14,3.41e+14,16384000
520,5.3267,5.4229,3.49e+14,3.54e+14,17039360
540,5.4618,5.4042,3.62e+14,3.68e+14,17694720
560,5.4430,5.3874,3.76e+14,3.82e+14,18350080
580,5.4137,5.3723,3.89e+14,3.95e+14,19005440
600,5.3729,5.3565,4.03e+14,4.09e+14,19660800
620,5.3800,5.3434,4.16e+14,4.23e+14,20316160
640,5.3779,5.3313,4.30e+14,4.36e+14,20971520
660,5.3310,5.3221,4.43e+14,4.50e+14,21626880
680,5.3316,5.3132,4.56e+14,4.63e+14,22282240
700,5.2799,5.3062,4.70e+14,4.77e+14,22937600
720,5.2501,5.2979,4.83e+14,4.91e+14,23592960
740,5.3489,5.2917,4.97e+14,5.04e+14,24248320
760,5.3500,5.2858,5.10e+14,5.18e+14,24903680
780,5.3802,5.2798,5.23e+14,5.32e+14,25559040
