step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.8136,7.7240,3.03e+13,3.07e+13,1305600
40,7.4041,7.3552,6.06e+13,6.14e+13,2611200
60,7.0751,7.0710,9.09e+13,9.22e+13,3916800
80,6.9436,6.9314,1.21e+14,1.23e+14,5222400
100,6.8132,6.7808,1.52e+14,1.54e+14,6528000
120,6.5874,6.5862,1.82e+14,1.84e+14,7833600
140,6.3931,6.4041,2.12e+14,2.15e+14,9139200
160,6.3111,6.2703,2.42e+14,2.46e+14,10444800
180,6.2149,6.1648,2.73e+14,2.76e+14,11750400
200,6.0609,6.0776,3.03e+14,3.07e+14,13056000
220,6.0349,6.0040,3.33e+14,3.38e+14,14361600
240,5.9192,5.9369,3.64e+14,3.69e+14,15667200
260,5.8365,5.8801,3.94e+14,3.99e+14,16972800
280,5.8892,5.8341,4.24e+14,4.30e+14,18278400
300,5.8223,5.7970,4.55e+14,4.61e+14,19584000
320,5.7196,5.7674,4.85e+14,4.92e+14,20889600
340,5.7142,5.7438,5.15e+14,5.22e+14,22195200
360,5.6717,5.7246,5.45e+14,5.53e+14,23500800
380,5.8107,5.7088,5.76e+14,5.84e+14,24806400
