step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.1482,9.6833,1.17e+13,1.19e+13,655360
40,8.0178,8.2194,2.33e+13,2.37e+13,1310720
60,8.2662,7.9068,3.50e+13,3.56e+13,1966080
80,7.8892,7.7818,4.66e+13,4.75e+13,2621440
100,7.8069,7.7649,5.83e+13,5.93e+13,3276800
120,7.8193,7.7227,7.00e+13,7.12e+13,3932160
140,7.8200,7.7456,8.16e+13,8.31e+13,4587520
160,7.7742,7.7259,9.33e+13,9.49e+13,5242880
180,7.7841,7.8595,1.05e+14,1.07e+14,5898240
200,7.7819,7.7249,1.17e+14,1.19e+14,6553600
220,7.7364,7.7202,1.28e+14,1.31e+14,7208960
240,7.7327,7.7008,1.40e+14,1.42e+14,7864320
260,7.7245,7.6725,1.52e+14,1.54e+14,8519680
280,7.7035,7.6832,1.63e+14,1.66e+14,9175040
300,8.1501,7.7296,1.75e+14,1.78e+14,9830400
320,7.7386,7.7316,1.87e+14,1.90e+14,10485760
340,7.6748,7.6682,1.98e+14,2.02e+14,11141120
360,7.6498,7.6580,2.10e+14,2.14e+14,11796480
380,7.6264,7.6484,2.22e+14,2.25e+14,12451840
400,7.6363,7.6428,2.33e+14,2.37e+14,13107200
420,7.6026,7.6395,2.45e+14,2.49e+14,13762560
440,7.6026,7.6418,2.57e+14,2.61e+14,14417920
460,7.6194,7.6142,2.68e+14,2.73e+14,15073280
480,7.5960,7.6097,2.80e+14,2.85e+14,15728640
500,7.6198,7.6033,2.92e+14,2.97e+14,16384000
520,7.5962,7.5969,3.03e+14,3.09e+14,17039360
540,7.6185,7.5914,3.15e+14,3.20e+14,17694720
560,7.5819,7.5851,3.26e+14,3.32e+14,18350080
580,7.6044,7.5812,3.38e+14,3.44e+14,19005440
600,7.5920,7.5671,3.50e+14,3.56e+14,19660800
620,7.5687,7.5629,3.61e+14,3.68e+14,20316160
640,7.5391,7.5355,3.73e+14,3.80e+14,20971520
660,7.5199,7.5110,3.85e+14,3.92e+14,21626880
680,7.4845,7.4793,3.96e+14,4.04e+14,22282240
700,7.4624,7.4603,4.08e+14,4.15e+14,22937600
720,7.4354,7.4379,4.20e+14,4.27e+14,23592960
740,7.4723,7.5025,4.31e+14,4.39e+14,24248320
760,7.4456,7.3991,4.43e+14,4.51e+14,24903680
780,7.3925,7.3546,4.55e+14,4.63e+14,25559040
