step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.6666,10.6348,3.36e+12,3.41e+12,163840
20,10.1818,10.1034,6.71e+12,6.81e+12,327680
30,9.3698,9.2803,1.01e+13,1.02e+13,491520
40,8.5138,8.4571,1.34e+13,1.36e+13,655360
50,7.9188,7.8771,1.68e+13,1.70e+13,819200
60,7.7151,7.7195,2.01e+13,2.04e+13,983040
70,7.6176,7.6441,2.35e+13,2.39e+13,1146880
80,7.5737,7.5472,2.69e+13,2.73e+13,1310720
90,7.5181,7.5174,3.02e+13,3.07e+13,1474560
100,7.3337,7.3930,3.36e+13,3.41e+13,1638400
110,7.3955,7.3150,3.69e+13,3.75e+13,1802240
120,7.2599,7.2298,4.03e+13,4.09e+13,1966080
130,7.1462,7.1446,4.36e+13,4.43e+13,2129920
140,7.0368,7.0562,4.70e+13,4.77e+13,2293760
150,6.9383,6.9815,5.03e+13,5.11e+13,2457600
160,6.9165,6.9152,5.37e+13,5.45e+13,2621440
170,6.8285,6.8549,5.71e+13,5.79e+13,2785280
180,6.7444,6.8030,6.04e+13,6.13e+13,2949120
190,6.7710,6.7529,6.38e+13,6.47e+13,3112960
200,6.7194,6.7122,6.71e+13,6.81e+13,3276800
210,6.6700,6.6664,7.05e+13,7.16e+13,3440640
220,6.5953,6.6311,7.38e+13,7.50e+13,3604480
230,6.5055,6.5950,7.72e+13,7.84e+13,3768320
240,6.5821,6.5643,8.06e+13,8.18e+13,3932160
250,6.5065,6.5274,8.39e+13,8.52e+13,4096000
260,6.4852,6.4946,8.73e+13,8.86e+13,4259840
270,6.4843,6.4669,9.06e+13,9.20e+13,4423680
280,6.4201,6.4424,9.40e+13,9.54e+13,4587520
290,6.4216,6.4150,9.73e+13,9.88e+13,4751360
300,6.3525,6.3890,1.01e+14,1.02e+14,4915200
310,6.3541,6.3687,1.04e+14,1.06e+14,5079040
320,6.3639,6.3443,1.07e+14,1.09e+14,5242880
330,6.2700,6.3254,1.11e+14,1.12e+14,5406720
340,6.2822,6.3072,1.14e+14,1.16e+14,5570560
350,6.2619,6.2834,1.17e+14,1.19e+14,5734400
360,6.2647,6.2676,1.21e+14,1.23e+14,5898240
370,6.2964,6.2421,1.24e+14,1.26e+14,6062080
380,6.2795,6.2242,1.28e+14,1.29e+14,6225920
390,6.1752,6.2076,1.31e+14,1.33e+14,6389760
400,6.1574,6.1900,1.34e+14,1.36e+14,6553600
410,6.1536,6.1748,1.38e+14,1.40e+14,6717440
420,6.2200,6.1572,1.41e+14,1.43e+14,6881280
430,6.0998,6.1415,1.44e+14,1.47e+14,7045120
440,6.1381,6.1202,1.48e+14,1.50e+14,7208960
450,6.1903,6.1054,1.51e+14,1.53e+14,7372800
460,6.0687,6.0930,1.54e+14,1.57e+14,7536640
470,6.1355,6.0769,1.58e+14,1.60e+14,7700480
480,6.0523,6.0632,1.61e+14,1.64e+14,7864320
490,6.0718,6.0501,1.64e+14,1.67e+14,8028160
500,6.0569,6.0390,1.68e+14,1.70e+14,8192000
510,6.0086,6.0223,1.71e+14,1.74e+14,8355840
520,6.0293,6.0078,1.75e+14,1.77e+14,8519680
530,5.9464,5.9928,1.78e+14,1.81e+14,8683520
540,5.9725,5.9784,1.81e+14,1.84e+14,8847360
550,5.9745,5.9699,1.85e+14,1.87e+14,9011200
560,5.9393,5.9595,1.88e+14,1.91e+14,9175040
570,5.9227,5.9465,1.91e+14,1.94e+14,9338880
580,5.8590,5.9367,1.95e+14,1.98e+14,9502720
590,5.9319,5.9213,1.98e+14,2.01e+14,9666560
600,5.8423,5.9175,2.01e+14,2.04e+14,9830400
610,5.8912,5.9012,2.05e+14,2.08e+14,9994240
620,5.8678,5.8929,2.08e+14,2.11e+14,10158080
630,5.8324,5.8842,2.11e+14,2.15e+14,10321920
640,5.8975,5.8765,2.15e+14,2.18e+14,10485760
650,5.8800,5.8626,2.18e+14,2.21e+14,10649600
660,5.8609,5.8549,2.22e+14,2.25e+14,10813440
670,5.8775,5.8465,2.25e+14,2.28e+14,10977280
680,5.8385,5.8375,2.28e+14,2.32e+14,11141120
690,5.8174,5.8302,2.32e+14,2.35e+14,11304960
700,5.8933,5.8242,2.35e+14,2.39e+14,11468800
710,5.8464,5.8129,2.38e+14,2.42e+14,11632640
720,5.8057,5.8068,2.42e+14,2.45e+14,11796480
730,5.8160,5.7987,2.45e+14,2.49e+14,11960320
740,5.7800,5.7938,2.48e+14,2.52e+14,12124160
750,5.7272,5.7868,2.52e+14,2.56e+14,12288000
760,5.7694,5.7801,2.55e+14,2.59e+14,12451840
770,5.7078,5.7724,2.58e+14,2.62e+14,12615680
780,5.7254,5.7660,2.62e+14,2.66e+14,12779520
790,5.8140,5.7568,2.65e+14,2.69e+14,12943360
800,5.7257,5.7474,2.69e+14,2.73e+14,13107200
810,5.7201,5.7443,2.72e+14,2.76e+14,13271040
820,5.7776,5.7373,2.75e+14,2.79e+14,13434880
830,5.6769,5.7359,2.79e+14,2.83e+14,13598720
840,5.6803,5.7268,2.82e+14,2.86e+14,13762560
850,5.6755,5.7214,2.85e+14,2.90e+14,13926400
860,5.6911,5.7152,2.89e+14,2.93e+14,14090240
870,5.6741,5.7096,2.92e+14,2.96e+14,14254080
880,5.7020,5.7039,2.95e+14,3.00e+14,14417920
890,5.6861,5.6995,2.99e+14,3.03e+14,14581760
