step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.2105,9.1094,6.42e+12,6.62e+12,655360
40,8.4060,8.4003,1.28e+13,1.32e+13,1310720
60,8.2188,8.1760,1.93e+13,1.99e+13,1966080
80,7.9238,7.9041,2.57e+13,2.65e+13,2621440
100,7.7124,7.6995,3.21e+13,3.31e+13,3276800
120,7.5851,7.6190,3.85e+13,3.97e+13,3932160
140,7.5498,7.5268,4.49e+13,4.64e+13,4587520
160,7.5057,7.5338,5.14e+13,5.30e+13,5242880
180,7.4911,7.4594,5.78e+13,5.96e+13,5898240
200,7.4785,7.4644,6.42e+13,6.62e+13,6553600
220,7.4039,7.4760,7.06e+13,7.28e+13,7208960
240,7.4356,7.4722,7.71e+13,7.95e+13,7864320
260,7.4379,7.4350,8.35e+13,8.61e+13,8519680
280,7.3885,7.4083,8.99e+13,9.27e+13,9175040
300,7.4356,7.4050,9.63e+13,9.93e+13,9830400
320,7.4455,7.3991,1.03e+14,1.06e+14,10485760
340,7.4213,7.3869,1.09e+14,1.13e+14,11141120
360,7.3810,7.3881,1.16e+14,1.19e+14,11796480
380,7.4320,7.3686,1.22e+14,1.26e+14,12451840
400,7.3581,7.3810,1.28e+14,1.32e+14,13107200
420,7.3874,7.3675,1.35e+14,1.39e+14,13762560
440,7.4146,7.3587,1.41e+14,1.46e+14,14417920
460,7.3536,7.3597,1.48e+14,1.52e+14,15073280
480,7.3666,7.3378,1.54e+14,1.59e+14,15728640
500,7.3474,7.3285,1.61e+14,1.66e+14,16384000
520,7.3159,7.3300,1.67e+14,1.72e+14,17039360
540,7.3369,7.3103,1.73e+14,1.79e+14,17694720
560,7.3038,7.3084,1.80e+14,1.85e+14,18350080
580,7.3254,7.3005,1.86e+14,1.92e+14,19005440
600,7.3330,7.2933,1.93e+14,1.99e+14,19660800
620,7.2812,7.2886,1.99e+14,2.05e+14,20316160
640,7.2840,7.2820,2.05e+14,2.12e+14,20971520
660,7.2626,7.2770,2.12e+14,2.19e+14,21626880
680,7.2613,7.2719,2.18e+14,2.25e+14,22282240
700,7.2814,7.2705,2.25e+14,2.32e+14,22937600
720,7.2430,7.2652,2.31e+14,2.38e+14,23592960
740,7.2559,7.2641,2.38e+14,2.45e+14,24248320
760,7.2545,7.2605,2.44e+14,2.52e+14,24903680
780,7.2959,7.2612,2.50e+14,2.58e+14,25559040
800,7.2642,7.2601,2.57e+14,2.65e+14,26214400
