step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6279,10.6079,6.42e+12,6.62e+12,655360
40,10.1365,10.1070,1.28e+13,1.32e+13,1310720
60,9.5434,9.5188,1.93e+13,1.99e+13,1966080
80,9.1760,9.1587,2.57e+13,2.65e+13,2621440
100,8.9127,8.8947,3.21e+13,3.31e+13,3276800
120,8.7062,8.6900,3.85e+13,3.97e+13,3932160
140,8.5462,8.5375,4.49e+13,4.64e+13,4587520
160,8.4541,8.4345,5.14e+13,5.30e+13,5242880
180,8.3538,8.3614,5.78e+13,5.96e+13,5898240
200,8.3155,8.3044,6.42e+13,6.62e+13,6553600
220,8.2124,8.2525,7.06e+13,7.28e+13,7208960
240,8.2115,8.2041,7.71e+13,7.95e+13,7864320
260,8.1508,8.1578,8.35e+13,8.61e+13,8519680
280,8.1224,8.1134,8.99e+13,9.27e+13,9175040
300,8.0762,8.0719,9.63e+13,9.93e+13,9830400
320,8.0584,8.0343,1.03e+14,1.06e+14,10485760
340,8.0112,8.0003,1.09e+14,1.13e+14,11141120
360,7.9472,7.9695,1.16e+14,1.19e+14,11796480
380,7.9663,7.9414,1.22e+14,1.26e+14,12451840
400,7.8911,7.9156,1.28e+14,1.32e+14,13107200
420,7.9035,7.8922,1.35e+14,1.39e+14,13762560
440,7.9111,7.8706,1.41e+14,1.46e+14,14417920
460,7.8584,7.8512,1.48e+14,1.52e+14,15073280
480,7.8544,7.8333,1.54e+14,1.59e+14,15728640
500,7.8202,7.8174,1.61e+14,1.66e+14,16384000
520,7.8077,7.8028,1.67e+14,1.72e+14,17039360
540,7.8099,7.7894,1.73e+14,1.79e+14,17694720
560,7.7686,7.7773,1.80e+14,1.85e+14,18350080
580,7.7879,7.7663,1.86e+14,1.92e+14,19005440
600,7.7909,7.7562,1.93e+14,1.99e+14,19660800
620,7.7364,7.7471,1.99e+14,2.05e+14,20316160
640,7.7407,7.7387,2.05e+14,2.12e+14,20971520
660,7.7229,7.7312,2.12e+14,2.19e+14,21626880
680,7.7166,7.7244,2.18e+14,2.25e+14,22282240
700,7.7327,7.7183,2.25e+14,2.32e+14,22937600
720,7.6948,7.7127,2.31e+14,2.38e+14,23592960
740,7.7036,7.7077,2.38e+14,2.45e+14,24248320
760,7.6923,7.7031,2.44e+14,2.52e+14,24903680
780,7.7298,7.6988,2.50e+14,2.58e+14,25559040
800,7.6981,7.6949,2.57e+14,2.65e+14,26214400
