step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.3032,10.1673,3.36e+12,3.41e+12,163840
20,8.7390,8.5818,6.71e+12,6.82e+12,327680
30,7.9148,7.8858,1.01e+13,1.02e+13,491520
40,7.7405,7.7120,1.34e+13,1.36e+13,655360
50,7.6716,7.6861,1.68e+13,1.70e+13,819200
60,7.6025,7.6330,2.01e+13,2.04e+13,983040
70,7.5534,7.5901,2.35e+13,2.39e+13,1146880
80,7.5433,7.5343,2.68e+13,2.73e+13,1310720
90,7.4534,7.4807,3.02e+13,3.07e+13,1474560
100,7.3571,7.4377,3.36e+13,3.41e+13,1638400
110,7.3946,7.3799,3.69e+13,3.75e+13,1802240
120,7.3720,7.3320,4.03e+13,4.09e+13,1966080
130,7.3146,7.2850,4.36e+13,4.43e+13,2129920
140,7.1601,7.2358,4.70e+13,4.77e+13,2293760
150,7.2028,7.1974,5.03e+13,5.11e+13,2457600
160,7.1494,7.1591,5.37e+13,5.45e+13,2621440
170,7.1185,7.1160,5.70e+13,5.79e+13,2785280
180,7.0717,7.0749,6.04e+13,6.13e+13,2949120
190,7.0277,7.0287,6.38e+13,6.48e+13,3112960
200,6.9307,6.9826,6.71e+13,6.82e+13,3276800
210,6.9459,6.9335,7.05e+13,7.16e+13,3440640
220,6.8867,6.8904,7.38e+13,7.50e+13,3604480
230,6.8333,6.8496,7.72e+13,7.84e+13,3768320
240,6.8037,6.8141,8.05e+13,8.18e+13,3932160
250,6.8348,6.7785,8.39e+13,8.52e+13,4096000
260,6.6836,6.7539,8.72e+13,8.86e+13,4259840
270,6.6910,6.7209,9.06e+13,9.20e+13,4423680
280,6.6595,6.6889,9.40e+13,9.54e+13,4587520
290,6.6660,6.6684,9.73e+13,9.88e+13,4751360
300,6.6833,6.6454,1.01e+14,1.02e+14,4915200
310,6.6763,6.6202,1.04e+14,1.06e+14,5079040
320,6.6394,6.5946,1.07e+14,1.09e+14,5242880
330,6.5920,6.5746,1.11e+14,1.12e+14,5406720
340,6.4854,6.5542,1.14e+14,1.16e+14,5570560
350,6.5993,6.5329,1.17e+14,1.19e+14,5734400
360,6.5146,6.5137,1.21e+14,1.23e+14,5898240
370,6.5339,6.4984,1.24e+14,1.26e+14,6062080
380,6.5093,6.4786,1.28e+14,1.30e+14,6225920
390,6.5607,6.4634,1.31e+14,1.33e+14,6389760
400,6.4140,6.4485,1.34e+14,1.36e+14,6553600
410,6.3848,6.4308,1.38e+14,1.40e+14,6717440
420,6.4266,6.4162,1.41e+14,1.43e+14,6881280
430,6.4047,6.4073,1.44e+14,1.47e+14,7045120
440,6.4996,6.3902,1.48e+14,1.50e+14,7208960
450,6.3954,6.3763,1.51e+14,1.53e+14,7372800
460,6.3065,6.3587,1.54e+14,1.57e+14,7536640
470,6.3673,6.3461,1.58e+14,1.60e+14,7700480
480,6.5157,6.3364,1.61e+14,1.64e+14,7864320
490,6.3444,6.3245,1.64e+14,1.67e+14,8028160
500,6.3301,6.3163,1.68e+14,1.70e+14,8192000
510,6.3235,6.3037,1.71e+14,1.74e+14,8355840
520,6.2928,6.2962,1.74e+14,1.77e+14,8519680
530,6.2981,6.2849,1.78e+14,1.81e+14,8683520
540,6.2467,6.2764,1.81e+14,1.84e+14,8847360
550,6.2428,6.2652,1.85e+14,1.87e+14,9011200
560,6.3136,6.2586,1.88e+14,1.91e+14,9175040
570,6.3275,6.2489,1.91e+14,1.94e+14,9338880
580,6.2568,6.2404,1.95e+14,1.98e+14,9502720
590,6.1920,6.2323,1.98e+14,2.01e+14,9666560
600,6.2120,6.2272,2.01e+14,2.04e+14,9830400
610,6.2497,6.2207,2.05e+14,2.08e+14,9994240
620,6.2623,6.2146,2.08e+14,2.11e+14,10158080
630,6.2712,6.2094,2.11e+14,2.15e+14,10321920
640,6.1710,6.2021,2.15e+14,2.18e+14,10485760
650,6.2393,6.1962,2.18e+14,2.22e+14,10649600
660,6.2410,6.1903,2.21e+14,2.25e+14,10813440
670,6.2116,6.1850,2.25e+14,2.28e+14,10977280
680,6.2501,6.1808,2.28e+14,2.32e+14,11141120
690,6.1486,6.1778,2.32e+14,2.35e+14,11304960
700,6.0851,6.1715,2.35e+14,2.39e+14,11468800
710,6.1667,6.1684,2.38e+14,2.42e+14,11632640
720,6.1980,6.1648,2.42e+14,2.45e+14,11796480
730,6.1862,6.1613,2.45e+14,2.49e+14,11960320
740,6.0999,6.1585,2.48e+14,2.52e+14,12124160
750,6.1455,6.1567,2.52e+14,2.56e+14,12288000
760,6.1908,6.1545,2.55e+14,2.59e+14,12451840
770,6.1681,6.1531,2.58e+14,2.62e+14,12615680
780,6.1073,6.1519,2.62e+14,2.66e+14,12779520
