step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,8.2712,8.2495,3.36e+12,3.41e+12,163840
20,8.0345,7.9684,6.71e+12,6.82e+12,327680
30,7.8512,7.8255,1.01e+13,1.02e+13,491520
40,7.7941,7.7632,1.34e+13,1.36e+13,655360
50,7.7011,7.7143,1.68e+13,1.70e+13,819200
60,7.6441,7.6840,2.01e+13,2.04e+13,983040
70,7.6166,7.6577,2.35e+13,2.39e+13,1146880
80,7.6489,7.6315,2.68e+13,2.73e+13,1310720
90,7.5690,7.6029,3.02e+13,3.07e+13,1474560
100,7.4908,7.5623,3.36e+13,3.41e+13,1638400
110,7.5475,7.5390,3.69e+13,3.75e+13,1802240
120,7.5620,7.5198,4.03e+13,4.09e+13,1966080
130,7.5202,7.5034,4.36e+13,4.43e+13,2129920
140,7.4030,7.4869,4.70e+13,4.77e+13,2293760
150,7.4777,7.4743,5.03e+13,5.11e+13,2457600
160,7.4576,7.4616,5.37e+13,5.45e+13,2621440
170,7.4386,7.4448,5.70e+13,5.79e+13,2785280
180,7.4126,7.4294,6.04e+13,6.13e+13,2949120
190,7.3969,7.4092,6.38e+13,6.48e+13,3112960
200,7.3453,7.3889,6.71e+13,6.82e+13,3276800
210,7.3570,7.3638,7.05e+13,7.16e+13,3440640
220,7.3427,7.3294,7.38e+13,7.50e+13,3604480
230,7.2888,7.3065,7.72e+13,7.84e+13,3768320
240,7.2570,7.2820,8.05e+13,8.18e+13,3932160
250,7.3106,7.2609,8.39e+13,8.52e+13,4096000
260,7.1818,7.2485,8.72e+13,8.86e+13,4259840
270,7.1994,7.2132,9.06e+13,9.20e+13,4423680
280,7.1379,7.1867,9.40e+13,9.54e+13,4587520
290,7.1448,7.1577,9.73e+13,9.88e+13,4751360
300,7.1660,7.1383,1.01e+14,1.02e+14,4915200
310,7.1381,7.0962,1.04e+14,1.06e+14,5079040
320,7.1093,7.0641,1.07e+14,1.09e+14,5242880
330,7.0584,7.0468,1.11e+14,1.12e+14,5406720
340,6.9721,7.0149,1.14e+14,1.16e+14,5570560
350,7.0499,6.9972,1.17e+14,1.19e+14,5734400
360,6.9719,6.9634,1.21e+14,1.23e+14,5898240
370,6.9749,6.9419,1.24e+14,1.26e+14,6062080
380,6.9354,6.9156,1.28e+14,1.30e+14,6225920
390,6.9965,6.8879,1.31e+14,1.33e+14,6389760
400,6.8217,6.8697,1.34e+14,1.36e+14,6553600
410,6.7922,6.8392,1.38e+14,1.40e+14,6717440
420,6.8186,6.8183,1.41e+14,1.43e+14,6881280
430,6.8050,6.7968,1.44e+14,1.47e+14,7045120
440,6.9064,6.7785,1.48e+14,1.50e+14,7208960
450,6.7802,6.7604,1.51e+14,1.53e+14,7372800
460,6.6828,6.7475,1.54e+14,1.57e+14,7536640
470,6.7348,6.7235,1.58e+14,1.60e+14,7700480
480,6.8896,6.7143,1.61e+14,1.64e+14,7864320
490,6.7115,6.6930,1.64e+14,1.67e+14,8028160
500,6.6820,6.6773,1.68e+14,1.70e+14,8192000
510,6.6823,6.6590,1.71e+14,1.74e+14,8355840
520,6.6561,6.6567,1.74e+14,1.77e+14,8519680
530,6.6525,6.6388,1.78e+14,1.81e+14,8683520
540,6.5986,6.6219,1.81e+14,1.84e+14,8847360
550,6.5659,6.6001,1.85e+14,1.87e+14,9011200
560,6.6389,6.5827,1.88e+14,1.91e+14,9175040
570,6.6546,6.5764,1.91e+14,1.94e+14,9338880
580,6.5711,6.5541,1.95e+14,1.98e+14,9502720
590,6.5023,6.5382,1.98e+14,2.01e+14,9666560
600,6.5115,6.5226,2.01e+14,2.04e+14,9830400
610,6.5459,6.5134,2.05e+14,2.08e+14,9994240
620,6.5400,6.4954,2.08e+14,2.11e+14,10158080
630,6.5698,6.4842,2.11e+14,2.15e+14,10321920
640,6.4501,6.4750,2.15e+14,2.18e+14,10485760
650,6.5236,6.4569,2.18e+14,2.22e+14,10649600
660,6.4931,6.4450,2.21e+14,2.25e+14,10813440
670,6.4641,6.4306,2.25e+14,2.28e+14,10977280
680,6.4985,6.4200,2.28e+14,2.32e+14,11141120
690,6.3790,6.4098,2.32e+14,2.35e+14,11304960
700,6.3157,6.4030,2.35e+14,2.39e+14,11468800
710,6.3884,6.3908,2.38e+14,2.42e+14,11632640
720,6.4231,6.3823,2.42e+14,2.45e+14,11796480
730,6.3841,6.3682,2.45e+14,2.49e+14,11960320
740,6.2998,6.3562,2.48e+14,2.52e+14,12124160
750,6.3441,6.3454,2.52e+14,2.56e+14,12288000
760,6.3740,6.3342,2.55e+14,2.59e+14,12451840
770,6.3534,6.3294,2.58e+14,2.62e+14,12615680
780,6.2714,6.3187,2.62e+14,2.66e+14,12779520
