step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,8.1338,8.1625,3.36e+12,3.41e+12,163840
20,8.1103,7.9939,6.71e+12,6.82e+12,327680
30,7.8202,7.8309,1.01e+13,1.02e+13,491520
40,7.7605,7.7641,1.34e+13,1.36e+13,655360
50,7.7130,7.7198,1.68e+13,1.70e+13,819200
60,7.6626,7.6998,2.01e+13,2.04e+13,983040
70,7.6568,7.6976,2.35e+13,2.39e+13,1146880
80,7.6893,7.6969,2.68e+13,2.73e+13,1310720
90,7.6605,7.6983,3.02e+13,3.07e+13,1474560
100,7.6047,7.6980,3.36e+13,3.41e+13,1638400
110,7.7099,7.6982,3.69e+13,3.75e+13,1802240
120,7.7300,7.6941,4.03e+13,4.09e+13,1966080
130,7.7162,7.6962,4.36e+13,4.43e+13,2129920
140,7.6084,7.6918,4.70e+13,4.77e+13,2293760
150,7.6853,7.6905,5.03e+13,5.11e+13,2457600
160,7.6918,7.6969,5.37e+13,5.45e+13,2621440
170,7.6751,7.6861,5.70e+13,5.79e+13,2785280
180,7.6696,7.6891,6.04e+13,6.13e+13,2949120
190,7.6847,7.6913,6.38e+13,6.48e+13,3112960
200,7.6158,7.6839,6.71e+13,6.82e+13,3276800
210,7.6750,7.6865,7.05e+13,7.16e+13,3440640
220,7.7066,7.6902,7.38e+13,7.50e+13,3604480
230,7.6551,7.6812,7.72e+13,7.84e+13,3768320
240,7.6487,7.6816,8.05e+13,8.18e+13,3932160
250,7.7209,7.6873,8.39e+13,8.52e+13,4096000
260,7.6189,7.6871,8.72e+13,8.86e+13,4259840
270,7.6674,7.6800,9.06e+13,9.20e+13,4423680
280,7.6265,7.6832,9.40e+13,9.54e+13,4587520
290,7.6630,7.6835,9.73e+13,9.88e+13,4751360
300,7.7083,7.6787,1.01e+14,1.02e+14,4915200
310,7.7234,7.6772,1.04e+14,1.06e+14,5079040
320,7.7010,7.6778,1.07e+14,1.09e+14,5242880
330,7.6686,7.6771,1.11e+14,1.12e+14,5406720
340,7.6449,7.6745,1.14e+14,1.16e+14,5570560
350,7.6877,7.6738,1.17e+14,1.19e+14,5734400
360,7.6959,7.6745,1.21e+14,1.23e+14,5898240
370,7.7062,7.6742,1.24e+14,1.26e+14,6062080
380,7.6662,7.6721,1.28e+14,1.30e+14,6225920
390,7.7691,7.6721,1.31e+14,1.33e+14,6389760
400,7.6123,7.6722,1.34e+14,1.36e+14,6553600
410,7.6228,7.6708,1.38e+14,1.40e+14,6717440
420,7.6471,7.6685,1.41e+14,1.43e+14,6881280
430,7.6686,7.6681,1.44e+14,1.47e+14,7045120
440,7.7536,7.6697,1.48e+14,1.50e+14,7208960
450,7.6826,7.6683,1.51e+14,1.53e+14,7372800
460,7.6419,7.6676,1.54e+14,1.57e+14,7536640
470,7.6956,7.6661,1.58e+14,1.60e+14,7700480
480,7.8196,7.6654,1.61e+14,1.64e+14,7864320
490,7.6545,7.6641,1.64e+14,1.67e+14,8028160
500,7.6478,7.6632,1.68e+14,1.70e+14,8192000
510,7.6683,7.6628,1.71e+14,1.74e+14,8355840
520,7.6546,7.6625,1.74e+14,1.77e+14,8519680
530,7.6733,7.6611,1.78e+14,1.81e+14,8683520
540,7.6515,7.6607,1.81e+14,1.84e+14,8847360
550,7.6143,7.6606,1.85e+14,1.87e+14,9011200
560,7.6888,7.6596,1.88e+14,1.91e+14,9175040
570,7.7294,7.6583,1.91e+14,1.94e+14,9338880
580,7.6737,7.6580,1.95e+14,1.98e+14,9502720
590,7.6274,7.6571,1.98e+14,2.01e+14,9666560
600,7.6283,7.6572,2.01e+14,2.04e+14,9830400
610,7.6772,7.6563,2.05e+14,2.08e+14,9994240
620,7.6871,7.6553,2.08e+14,2.11e+14,10158080
630,7.6970,7.6548,2.11e+14,2.15e+14,10321920
640,7.6517,7.6544,2.15e+14,2.18e+14,10485760
650,7.6836,7.6541,2.18e+14,2.22e+14,10649600
660,7.7010,7.6532,2.21e+14,2.25e+14,10813440
670,7.6432,7.6530,2.25e+14,2.28e+14,10977280
680,7.6813,7.6524,2.28e+14,2.32e+14,11141120
690,7.6101,7.6526,2.32e+14,2.35e+14,11304960
700,7.5970,7.6531,2.35e+14,2.39e+14,11468800
710,7.6261,7.6519,2.38e+14,2.42e+14,11632640
720,7.6733,7.6516,2.42e+14,2.45e+14,11796480
730,7.6469,7.6510,2.45e+14,2.49e+14,11960320
740,7.6162,7.6513,2.48e+14,2.52e+14,12124160
750,7.6386,7.6512,2.52e+14,2.56e+14,12288000
760,7.6930,7.6510,2.55e+14,2.59e+14,12451840
770,7.6352,7.6509,2.58e+14,2.62e+14,12615680
780,7.6128,7.6510,2.62e+14,2.66e+14,12779520
