step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.7059,9.6355,8.37e+12,8.37e+12,409600
100,7.7198,7.6773,1.67e+13,1.67e+13,819200
150,7.3226,7.2809,2.51e+13,2.51e+13,1228800
200,6.8527,6.8981,3.35e+13,3.35e+13,1638400
250,6.6556,6.6588,4.19e+13,4.18e+13,2048000
300,6.3612,6.5009,5.02e+13,5.02e+13,2457600
350,6.2663,6.3735,5.86e+13,5.86e+13,2867200
400,6.2159,6.2854,6.70e+13,6.70e+13,3276800
450,6.2019,6.2126,7.53e+13,7.53e+13,3686400
500,6.1106,6.1432,8.37e+13,8.37e+13,4096000
550,5.9923,6.0920,9.21e+13,9.21e+13,4505600
600,6.0396,6.0447,1.00e+14,1.00e+14,4915200
650,5.9952,6.0068,1.09e+14,1.09e+14,5324800
700,5.9777,5.9639,1.17e+14,1.17e+14,5734400
750,5.9468,5.9453,1.26e+14,1.26e+14,6144000
800,6.0665,5.9103,1.34e+14,1.34e+14,6553600
850,5.7357,5.8798,1.42e+14,1.42e+14,6963200
900,5.7512,5.8422,1.51e+14,1.51e+14,7372800
950,5.8589,5.8082,1.59e+14,1.59e+14,7782400
1000,5.7231,5.7877,1.67e+14,1.67e+14,8192000
1050,5.7950,5.7689,1.76e+14,1.76e+14,8601600
1100,5.6861,5.7508,1.84e+14,1.84e+14,9011200
1150,5.6063,5.7270,1.93e+14,1.92e+14,9420800
1200,5.6282,5.7090,2.01e+14,2.01e+14,9830400
1250,5.6435,5.6945,2.09e+14,2.09e+14,10240000
1300,5.6968,5.6755,2.18e+14,2.18e+14,10649600
1350,5.6114,5.6605,2.26e+14,2.26e+14,11059200
1400,5.6608,5.6544,2.34e+14,2.34e+14,11468800
1450,5.6813,5.6380,2.43e+14,2.43e+14,11878400
1500,5.5793,5.6351,2.51e+14,2.51e+14,12288000
1550,5.4033,5.6189,2.60e+14,2.59e+14,12697600
1600,5.5656,5.6053,2.68e+14,2.68e+14,13107200
1650,5.5598,5.5943,2.76e+14,2.76e+14,13516800
1700,5.4564,5.5823,2.85e+14,2.85e+14,13926400
1750,5.6415,5.5750,2.93e+14,2.93e+14,14336000
1800,5.6900,5.5700,3.01e+14,3.01e+14,14745600
1850,5.4728,5.5607,3.10e+14,3.10e+14,15155200
1900,5.4814,5.5553,3.18e+14,3.18e+14,15564800
1950,5.5218,5.5485,3.26e+14,3.26e+14,15974400
2000,5.4054,5.5385,3.35e+14,3.35e+14,16384000
2050,5.4331,5.5295,3.43e+14,3.43e+14,16793600
2100,5.4292,5.5252,3.52e+14,3.52e+14,17203200
2150,5.5376,5.5161,3.60e+14,3.60e+14,17612800
2200,5.6388,5.5148,3.68e+14,3.68e+14,18022400
2250,5.5782,5.5072,3.77e+14,3.77e+14,18432000
2300,5.3718,5.4983,3.85e+14,3.85e+14,18841600
2350,5.3406,5.4945,3.93e+14,3.93e+14,19251200
2400,5.4687,5.4846,4.02e+14,4.02e+14,19660800
2450,5.4934,5.4848,4.10e+14,4.10e+14,20070400
2500,5.5986,5.4744,4.19e+14,4.18e+14,20480000
2550,5.5348,5.4704,4.27e+14,4.27e+14,20889600
2600,5.3182,5.4642,4.35e+14,4.35e+14,21299200
2650,5.3682,5.4607,4.44e+14,4.44e+14,21708800
2700,5.4515,5.4547,4.52e+14,4.52e+14,22118400
2750,5.4132,5.4498,4.60e+14,4.60e+14,22528000
2800,5.4027,5.4504,4.69e+14,4.69e+14,22937600
2850,5.3483,5.4394,4.77e+14,4.77e+14,23347200
2900,5.5766,5.4401,4.86e+14,4.85e+14,23756800
2950,5.3621,5.4335,4.94e+14,4.94e+14,24166400
3000,5.4042,5.4321,5.02e+14,5.02e+14,24576000
3050,5.2759,5.4268,5.11e+14,5.11e+14,24985600
3100,5.3721,5.4207,5.19e+14,5.19e+14,25395200
3150,5.4057,5.4213,5.27e+14,5.27e+14,25804800
3200,5.2930,5.4157,5.36e+14,5.36e+14,26214400
3250,5.2901,5.4093,5.44e+14,5.44e+14,26624000
3300,5.3861,5.4085,5.53e+14,5.52e+14,27033600
3350,5.3793,5.4078,5.61e+14,5.61e+14,27443200
3400,5.3667,5.3964,5.69e+14,5.69e+14,27852800
3450,5.4133,5.3940,5.78e+14,5.77e+14,28262400
3500,5.4306,5.3914,5.86e+14,5.86e+14,28672000
3550,5.3432,5.3960,5.94e+14,5.94e+14,29081600
3600,5.2808,5.3856,6.03e+14,6.03e+14,29491200
3650,5.3410,5.3832,6.11e+14,6.11e+14,29900800
3700,5.3750,5.3776,6.20e+14,6.19e+14,30310400
3750,5.5473,5.3774,6.28e+14,6.28e+14,30720000
3800,5.2712,5.3737,6.36e+14,6.36e+14,31129600
3850,5.2731,5.3728,6.45e+14,6.44e+14,31539200
3900,5.0997,5.3725,6.53e+14,6.53e+14,31948800
3950,5.2625,5.3673,6.61e+14,6.61e+14,32358400
4000,5.3774,5.3601,6.70e+14,6.70e+14,32768000
4050,5.3628,5.3604,6.78e+14,6.78e+14,33177600
4100,5.2772,5.3561,6.86e+14,6.86e+14,33587200
4150,5.2982,5.3500,6.95e+14,6.95e+14,33996800
4200,5.2983,5.3480,7.03e+14,7.03e+14,34406400
4250,5.3401,5.3466,7.12e+14,7.11e+14,34816000
4300,5.2882,5.3388,7.20e+14,7.20e+14,35225600
4350,5.2592,5.3406,7.28e+14,7.28e+14,35635200
4400,5.2376,5.3371,7.37e+14,7.37e+14,36044800
4450,5.3596,5.3344,7.45e+14,7.45e+14,36454400
4500,5.2674,5.3326,7.53e+14,7.53e+14,36864000
4550,5.3700,5.3243,7.62e+14,7.62e+14,37273600
4600,5.2454,5.3251,7.70e+14,7.70e+14,37683200
4650,5.2040,5.3239,7.79e+14,7.78e+14,38092800
4700,5.2479,5.3186,7.87e+14,7.87e+14,38502400
4750,5.3035,5.3149,7.95e+14,7.95e+14,38912000
4800,5.1572,5.3119,8.04e+14,8.03e+14,39321600
4850,5.3034,5.3105,8.12e+14,8.12e+14,39731200
4900,5.2670,5.3059,8.20e+14,8.20e+14,40140800
4950,5.2676,5.3042,8.29e+14,8.29e+14,40550400
5000,5.2197,5.3028,8.37e+14,8.37e+14,40960000
5050,5.4094,5.3011,8.46e+14,8.45e+14,41369600
5100,5.2942,5.2980,8.54e+14,8.54e+14,41779200
5150,5.2487,5.2935,8.62e+14,8.62e+14,42188800
5200,5.1489,5.2927,8.71e+14,8.70e+14,42598400
5250,5.2421,5.2877,8.79e+14,8.79e+14,43008000
5300,5.2230,5.2847,8.87e+14,8.87e+14,43417600
5350,5.3162,5.2838,8.96e+14,8.96e+14,43827200
5400,5.0965,5.2791,9.04e+14,9.04e+14,44236800
5450,5.2350,5.2746,9.13e+14,9.12e+14,44646400
5500,5.2451,5.2736,9.21e+14,9.21e+14,45056000
5550,5.1974,5.2706,9.29e+14,9.29e+14,45465600
5600,5.3037,5.2711,9.38e+14,9.37e+14,45875200
5650,5.1758,5.2657,9.46e+14,9.46e+14,46284800
5700,5.2318,5.2637,9.54e+14,9.54e+14,46694400
5750,5.1457,5.2618,9.63e+14,9.62e+14,47104000
5800,5.2750,5.2607,9.71e+14,9.71e+14,47513600
5850,5.1905,5.2571,9.79e+14,9.79e+14,47923200
5900,5.2118,5.2541,9.88e+14,9.88e+14,48332800
5950,5.1908,5.2522,9.96e+14,9.96e+14,48742400
6000,5.1880,5.2502,1.00e+15,1.00e+15,49152000
6050,5.2664,5.2469,1.01e+15,1.01e+15,49561600
6100,5.0703,5.2437,1.02e+15,1.02e+15,49971200
6150,5.2348,5.2406,1.03e+15,1.03e+15,50380800
6200,5.1040,5.2380,1.04e+15,1.04e+15,50790400
6250,5.1980,5.2348,1.05e+15,1.05e+15,51200000
6300,5.2728,5.2347,1.05e+15,1.05e+15,51609600
6350,5.1701,5.2327,1.06e+15,1.06e+15,52019200
6400,5.1699,5.2289,1.07e+15,1.07e+15,52428800
6450,5.0637,5.2283,1.08e+15,1.08e+15,52838400
6500,5.0453,5.2262,1.09e+15,1.09e+15,53248000
6550,5.1228,5.2222,1.10e+15,1.10e+15,53657600
6600,5.1805,5.2204,1.11e+15,1.10e+15,54067200
6650,5.1908,5.2188,1.11e+15,1.11e+15,54476800
6700,5.1958,5.2157,1.12e+15,1.12e+15,54886400
6750,5.1507,5.2145,1.13e+15,1.13e+15,55296000
6800,5.2741,5.2125,1.14e+15,1.14e+15,55705600
6850,5.0559,5.2099,1.15e+15,1.15e+15,56115200
6900,4.9919,5.2084,1.16e+15,1.15e+15,56524800
6950,5.1135,5.2064,1.16e+15,1.16e+15,56934400
7000,5.1443,5.2054,1.17e+15,1.17e+15,57344000
7050,5.1160,5.2039,1.18e+15,1.18e+15,57753600
7100,5.1804,5.2014,1.19e+15,1.19e+15,58163200
7150,5.2051,5.2007,1.20e+15,1.20e+15,58572800
7200,5.1619,5.1991,1.21e+15,1.21e+15,58982400
7250,5.0829,5.1980,1.21e+15,1.21e+15,59392000
7300,5.1180,5.1970,1.22e+15,1.22e+15,59801600
7350,5.0941,5.1965,1.23e+15,1.23e+15,60211200
