step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8348,10.8333,8.37e+12,8.37e+12,409600
100,10.8136,10.8124,1.67e+13,1.67e+13,819200
150,10.7573,10.7639,2.51e+13,2.51e+13,1228800
200,10.7023,10.6966,3.35e+13,3.35e+13,1638400
250,10.6326,10.6317,4.19e+13,4.18e+13,2048000
300,10.5617,10.5654,5.02e+13,5.02e+13,2457600
350,10.4873,10.4916,5.86e+13,5.86e+13,2867200
400,10.4028,10.4077,6.70e+13,6.70e+13,3276800
450,10.3126,10.3128,7.53e+13,7.53e+13,3686400
500,10.2076,10.2069,8.37e+13,8.37e+13,4096000
550,10.0848,10.0899,9.21e+13,9.21e+13,4505600
600,9.9625,9.9622,1.00e+14,1.00e+14,4915200
650,9.8192,9.8249,1.09e+14,1.09e+14,5324800
700,9.7000,9.6792,1.17e+14,1.17e+14,5734400
750,9.5288,9.5271,1.26e+14,1.26e+14,6144000
800,9.4115,9.3795,1.34e+14,1.34e+14,6553600
850,9.2227,9.2413,1.42e+14,1.42e+14,6963200
900,9.1031,9.1118,1.51e+14,1.51e+14,7372800
950,9.0332,8.9912,1.59e+14,1.59e+14,7782400
1000,8.8367,8.8797,1.67e+14,1.67e+14,8192000
1050,8.7676,8.7752,1.76e+14,1.76e+14,8601600
1100,8.6530,8.6786,1.84e+14,1.84e+14,9011200
1150,8.5619,8.5884,1.93e+14,1.92e+14,9420800
1200,8.4878,8.5050,2.01e+14,2.01e+14,9830400
1250,8.4188,8.4276,2.09e+14,2.09e+14,10240000
1300,8.4216,8.3557,2.18e+14,2.18e+14,10649600
1350,8.2599,8.2900,2.26e+14,2.26e+14,11059200
1400,8.2436,8.2289,2.34e+14,2.34e+14,11468800
1450,8.1919,8.1719,2.43e+14,2.43e+14,11878400
1500,8.1055,8.1203,2.51e+14,2.51e+14,12288000
1550,7.9945,8.0718,2.60e+14,2.59e+14,12697600
1600,8.0343,8.0274,2.68e+14,2.68e+14,13107200
1650,7.9845,7.9859,2.76e+14,2.76e+14,13516800
1700,7.9245,7.9478,2.85e+14,2.85e+14,13926400
1750,7.8976,7.9125,2.93e+14,2.93e+14,14336000
1800,7.9714,7.8803,3.01e+14,3.01e+14,14745600
1850,7.8162,7.8501,3.10e+14,3.10e+14,15155200
1900,7.8369,7.8221,3.18e+14,3.18e+14,15564800
1950,7.7735,7.7961,3.26e+14,3.26e+14,15974400
2000,7.7165,7.7720,3.35e+14,3.35e+14,16384000
2050,7.7569,7.7495,3.43e+14,3.43e+14,16793600
2100,7.7413,7.7285,3.52e+14,3.52e+14,17203200
2150,7.7907,7.7087,3.60e+14,3.60e+14,17612800
2200,7.7466,7.6906,3.68e+14,3.68e+14,18022400
2250,7.7136,7.6734,3.77e+14,3.77e+14,18432000
2300,7.6739,7.6572,3.85e+14,3.85e+14,18841600
2350,7.5476,7.6423,3.93e+14,3.93e+14,19251200
2400,7.7352,7.6283,4.02e+14,4.02e+14,19660800
2450,7.5986,7.6152,4.10e+14,4.10e+14,20070400
2500,7.6909,7.6026,4.19e+14,4.18e+14,20480000
2550,7.6117,7.5906,4.27e+14,4.27e+14,20889600
2600,7.4568,7.5789,4.35e+14,4.35e+14,21299200
2650,7.5200,7.5674,4.44e+14,4.44e+14,21708800
2700,7.5813,7.5545,4.52e+14,4.52e+14,22118400
2750,7.5035,7.5437,4.60e+14,4.60e+14,22528000
2800,7.5192,7.5330,4.69e+14,4.69e+14,22937600
2850,7.5052,7.5225,4.77e+14,4.77e+14,23347200
2900,7.6616,7.5119,4.86e+14,4.85e+14,23756800
2950,7.4475,7.5015,4.94e+14,4.94e+14,24166400
3000,7.4860,7.4912,5.02e+14,5.02e+14,24576000
3050,7.3920,7.4806,5.11e+14,5.11e+14,24985600
3100,7.5614,7.4703,5.19e+14,5.19e+14,25395200
3150,7.5203,7.4598,5.27e+14,5.27e+14,25804800
3200,7.3133,7.4497,5.36e+14,5.36e+14,26214400
3250,7.3941,7.4396,5.44e+14,5.44e+14,26624000
3300,7.4562,7.4294,5.53e+14,5.52e+14,27033600
3350,7.4671,7.4196,5.61e+14,5.61e+14,27443200
3400,7.4877,7.4097,5.69e+14,5.69e+14,27852800
3450,7.4556,7.4001,5.78e+14,5.77e+14,28262400
3500,7.4486,7.3902,5.86e+14,5.86e+14,28672000
3550,7.4190,7.3803,5.94e+14,5.94e+14,29081600
3600,7.3506,7.3711,6.03e+14,6.03e+14,29491200
3650,7.2836,7.3616,6.11e+14,6.11e+14,29900800
3700,7.3464,7.3526,6.20e+14,6.19e+14,30310400
3750,7.3880,7.3432,6.28e+14,6.28e+14,30720000
3800,7.3153,7.3341,6.36e+14,6.36e+14,31129600
3850,7.2004,7.3253,6.45e+14,6.44e+14,31539200
3900,7.1819,7.3169,6.53e+14,6.53e+14,31948800
3950,7.2454,7.3080,6.61e+14,6.61e+14,32358400
4000,7.3797,7.2993,6.70e+14,6.70e+14,32768000
4050,7.3425,7.2913,6.78e+14,6.78e+14,33177600
4100,7.2946,7.2831,6.86e+14,6.86e+14,33587200
4150,7.3116,7.2751,6.95e+14,6.95e+14,33996800
4200,7.2386,7.2671,7.03e+14,7.03e+14,34406400
4250,7.2973,7.2597,7.12e+14,7.11e+14,34816000
4300,7.3829,7.2523,7.20e+14,7.20e+14,35225600
4350,7.2406,7.2452,7.28e+14,7.28e+14,35635200
4400,7.1661,7.2375,7.37e+14,7.37e+14,36044800
4450,7.3050,7.2305,7.45e+14,7.45e+14,36454400
4500,7.2435,7.2235,7.53e+14,7.53e+14,36864000
4550,7.2727,7.2166,7.62e+14,7.62e+14,37273600
4600,7.2020,7.2100,7.70e+14,7.70e+14,37683200
