step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.4949,9.4449,8.39e+12,8.52e+12,409600
100,7.6853,7.6895,1.68e+13,1.70e+13,819200
150,7.3865,7.3612,2.52e+13,2.56e+13,1228800
200,6.9617,6.9659,3.36e+13,3.41e+13,1638400
250,6.8074,6.7354,4.19e+13,4.26e+13,2048000
300,6.5240,6.5691,5.03e+13,5.11e+13,2457600
350,6.4413,6.4443,5.87e+13,5.96e+13,2867200
400,6.3580,6.3519,6.71e+13,6.82e+13,3276800
450,6.2805,6.2759,7.55e+13,7.67e+13,3686400
500,6.2603,6.2134,8.39e+13,8.52e+13,4096000
550,6.1013,6.1406,9.23e+13,9.37e+13,4505600
600,6.0866,6.0957,1.01e+14,1.02e+14,4915200
650,6.0892,6.0458,1.09e+14,1.11e+14,5324800
700,5.9777,6.0076,1.17e+14,1.19e+14,5734400
750,5.9140,5.9652,1.26e+14,1.28e+14,6144000
800,5.8962,5.9211,1.34e+14,1.36e+14,6553600
850,5.8434,5.8845,1.43e+14,1.45e+14,6963200
900,5.8813,5.8512,1.51e+14,1.53e+14,7372800
950,5.7420,5.8283,1.59e+14,1.62e+14,7782400
1000,5.8608,5.8060,1.68e+14,1.70e+14,8192000
1050,5.8024,5.7774,1.76e+14,1.79e+14,8601600
1100,5.7367,5.7583,1.85e+14,1.87e+14,9011200
1150,5.7399,5.7386,1.93e+14,1.96e+14,9420800
1200,5.6410,5.7237,2.01e+14,2.04e+14,9830400
1250,5.5952,5.7123,2.10e+14,2.13e+14,10240000
1300,5.8120,5.6935,2.18e+14,2.22e+14,10649600
1350,5.7437,5.6828,2.27e+14,2.30e+14,11059200
1400,5.7427,5.6680,2.35e+14,2.39e+14,11468800
1450,5.6276,5.6521,2.43e+14,2.47e+14,11878400
1500,5.6121,5.6422,2.52e+14,2.56e+14,12288000
1550,5.5604,5.6305,2.60e+14,2.64e+14,12697600
1600,5.5996,5.6171,2.68e+14,2.73e+14,13107200
1650,5.6525,5.6045,2.77e+14,2.81e+14,13516800
1700,5.5830,5.6005,2.85e+14,2.90e+14,13926400
1750,5.5771,5.6010,2.94e+14,2.98e+14,14336000
