step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5114,9.4374,8.39e+12,8.52e+12,409600
100,7.7028,7.6660,1.68e+13,1.70e+13,819200
150,7.3425,7.2792,2.52e+13,2.56e+13,1228800
200,6.9681,6.9277,3.36e+13,3.41e+13,1638400
250,6.6488,6.6962,4.19e+13,4.26e+13,2048000
300,6.5601,6.5465,5.03e+13,5.11e+13,2457600
350,6.5110,6.4272,5.87e+13,5.96e+13,2867200
400,6.3008,6.3414,6.71e+13,6.82e+13,3276800
450,6.2429,6.2593,7.55e+13,7.67e+13,3686400
500,6.1567,6.1890,8.39e+13,8.52e+13,4096000
550,6.1038,6.1296,9.23e+13,9.37e+13,4505600
600,6.1121,6.0827,1.01e+14,1.02e+14,4915200
650,6.0531,6.0366,1.09e+14,1.11e+14,5324800
700,5.9351,6.0070,1.17e+14,1.19e+14,5734400
750,5.9750,5.9505,1.26e+14,1.28e+14,6144000
800,5.9560,5.9124,1.34e+14,1.36e+14,6553600
850,5.8955,5.8767,1.43e+14,1.45e+14,6963200
900,5.7837,5.8408,1.51e+14,1.53e+14,7372800
950,5.8769,5.8116,1.59e+14,1.62e+14,7782400
1000,5.8865,5.7864,1.68e+14,1.70e+14,8192000
1050,5.6835,5.7661,1.76e+14,1.79e+14,8601600
1100,5.8558,5.7431,1.85e+14,1.87e+14,9011200
1150,5.6144,5.7261,1.93e+14,1.96e+14,9420800
1200,5.6861,5.7123,2.01e+14,2.04e+14,9830400
1250,5.6287,5.6964,2.10e+14,2.13e+14,10240000
1300,5.6721,5.6767,2.18e+14,2.22e+14,10649600
1350,5.5504,5.6684,2.27e+14,2.30e+14,11059200
1400,5.6598,5.6594,2.35e+14,2.39e+14,11468800
1450,5.6561,5.6415,2.43e+14,2.47e+14,11878400
1500,5.5694,5.6299,2.52e+14,2.56e+14,12288000
1550,5.6323,5.6210,2.60e+14,2.64e+14,12697600
1600,5.5966,5.6060,2.68e+14,2.73e+14,13107200
1650,5.6514,5.5989,2.77e+14,2.81e+14,13516800
1700,5.5792,5.5921,2.85e+14,2.90e+14,13926400
1750,5.5392,5.5825,2.94e+14,2.98e+14,14336000
1800,5.4185,5.5668,3.02e+14,3.07e+14,14745600
1850,5.5331,5.5639,3.10e+14,3.15e+14,15155200
1900,5.4672,5.5551,3.19e+14,3.24e+14,15564800
1950,5.5173,5.5465,3.27e+14,3.32e+14,15974400
2000,5.5789,5.5418,3.36e+14,3.41e+14,16384000
2050,5.4599,5.5322,3.44e+14,3.49e+14,16793600
2100,5.5892,5.5277,3.52e+14,3.58e+14,17203200
2150,5.5153,5.5189,3.61e+14,3.66e+14,17612800
2200,5.6220,5.5109,3.69e+14,3.75e+14,18022400
2250,5.5022,5.5021,3.78e+14,3.83e+14,18432000
2300,5.5371,5.4973,3.86e+14,3.92e+14,18841600
2350,5.4861,5.4889,3.94e+14,4.00e+14,19251200
2400,5.5381,5.4891,4.03e+14,4.09e+14,19660800
2450,5.4991,5.4828,4.11e+14,4.17e+14,20070400
2500,5.4611,5.4762,4.19e+14,4.26e+14,20480000
2550,5.5074,5.4702,4.28e+14,4.35e+14,20889600
2600,5.4030,5.4689,4.36e+14,4.43e+14,21299200
2650,5.5300,5.4591,4.45e+14,4.52e+14,21708800
2700,5.3893,5.4510,4.53e+14,4.60e+14,22118400
2750,5.5162,5.4512,4.61e+14,4.69e+14,22528000
2800,5.4874,5.4450,4.70e+14,4.77e+14,22937600
2850,5.4050,5.4398,4.78e+14,4.86e+14,23347200
2900,5.4164,5.4336,4.87e+14,4.94e+14,23756800
2950,5.4777,5.4270,4.95e+14,5.03e+14,24166400
3000,5.3219,5.4278,5.03e+14,5.11e+14,24576000
3050,5.4590,5.4208,5.12e+14,5.20e+14,24985600
3100,5.4640,5.4181,5.20e+14,5.28e+14,25395200
3150,5.3676,5.4113,5.29e+14,5.37e+14,25804800
3200,5.4169,5.4114,5.37e+14,5.45e+14,26214400
3250,5.4691,5.4043,5.45e+14,5.54e+14,26624000
3300,5.3367,5.3951,5.54e+14,5.62e+14,27033600
3350,5.4067,5.3923,5.62e+14,5.71e+14,27443200
3400,5.3932,5.3896,5.70e+14,5.79e+14,27852800
3450,5.5168,5.3858,5.79e+14,5.88e+14,28262400
3500,5.3626,5.3805,5.87e+14,5.96e+14,28672000
3550,5.3805,5.3761,5.96e+14,6.05e+14,29081600
3600,5.3823,5.3783,6.04e+14,6.13e+14,29491200
3650,5.3742,5.3712,6.12e+14,6.22e+14,29900800
3700,5.3399,5.3666,6.21e+14,6.30e+14,30310400
3750,5.3998,5.3587,6.29e+14,6.39e+14,30720000
3800,5.4072,5.3575,6.38e+14,6.48e+14,31129600
3850,5.3311,5.3553,6.46e+14,6.56e+14,31539200
3900,5.3556,5.3493,6.54e+14,6.65e+14,31948800
3950,5.4043,5.3455,6.63e+14,6.73e+14,32358400
4000,5.3435,5.3408,6.71e+14,6.82e+14,32768000
4050,5.3038,5.3360,6.80e+14,6.90e+14,33177600
4100,5.3335,5.3335,6.88e+14,6.99e+14,33587200
4150,5.3053,5.3289,6.96e+14,7.07e+14,33996800
4200,5.3597,5.3269,7.05e+14,7.16e+14,34406400
4250,5.3793,5.3220,7.13e+14,7.24e+14,34816000
4300,5.4113,5.3174,7.21e+14,7.33e+14,35225600
4350,5.2034,5.3150,7.30e+14,7.41e+14,35635200
