step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.3521,10.3250,8.39e+12,8.52e+12,409600
100,9.0998,9.0961,1.68e+13,1.70e+13,819200
150,7.9614,7.9339,2.52e+13,2.56e+13,1228800
200,7.5305,7.6234,3.36e+13,3.41e+13,1638400
250,7.3222,7.3979,4.19e+13,4.26e+13,2048000
300,7.1507,7.1689,5.03e+13,5.11e+13,2457600
350,6.8956,6.9502,5.87e+13,5.96e+13,2867200
400,6.7808,6.7688,6.71e+13,6.82e+13,3276800
450,6.7133,6.6398,7.55e+13,7.67e+13,3686400
500,6.5487,6.5284,8.39e+13,8.52e+13,4096000
550,6.4890,6.4311,9.23e+13,9.37e+13,4505600
600,6.4372,6.3593,1.01e+14,1.02e+14,4915200
650,6.2750,6.2830,1.09e+14,1.11e+14,5324800
700,6.2382,6.2237,1.17e+14,1.19e+14,5734400
750,6.1351,6.1656,1.26e+14,1.28e+14,6144000
800,6.0631,6.1015,1.34e+14,1.36e+14,6553600
850,6.0476,6.0544,1.43e+14,1.45e+14,6963200
900,5.9224,6.0084,1.51e+14,1.53e+14,7372800
950,6.0349,5.9693,1.59e+14,1.62e+14,7782400
1000,5.9270,5.9290,1.68e+14,1.70e+14,8192000
1050,5.8551,5.8948,1.76e+14,1.79e+14,8601600
1100,5.8150,5.8656,1.85e+14,1.87e+14,9011200
1150,5.8395,5.8401,1.93e+14,1.96e+14,9420800
1200,5.8299,5.8136,2.01e+14,2.04e+14,9830400
1250,5.8268,5.7912,2.10e+14,2.13e+14,10240000
1300,5.7918,5.7706,2.18e+14,2.22e+14,10649600
1350,5.7959,5.7506,2.27e+14,2.30e+14,11059200
1400,5.7246,5.7267,2.35e+14,2.39e+14,11468800
1450,5.6534,5.7102,2.43e+14,2.47e+14,11878400
1500,5.6255,5.6973,2.52e+14,2.56e+14,12288000
1550,5.6860,5.6821,2.60e+14,2.64e+14,12697600
1600,5.7060,5.6669,2.68e+14,2.73e+14,13107200
1650,5.6668,5.6538,2.77e+14,2.81e+14,13516800
1700,5.6537,5.6384,2.85e+14,2.90e+14,13926400
1750,5.7100,5.6246,2.94e+14,2.98e+14,14336000
1800,5.7437,5.6162,3.02e+14,3.07e+14,14745600
1850,5.5852,5.6030,3.10e+14,3.15e+14,15155200
1900,5.6293,5.5982,3.19e+14,3.24e+14,15564800
1950,5.5383,5.5859,3.27e+14,3.32e+14,15974400
2000,5.4922,5.5723,3.36e+14,3.41e+14,16384000
2050,5.5563,5.5626,3.44e+14,3.49e+14,16793600
2100,5.4766,5.5568,3.52e+14,3.58e+14,17203200
2150,5.4983,5.5462,3.61e+14,3.66e+14,17612800
2200,5.5882,5.5378,3.69e+14,3.75e+14,18022400
2250,5.5913,5.5298,3.78e+14,3.83e+14,18432000
2300,5.5749,5.5194,3.86e+14,3.92e+14,18841600
2350,5.5239,5.5181,3.94e+14,4.00e+14,19251200
2400,5.4822,5.5106,4.03e+14,4.09e+14,19660800
2450,5.5399,5.5017,4.11e+14,4.17e+14,20070400
2500,5.5388,5.4959,4.19e+14,4.26e+14,20480000
2550,5.4526,5.4885,4.28e+14,4.35e+14,20889600
2600,5.4424,5.4820,4.36e+14,4.43e+14,21299200
2650,5.5342,5.4775,4.45e+14,4.52e+14,21708800
2700,5.3913,5.4690,4.53e+14,4.60e+14,22118400
2750,5.5289,5.4635,4.61e+14,4.69e+14,22528000
2800,5.4392,5.4576,4.70e+14,4.77e+14,22937600
2850,5.4119,5.4554,4.78e+14,4.86e+14,23347200
2900,5.5430,5.4456,4.87e+14,4.94e+14,23756800
2950,5.4896,5.4407,4.95e+14,5.03e+14,24166400
3000,5.4415,5.4369,5.03e+14,5.11e+14,24576000
3050,5.4719,5.4338,5.12e+14,5.20e+14,24985600
3100,5.5026,5.4263,5.20e+14,5.28e+14,25395200
3150,5.4828,5.4229,5.29e+14,5.37e+14,25804800
3200,5.4216,5.4164,5.37e+14,5.45e+14,26214400
3250,5.2750,5.4127,5.45e+14,5.54e+14,26624000
3300,5.3640,5.4092,5.54e+14,5.62e+14,27033600
3350,5.4478,5.4031,5.62e+14,5.71e+14,27443200
3400,5.5021,5.3991,5.70e+14,5.79e+14,27852800
3450,5.3716,5.3970,5.79e+14,5.88e+14,28262400
3500,5.2365,5.3881,5.87e+14,5.96e+14,28672000
3550,5.3744,5.3868,5.96e+14,6.05e+14,29081600
3600,5.3743,5.3806,6.04e+14,6.13e+14,29491200
3650,5.3263,5.3776,6.12e+14,6.22e+14,29900800
3700,5.3562,5.3757,6.21e+14,6.30e+14,30310400
3750,5.2752,5.3708,6.29e+14,6.39e+14,30720000
3800,5.3038,5.3663,6.38e+14,6.48e+14,31129600
3850,5.3108,5.3634,6.46e+14,6.56e+14,31539200
3900,5.3825,5.3612,6.54e+14,6.65e+14,31948800
3950,5.2858,5.3572,6.63e+14,6.73e+14,32358400
4000,5.2821,5.3546,6.71e+14,6.82e+14,32768000
4050,5.3511,5.3493,6.80e+14,6.90e+14,33177600
4100,5.4848,5.3457,6.88e+14,6.99e+14,33587200
4150,5.2126,5.3412,6.96e+14,7.07e+14,33996800
4200,5.2652,5.3401,7.05e+14,7.16e+14,34406400
4250,5.2645,5.3358,7.13e+14,7.24e+14,34816000
4300,5.3730,5.3327,7.21e+14,7.33e+14,35225600
4350,5.2640,5.3301,7.30e+14,7.41e+14,35635200
4400,5.3546,5.3252,7.38e+14,7.50e+14,36044800
4450,5.2404,5.3227,7.47e+14,7.58e+14,36454400
4500,5.3915,5.3197,7.55e+14,7.67e+14,36864000
4550,5.3305,5.3169,7.63e+14,7.75e+14,37273600
4600,5.2711,5.3147,7.72e+14,7.84e+14,37683200
4650,5.2513,5.3100,7.80e+14,7.92e+14,38092800
4700,5.2958,5.3085,7.89e+14,8.01e+14,38502400
4750,5.3793,5.3043,7.97e+14,8.09e+14,38912000
4800,5.3059,5.3029,8.05e+14,8.18e+14,39321600
4850,5.2367,5.3001,8.14e+14,8.26e+14,39731200
4900,5.2566,5.2971,8.22e+14,8.35e+14,40140800
4950,5.2453,5.2945,8.31e+14,8.43e+14,40550400
5000,5.3261,5.2910,8.39e+14,8.52e+14,40960000
5050,5.3212,5.2904,8.47e+14,8.61e+14,41369600
5100,5.2997,5.2881,8.56e+14,8.69e+14,41779200
5150,5.3331,5.2855,8.64e+14,8.78e+14,42188800
5200,5.3182,5.2832,8.73e+14,8.86e+14,42598400
5250,5.2721,5.2819,8.81e+14,8.95e+14,43008000
5300,5.1615,5.2798,8.89e+14,9.03e+14,43417600
5350,5.1957,5.2764,8.98e+14,9.12e+14,43827200
5400,5.2213,5.2746,9.06e+14,9.20e+14,44236800
5450,5.3023,5.2732,9.14e+14,9.29e+14,44646400
5500,5.3399,5.2700,9.23e+14,9.37e+14,45056000
5550,5.2648,5.2693,9.31e+14,9.46e+14,45465600
5600,5.2022,5.2681,9.40e+14,9.54e+14,45875200
5650,5.2328,5.2646,9.48e+14,9.63e+14,46284800
5700,5.1666,5.2638,9.56e+14,9.71e+14,46694400
5750,5.1815,5.2621,9.65e+14,9.80e+14,47104000
5800,5.1952,5.2601,9.73e+14,9.88e+14,47513600
5850,5.3060,5.2585,9.82e+14,9.97e+14,47923200
5900,5.2008,5.2571,9.90e+14,1.01e+15,48332800
5950,5.2144,5.2549,9.98e+14,1.01e+15,48742400
6000,5.1958,5.2545,1.01e+15,1.02e+15,49152000
6050,5.2264,5.2527,1.02e+15,1.03e+15,49561600
6100,5.2407,5.2518,1.02e+15,1.04e+15,49971200
6150,5.2546,5.2507,1.03e+15,1.05e+15,50380800
6200,5.1957,5.2493,1.04e+15,1.06e+15,50790400
6250,5.3397,5.2482,1.05e+15,1.06e+15,51200000
6300,5.2912,5.2469,1.06e+15,1.07e+15,51609600
6350,5.2642,5.2456,1.07e+15,1.08e+15,52019200
6400,5.2721,5.2451,1.07e+15,1.09e+15,52428800
6450,5.1414,5.2444,1.08e+15,1.10e+15,52838400
6500,5.1438,5.2429,1.09e+15,1.11e+15,53248000
6550,5.2167,5.2429,1.10e+15,1.12e+15,53657600
6600,5.2679,5.2419,1.11e+15,1.12e+15,54067200
6650,5.1475,5.2414,1.12e+15,1.13e+15,54476800
6700,5.1721,5.2403,1.12e+15,1.14e+15,54886400
6750,5.1631,5.2400,1.13e+15,1.15e+15,55296000
