step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.4215,10.4030,8.39e+12,8.52e+12,409600
100,9.1679,9.1479,1.68e+13,1.70e+13,819200
150,8.0144,7.9594,2.52e+13,2.56e+13,1228800
200,7.7324,7.6823,3.36e+13,3.41e+13,1638400
250,7.7439,7.6835,4.19e+13,4.26e+13,2048000
300,7.6333,7.6877,5.03e+13,5.11e+13,2457600
350,7.5054,7.5405,5.87e+13,5.96e+13,2867200
400,7.3408,7.4081,6.71e+13,6.82e+13,3276800
450,7.2686,7.2235,7.55e+13,7.67e+13,3686400
500,7.0253,6.9963,8.39e+13,8.52e+13,4096000
550,6.8196,6.8393,9.23e+13,9.37e+13,4505600
600,6.6447,6.7436,1.01e+14,1.02e+14,4915200
650,6.6377,6.6560,1.09e+14,1.11e+14,5324800
700,6.5278,6.5699,1.17e+14,1.19e+14,5734400
750,6.5378,6.5005,1.26e+14,1.28e+14,6144000
800,6.4413,6.4324,1.34e+14,1.36e+14,6553600
850,6.4250,6.3664,1.43e+14,1.45e+14,6963200
900,6.3210,6.3130,1.51e+14,1.53e+14,7372800
950,6.2767,6.2559,1.59e+14,1.62e+14,7782400
1000,6.1652,6.2092,1.68e+14,1.70e+14,8192000
1050,6.1937,6.1592,1.76e+14,1.79e+14,8601600
1100,6.0960,6.1203,1.85e+14,1.87e+14,9011200
1150,6.0943,6.0742,1.93e+14,1.96e+14,9420800
1200,6.0503,6.0431,2.01e+14,2.04e+14,9830400
1250,6.0949,6.0042,2.10e+14,2.13e+14,10240000
1300,6.0149,5.9749,2.18e+14,2.22e+14,10649600
1350,6.0109,5.9476,2.26e+14,2.30e+14,11059200
1400,5.8897,5.9183,2.35e+14,2.39e+14,11468800
1450,5.9873,5.8970,2.43e+14,2.47e+14,11878400
1500,5.8281,5.8716,2.52e+14,2.56e+14,12288000
1550,5.8549,5.8488,2.60e+14,2.64e+14,12697600
1600,5.8465,5.8355,2.68e+14,2.73e+14,13107200
1650,5.8244,5.8138,2.77e+14,2.81e+14,13516800
1700,5.8400,5.7951,2.85e+14,2.90e+14,13926400
1750,5.7675,5.7812,2.94e+14,2.98e+14,14336000
1800,5.6816,5.7655,3.02e+14,3.07e+14,14745600
1850,5.6787,5.7475,3.10e+14,3.15e+14,15155200
1900,5.7732,5.7362,3.19e+14,3.24e+14,15564800
1950,5.8083,5.7199,3.27e+14,3.32e+14,15974400
2000,5.7966,5.7066,3.36e+14,3.41e+14,16384000
2050,5.8057,5.6947,3.44e+14,3.49e+14,16793600
2100,5.6341,5.6836,3.52e+14,3.58e+14,17203200
2150,5.6454,5.6750,3.61e+14,3.66e+14,17612800
2200,5.7792,5.6610,3.69e+14,3.75e+14,18022400
2250,5.6454,5.6539,3.77e+14,3.83e+14,18432000
2300,5.7531,5.6475,3.86e+14,3.92e+14,18841600
2350,5.6256,5.6388,3.94e+14,4.00e+14,19251200
2400,5.7306,5.6240,4.03e+14,4.09e+14,19660800
2450,5.6468,5.6155,4.11e+14,4.17e+14,20070400
2500,5.6872,5.6069,4.19e+14,4.26e+14,20480000
2550,5.6978,5.6015,4.28e+14,4.35e+14,20889600
2600,5.6212,5.5927,4.36e+14,4.43e+14,21299200
2650,5.5965,5.5851,4.45e+14,4.52e+14,21708800
2700,5.4949,5.5789,4.53e+14,4.60e+14,22118400
2750,5.5053,5.5728,4.61e+14,4.69e+14,22528000
2800,5.5853,5.5648,4.70e+14,4.77e+14,22937600
2850,5.6739,5.5610,4.78e+14,4.86e+14,23347200
2900,5.6162,5.5543,4.87e+14,4.94e+14,23756800
2950,5.5332,5.5449,4.95e+14,5.03e+14,24166400
3000,5.5539,5.5381,5.03e+14,5.11e+14,24576000
3050,5.6131,5.5344,5.12e+14,5.20e+14,24985600
3100,5.5011,5.5271,5.20e+14,5.28e+14,25395200
3150,5.5521,5.5228,5.28e+14,5.37e+14,25804800
3200,5.6658,5.5156,5.37e+14,5.45e+14,26214400
3250,5.5061,5.5103,5.45e+14,5.54e+14,26624000
3300,5.3971,5.5052,5.54e+14,5.62e+14,27033600
3350,5.4739,5.5012,5.62e+14,5.71e+14,27443200
3400,5.6817,5.4953,5.70e+14,5.79e+14,27852800
3450,5.4499,5.4903,5.79e+14,5.88e+14,28262400
3500,5.4677,5.4849,5.87e+14,5.96e+14,28672000
3550,5.5321,5.4826,5.96e+14,6.05e+14,29081600
3600,5.5025,5.4763,6.04e+14,6.13e+14,29491200
3650,5.4291,5.4709,6.12e+14,6.22e+14,29900800
3700,5.5117,5.4690,6.21e+14,6.30e+14,30310400
3750,5.4733,5.4632,6.29e+14,6.39e+14,30720000
3800,5.4184,5.4611,6.38e+14,6.48e+14,31129600
3850,5.5376,5.4552,6.46e+14,6.56e+14,31539200
3900,5.5752,5.4505,6.54e+14,6.65e+14,31948800
3950,5.3424,5.4450,6.63e+14,6.73e+14,32358400
4000,5.5567,5.4462,6.71e+14,6.82e+14,32768000
4050,5.4306,5.4383,6.79e+14,6.90e+14,33177600
