step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.4462,9.3984,8.55e+12,8.68e+12,409600
100,7.6815,7.6822,1.71e+13,1.74e+13,819200
150,7.3161,7.2890,2.57e+13,2.61e+13,1228800
200,6.9046,6.9073,3.42e+13,3.47e+13,1638400
250,6.7573,6.6783,4.28e+13,4.34e+13,2048000
300,6.4808,6.5269,5.13e+13,5.21e+13,2457600
350,6.3916,6.3973,5.99e+13,6.08e+13,2867200
400,6.3285,6.3052,6.84e+13,6.95e+13,3276800
450,6.2389,6.2388,7.70e+13,7.82e+13,3686400
500,6.2375,6.1835,8.55e+13,8.68e+13,4096000
550,6.0678,6.1164,9.41e+13,9.55e+13,4505600
600,6.0493,6.0651,1.03e+14,1.04e+14,4915200
650,6.0607,6.0221,1.11e+14,1.13e+14,5324800
700,5.9485,5.9793,1.20e+14,1.22e+14,5734400
750,5.8763,5.9388,1.28e+14,1.30e+14,6144000
800,5.8614,5.8944,1.37e+14,1.39e+14,6553600
850,5.8187,5.8589,1.45e+14,1.48e+14,6963200
900,5.8539,5.8250,1.54e+14,1.56e+14,7372800
950,5.7242,5.8022,1.62e+14,1.65e+14,7782400
1000,5.8197,5.7785,1.71e+14,1.74e+14,8192000
1050,5.7728,5.7541,1.80e+14,1.82e+14,8601600
1100,5.7106,5.7315,1.88e+14,1.91e+14,9011200
1150,5.7172,5.7111,1.97e+14,2.00e+14,9420800
1200,5.6262,5.6982,2.05e+14,2.08e+14,9830400
1250,5.5766,5.6825,2.14e+14,2.17e+14,10240000
1300,5.7866,5.6655,2.22e+14,2.26e+14,10649600
1350,5.7164,5.6496,2.31e+14,2.34e+14,11059200
1400,5.7133,5.6337,2.39e+14,2.43e+14,11468800
1450,5.6014,5.6249,2.48e+14,2.52e+14,11878400
1500,5.5730,5.6102,2.57e+14,2.61e+14,12288000
1550,5.5373,5.5977,2.65e+14,2.69e+14,12697600
1600,5.5824,5.5874,2.74e+14,2.78e+14,13107200
1650,5.6189,5.5799,2.82e+14,2.87e+14,13516800
1700,5.5536,5.5754,2.91e+14,2.95e+14,13926400
1750,5.5494,5.5641,2.99e+14,3.04e+14,14336000
1800,5.5333,5.5509,3.08e+14,3.13e+14,14745600
1850,5.6511,5.5420,3.16e+14,3.21e+14,15155200
1900,5.5454,5.5334,3.25e+14,3.30e+14,15564800
1950,5.4795,5.5255,3.34e+14,3.39e+14,15974400
2000,5.3719,5.5185,3.42e+14,3.47e+14,16384000
2050,5.6595,5.5095,3.51e+14,3.56e+14,16793600
2100,5.5267,5.5056,3.59e+14,3.65e+14,17203200
2150,5.5548,5.5016,3.68e+14,3.73e+14,17612800
2200,5.5384,5.4915,3.76e+14,3.82e+14,18022400
2250,5.4519,5.4851,3.85e+14,3.91e+14,18432000
2300,5.4424,5.4753,3.93e+14,3.99e+14,18841600
2350,5.4680,5.4763,4.02e+14,4.08e+14,19251200
2400,5.3936,5.4646,4.10e+14,4.17e+14,19660800
2450,5.3993,5.4563,4.19e+14,4.25e+14,20070400
2500,5.4114,5.4549,4.28e+14,4.34e+14,20480000
2550,5.4420,5.4493,4.36e+14,4.43e+14,20889600
2600,5.4638,5.4358,4.45e+14,4.52e+14,21299200
2650,5.4021,5.4372,4.53e+14,4.60e+14,21708800
2700,5.3797,5.4322,4.62e+14,4.69e+14,22118400
2750,5.3616,5.4256,4.70e+14,4.78e+14,22528000
2800,5.4071,5.4229,4.79e+14,4.86e+14,22937600
2850,5.4221,5.4154,4.87e+14,4.95e+14,23347200
2900,5.4663,5.4095,4.96e+14,5.04e+14,23756800
2950,5.4183,5.4055,5.05e+14,5.12e+14,24166400
3000,5.3695,5.4034,5.13e+14,5.21e+14,24576000
3050,5.3296,5.3958,5.22e+14,5.30e+14,24985600
3100,5.4442,5.3919,5.30e+14,5.38e+14,25395200
3150,5.2890,5.3895,5.39e+14,5.47e+14,25804800
3200,5.4041,5.3820,5.47e+14,5.56e+14,26214400
3250,5.4293,5.3832,5.56e+14,5.64e+14,26624000
3300,5.2538,5.3710,5.64e+14,5.73e+14,27033600
3350,5.3885,5.3698,5.73e+14,5.82e+14,27443200
3400,5.4332,5.3668,5.82e+14,5.90e+14,27852800
3450,5.4254,5.3619,5.90e+14,5.99e+14,28262400
3500,5.4894,5.3575,5.99e+14,6.08e+14,28672000
3550,5.3825,5.3487,6.07e+14,6.17e+14,29081600
3600,5.3143,5.3469,6.16e+14,6.25e+14,29491200
