step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.8280,7.7952,8.39e+12,8.52e+12,409600
100,7.5588,7.6343,1.68e+13,1.70e+13,819200
150,7.4831,7.4470,2.52e+13,2.56e+13,1228800
200,7.0941,7.1855,3.36e+13,3.41e+13,1638400
250,7.0050,7.0491,4.19e+13,4.26e+13,2048000
300,6.8633,6.9176,5.03e+13,5.11e+13,2457600
350,6.7978,6.8195,5.87e+13,5.96e+13,2867200
400,6.6906,6.7473,6.71e+13,6.82e+13,3276800
450,6.6919,6.6802,7.55e+13,7.67e+13,3686400
500,6.7557,6.6087,8.39e+13,8.52e+13,4096000
550,6.5357,6.5380,9.23e+13,9.37e+13,4505600
600,6.5159,6.4611,1.01e+14,1.02e+14,4915200
650,6.4513,6.3913,1.09e+14,1.11e+14,5324800
700,6.3722,6.3397,1.17e+14,1.19e+14,5734400
750,6.3302,6.2802,1.26e+14,1.28e+14,6144000
800,6.2498,6.2342,1.34e+14,1.36e+14,6553600
850,6.1216,6.1974,1.43e+14,1.45e+14,6963200
900,6.2058,6.1584,1.51e+14,1.53e+14,7372800
950,6.0826,6.1253,1.59e+14,1.62e+14,7782400
1000,6.1275,6.0970,1.68e+14,1.70e+14,8192000
1050,6.1060,6.0623,1.76e+14,1.79e+14,8601600
1100,5.9273,6.0374,1.85e+14,1.87e+14,9011200
1150,5.9388,6.0075,1.93e+14,1.96e+14,9420800
1200,5.8818,5.9731,2.01e+14,2.04e+14,9830400
1250,5.9266,5.9479,2.10e+14,2.13e+14,10240000
1300,5.9635,5.9224,2.18e+14,2.22e+14,10649600
1350,5.8225,5.9032,2.27e+14,2.30e+14,11059200
1400,5.8287,5.8799,2.35e+14,2.39e+14,11468800
1450,5.8071,5.8529,2.43e+14,2.47e+14,11878400
1500,5.8910,5.8328,2.52e+14,2.56e+14,12288000
1550,5.7843,5.8097,2.60e+14,2.64e+14,12697600
