step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.7822,7.7419,8.39e+12,8.52e+12,409600
100,7.6545,7.7321,1.68e+13,1.70e+13,819200
150,7.8028,7.7732,2.52e+13,2.56e+13,1228800
200,7.6336,7.7165,3.36e+13,3.41e+13,1638400
250,7.6743,7.7133,4.19e+13,4.26e+13,2048000
300,7.6269,7.7027,5.03e+13,5.11e+13,2457600
350,7.6447,7.6962,5.87e+13,5.96e+13,2867200
400,7.6304,7.6932,6.71e+13,6.82e+13,3276800
450,7.7410,7.6872,7.55e+13,7.67e+13,3686400
500,7.8429,7.6850,8.39e+13,8.52e+13,4096000
550,7.7305,7.6819,9.23e+13,9.37e+13,4505600
600,7.7268,7.6813,1.01e+14,1.02e+14,4915200
650,7.7075,7.6765,1.09e+14,1.11e+14,5324800
700,7.6718,7.6746,1.17e+14,1.19e+14,5734400
750,7.7411,7.6723,1.26e+14,1.28e+14,6144000
800,7.6463,7.6716,1.34e+14,1.36e+14,6553600
850,7.6100,7.6684,1.43e+14,1.45e+14,6963200
900,7.6607,7.6677,1.51e+14,1.53e+14,7372800
950,7.6473,7.6666,1.59e+14,1.62e+14,7782400
1000,7.6534,7.6645,1.68e+14,1.70e+14,8192000
1050,7.6905,7.6616,1.76e+14,1.79e+14,8601600
1100,7.5524,7.6606,1.85e+14,1.87e+14,9011200
1150,7.5963,7.6594,1.93e+14,1.96e+14,9420800
1200,7.5668,7.6570,2.01e+14,2.04e+14,9830400
1250,7.6268,7.6556,2.10e+14,2.13e+14,10240000
1300,7.6878,7.6555,2.18e+14,2.22e+14,10649600
1350,7.6380,7.6539,2.27e+14,2.30e+14,11059200
1400,7.6634,7.6527,2.35e+14,2.39e+14,11468800
1450,7.6026,7.6529,2.43e+14,2.47e+14,11878400
1500,7.7186,7.6524,2.52e+14,2.56e+14,12288000
1550,7.5951,7.6522,2.60e+14,2.64e+14,12697600
