step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.7648,7.7506,8.39e+12,8.52e+12,409600
100,7.3738,7.4476,1.68e+13,1.70e+13,819200
150,7.0690,7.0401,2.52e+13,2.56e+13,1228800
200,6.6826,6.7737,3.36e+13,3.41e+13,1638400
250,6.5747,6.6013,4.19e+13,4.26e+13,2048000
300,6.4486,6.4798,5.03e+13,5.11e+13,2457600
350,6.3419,6.3777,5.87e+13,5.96e+13,2867200
400,6.2579,6.2925,6.71e+13,6.82e+13,3276800
450,6.2150,6.2224,7.55e+13,7.67e+13,3686400
500,6.2733,6.1596,8.39e+13,8.52e+13,4096000
550,6.1111,6.0941,9.23e+13,9.37e+13,4505600
600,6.1156,6.0450,1.01e+14,1.02e+14,4915200
650,6.0505,5.9996,1.09e+14,1.11e+14,5324800
700,5.9736,5.9501,1.17e+14,1.19e+14,5734400
750,5.9440,5.8992,1.26e+14,1.28e+14,6144000
800,5.8749,5.8652,1.34e+14,1.36e+14,6553600
850,5.7267,5.8245,1.43e+14,1.45e+14,6963200
900,5.8425,5.7927,1.51e+14,1.53e+14,7372800
950,5.6931,5.7675,1.59e+14,1.62e+14,7782400
1000,5.7535,5.7362,1.68e+14,1.70e+14,8192000
1050,5.7560,5.7074,1.76e+14,1.79e+14,8601600
1100,5.5713,5.6823,1.85e+14,1.87e+14,9011200
1150,5.5868,5.6638,1.93e+14,1.96e+14,9420800
1200,5.5333,5.6428,2.01e+14,2.04e+14,9830400
1250,5.6091,5.6242,2.10e+14,2.13e+14,10240000
1300,5.6408,5.6091,2.18e+14,2.22e+14,10649600
1350,5.5460,5.5964,2.27e+14,2.30e+14,11059200
1400,5.5259,5.5837,2.35e+14,2.39e+14,11468800
1450,5.5521,5.5721,2.43e+14,2.47e+14,11878400
1500,5.6195,5.5628,2.52e+14,2.56e+14,12288000
1550,5.5558,5.5559,2.60e+14,2.64e+14,12697600
