step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.6607,10.6200,7.87e+12,7.93e+12,163840
20,9.5422,9.4797,1.57e+13,1.59e+13,327680
30,12.1976,12.1470,2.36e+13,2.38e+13,491520
40,10.1933,9.5097,3.15e+13,3.17e+13,655360
50,9.4064,9.2805,3.94e+13,3.97e+13,819200
60,8.9711,8.8090,4.72e+13,4.76e+13,983040
70,8.8413,8.8304,5.51e+13,5.55e+13,1146880
80,8.5881,8.5616,6.30e+13,6.35e+13,1310720
90,8.5302,8.5491,7.09e+13,7.14e+13,1474560
100,8.4057,8.4013,7.87e+13,7.93e+13,1638400
110,8.4035,8.4012,8.66e+13,8.73e+13,1802240
120,8.4738,8.3756,9.45e+13,9.52e+13,1966080
130,8.3485,8.2683,1.02e+14,1.03e+14,2129920
140,8.1766,8.2387,1.10e+14,1.11e+14,2293760
150,8.1714,8.1787,1.18e+14,1.19e+14,2457600
160,8.1445,8.1691,1.26e+14,1.27e+14,2621440
170,8.1616,8.1373,1.34e+14,1.35e+14,2785280
180,8.0996,8.0966,1.42e+14,1.43e+14,2949120
190,8.0505,8.0615,1.50e+14,1.51e+14,3112960
200,8.0185,8.0485,1.57e+14,1.59e+14,3276800
210,8.0542,8.0131,1.65e+14,1.67e+14,3440640
220,7.9844,7.9938,1.73e+14,1.75e+14,3604480
230,7.9489,7.9578,1.81e+14,1.82e+14,3768320
240,7.9472,7.9440,1.89e+14,1.90e+14,3932160
250,7.8494,7.9236,1.97e+14,1.98e+14,4096000
260,7.8685,7.9070,2.05e+14,2.06e+14,4259840
270,7.9764,7.8835,2.13e+14,2.14e+14,4423680
280,7.8614,7.8625,2.20e+14,2.22e+14,4587520
290,7.8954,7.8446,2.28e+14,2.30e+14,4751360
300,7.8473,7.8282,2.36e+14,2.38e+14,4915200
310,7.8646,7.8182,2.44e+14,2.46e+14,5079040
320,7.8041,7.8035,2.52e+14,2.54e+14,5242880
330,7.7546,7.7911,2.60e+14,2.62e+14,5406720
340,7.7262,7.7785,2.68e+14,2.70e+14,5570560
