step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.8278,10.8269,2.17e+12,2.19e+12,81920
20,10.8142,10.8123,4.33e+12,4.38e+12,163840
30,10.7947,10.7928,6.50e+12,6.58e+12,245760
40,10.7812,10.7770,8.66e+12,8.77e+12,327680
50,10.7589,10.7583,1.08e+13,1.10e+13,409600
60,10.7348,10.7320,1.30e+13,1.32e+13,491520
70,10.6995,10.6956,1.52e+13,1.53e+13,573440
80,10.6535,10.6476,1.73e+13,1.75e+13,655360
90,10.5934,10.5873,1.95e+13,1.97e+13,737280
100,10.5187,10.5139,2.17e+13,2.19e+13,819200
110,10.4398,10.4275,2.38e+13,2.41e+13,901120
120,10.3332,10.3282,2.60e+13,2.63e+13,983040
130,10.2490,10.2160,2.82e+13,2.85e+13,1064960
140,10.0873,10.0910,3.03e+13,3.07e+13,1146880
150,9.9525,9.9531,3.25e+13,3.29e+13,1228800
160,9.7715,9.8053,3.46e+13,3.51e+13,1310720
170,9.6349,9.6570,3.68e+13,3.73e+13,1392640
180,9.5458,9.5320,3.90e+13,3.95e+13,1474560
190,9.4936,9.4624,4.11e+13,4.17e+13,1556480
200,9.4377,9.4294,4.33e+13,4.38e+13,1638400
210,9.3306,9.3717,4.55e+13,4.60e+13,1720320
220,9.2633,9.2703,4.76e+13,4.82e+13,1802240
230,9.1934,9.1868,4.98e+13,5.04e+13,1884160
240,9.1238,9.1464,5.20e+13,5.26e+13,1966080
250,9.0977,9.1141,5.41e+13,5.48e+13,2048000
260,9.1448,9.0852,5.63e+13,5.70e+13,2129920
270,9.0727,9.0398,5.85e+13,5.92e+13,2211840
280,9.0329,8.9825,6.06e+13,6.14e+13,2293760
290,8.9585,8.9304,6.28e+13,6.36e+13,2375680
300,8.8921,8.8900,6.50e+13,6.58e+13,2457600
310,8.9270,8.8554,6.71e+13,6.80e+13,2539520
320,8.8118,8.8209,6.93e+13,7.02e+13,2621440
330,8.7430,8.7831,7.15e+13,7.23e+13,2703360
340,8.7497,8.7453,7.36e+13,7.45e+13,2785280
350,8.7526,8.7129,7.58e+13,7.67e+13,2867200
360,8.7051,8.6857,7.80e+13,7.89e+13,2949120
370,8.6447,8.6599,8.01e+13,8.11e+13,3031040
380,8.5953,8.6329,8.23e+13,8.33e+13,3112960
390,8.5832,8.6055,8.45e+13,8.55e+13,3194880
400,8.5317,8.5798,8.66e+13,8.77e+13,3276800
410,8.5641,8.5558,8.88e+13,8.99e+13,3358720
420,8.5275,8.5321,9.09e+13,9.21e+13,3440640
430,8.5023,8.5097,9.31e+13,9.43e+13,3522560
440,8.4869,8.4885,9.53e+13,9.65e+13,3604480
450,8.4463,8.4678,9.74e+13,9.87e+13,3686400
