step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6796,10.6611,5.01e+13,5.02e+13,327680
40,10.2537,10.2327,1.00e+14,1.00e+14,655360
60,9.5811,9.5834,1.50e+14,1.51e+14,983040
80,9.4863,9.4901,2.00e+14,2.01e+14,1310720
100,9.0865,9.1427,2.50e+14,2.51e+14,1638400
120,9.0949,9.0658,3.00e+14,3.01e+14,1966080
140,8.8242,8.8943,3.50e+14,3.52e+14,2293760
160,8.8143,8.7940,4.00e+14,4.02e+14,2621440
180,8.6677,8.6834,4.50e+14,4.52e+14,2949120
200,8.5600,8.6176,5.01e+14,5.02e+14,3276800
220,8.5757,8.5512,5.51e+14,5.53e+14,3604480
240,8.4619,8.5043,6.01e+14,6.03e+14,3932160
260,8.4183,8.4619,6.51e+14,6.53e+14,4259840
280,8.3249,8.4268,7.01e+14,7.03e+14,4587520
300,8.4254,8.3946,7.51e+14,7.54e+14,4915200
320,8.4009,8.3680,8.01e+14,8.04e+14,5242880
340,8.3539,8.3432,8.51e+14,8.54e+14,5570560
360,8.3395,8.3214,9.01e+14,9.04e+14,5898240
380,8.2777,8.3020,9.51e+14,9.55e+14,6225920
400,8.2665,8.2852,1.00e+15,1.00e+15,6553600
420,8.2635,8.2704,1.05e+15,1.06e+15,6881280
440,8.3555,8.2571,1.10e+15,1.11e+15,7208960
460,8.1454,8.2453,1.15e+15,1.16e+15,7536640
480,8.3327,8.2346,1.20e+15,1.21e+15,7864320
500,8.2065,8.2252,1.25e+15,1.26e+15,8192000
520,8.1692,8.2167,1.30e+15,1.31e+15,8519680
540,8.1997,8.2094,1.35e+15,1.36e+15,8847360
560,8.1881,8.2027,1.40e+15,1.41e+15,9175040
580,8.1849,8.1968,1.45e+15,1.46e+15,9502720
600,8.0994,8.1916,1.50e+15,1.51e+15,9830400
620,8.1895,8.1869,1.55e+15,1.56e+15,10158080
640,8.2089,8.1828,1.60e+15,1.61e+15,10485760
660,8.2504,8.1791,1.65e+15,1.66e+15,10813440
680,8.1662,8.1760,1.70e+15,1.71e+15,11141120
700,8.1635,8.1731,1.75e+15,1.76e+15,11468800
720,8.1872,8.1704,1.80e+15,1.81e+15,11796480
740,8.0937,8.1680,1.85e+15,1.86e+15,12124160
760,8.2255,8.1658,1.90e+15,1.91e+15,12451840
780,8.1415,8.1636,1.95e+15,1.96e+15,12779520
