step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.5403,9.7251,3.21e+12,3.31e+12,327680
40,9.1008,8.9584,6.42e+12,6.62e+12,655360
60,8.6804,8.5718,9.63e+12,9.93e+12,983040
80,8.4377,8.4669,1.28e+13,1.32e+13,1310720
100,8.4742,8.3822,1.61e+13,1.66e+13,1638400
120,8.2806,8.2930,1.93e+13,1.99e+13,1966080
140,8.1822,8.1819,2.25e+13,2.32e+13,2293760
160,8.0502,8.0654,2.57e+13,2.65e+13,2621440
180,7.9466,7.9305,2.89e+13,2.98e+13,2949120
200,7.8461,7.8261,3.21e+13,3.31e+13,3276800
220,7.7001,7.7123,3.53e+13,3.64e+13,3604480
240,7.6182,7.6054,3.85e+13,3.97e+13,3932160
260,7.5601,7.5296,4.17e+13,4.30e+13,4259840
280,7.4716,7.4541,4.49e+13,4.64e+13,4587520
300,7.3987,7.3676,4.82e+13,4.97e+13,4915200
320,7.3128,7.2904,5.14e+13,5.30e+13,5242880
340,7.2027,7.2077,5.46e+13,5.63e+13,5570560
360,7.1551,7.1765,5.78e+13,5.96e+13,5898240
380,7.1099,7.1028,6.10e+13,6.29e+13,6225920
400,7.0675,7.0558,6.42e+13,6.62e+13,6553600
420,7.0284,7.0310,6.74e+13,6.95e+13,6881280
440,7.1151,7.1366,7.06e+13,7.28e+13,7208960
460,7.0432,6.9988,7.38e+13,7.61e+13,7536640
480,7.0167,6.9419,7.71e+13,7.95e+13,7864320
500,6.9244,6.9117,8.03e+13,8.28e+13,8192000
520,6.9127,6.8978,8.35e+13,8.61e+13,8519680
540,6.8646,6.8487,8.67e+13,8.94e+13,8847360
560,6.9005,6.9818,8.99e+13,9.27e+13,9175040
580,6.7721,6.8635,9.31e+13,9.60e+13,9502720
600,6.8330,6.8066,9.63e+13,9.93e+13,9830400
620,6.8319,6.7676,9.95e+13,1.03e+14,10158080
640,6.7191,6.7452,1.03e+14,1.06e+14,10485760
660,6.7466,6.7174,1.06e+14,1.09e+14,10813440
680,6.7096,6.6935,1.09e+14,1.13e+14,11141120
700,6.7013,6.6616,1.12e+14,1.16e+14,11468800
720,6.6508,6.6435,1.16e+14,1.19e+14,11796480
740,6.5513,6.6195,1.19e+14,1.22e+14,12124160
760,6.5757,6.6001,1.22e+14,1.26e+14,12451840
780,6.5768,6.5809,1.25e+14,1.29e+14,12779520
800,6.5744,6.5594,1.28e+14,1.32e+14,13107200
820,6.6168,6.5464,1.32e+14,1.36e+14,13434880
840,6.4905,6.5355,1.35e+14,1.39e+14,13762560
860,6.6226,6.5140,1.38e+14,1.42e+14,14090240
880,6.4812,6.4940,1.41e+14,1.46e+14,14417920
900,6.4410,6.4801,1.44e+14,1.49e+14,14745600
920,6.4260,6.4636,1.48e+14,1.52e+14,15073280
940,6.4597,6.4511,1.51e+14,1.56e+14,15400960
960,6.4087,6.4322,1.54e+14,1.59e+14,15728640
980,6.4808,6.4198,1.57e+14,1.62e+14,16056320
1000,6.4379,6.4043,1.61e+14,1.66e+14,16384000
1020,6.3560,6.3904,1.64e+14,1.69e+14,16711680
1040,6.2915,6.3836,1.67e+14,1.72e+14,17039360
1060,6.3881,6.3727,1.70e+14,1.75e+14,17367040
1080,6.4349,6.3588,1.73e+14,1.79e+14,17694720
1100,6.3428,6.3464,1.77e+14,1.82e+14,18022400
1120,6.4087,6.3444,1.80e+14,1.85e+14,18350080
1140,6.3346,6.3296,1.83e+14,1.89e+14,18677760
1160,6.3599,6.3154,1.86e+14,1.92e+14,19005440
1180,6.3445,6.3069,1.89e+14,1.95e+14,19333120
1200,6.3232,6.2942,1.93e+14,1.99e+14,19660800
1220,6.3183,6.2905,1.96e+14,2.02e+14,19988480
1240,6.3008,6.2828,1.99e+14,2.05e+14,20316160
1260,6.3190,6.2744,2.02e+14,2.09e+14,20643840
1280,6.2839,6.2649,2.05e+14,2.12e+14,20971520
1300,6.3226,6.2566,2.09e+14,2.15e+14,21299200
1320,6.2615,6.2515,2.12e+14,2.19e+14,21626880
1340,6.2305,6.2456,2.15e+14,2.22e+14,21954560
1360,6.2477,6.2416,2.18e+14,2.25e+14,22282240
1380,6.2538,6.2362,2.22e+14,2.28e+14,22609920
1400,6.2002,6.2323,2.25e+14,2.32e+14,22937600
1420,6.2033,6.2264,2.28e+14,2.35e+14,23265280
1440,6.2134,6.2218,2.31e+14,2.38e+14,23592960
1460,6.2403,6.2186,2.34e+14,2.42e+14,23920640
1480,6.2575,6.2139,2.38e+14,2.45e+14,24248320
1500,6.1796,6.2104,2.41e+14,2.48e+14,24576000
1520,6.2722,6.2074,2.44e+14,2.52e+14,24903680
1540,6.2136,6.2020,2.47e+14,2.55e+14,25231360
1560,6.3038,6.2004,2.50e+14,2.58e+14,25559040
