step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8569,10.8498,6.25e+13,6.29e+13,409600
100,10.7563,10.7513,1.25e+14,1.26e+14,819200
150,10.4936,10.4940,1.88e+14,1.89e+14,1228800
200,10.2557,10.2545,2.50e+14,2.52e+14,1638400
250,10.0949,10.0957,3.13e+14,3.14e+14,2048000
300,9.9330,9.9300,3.75e+14,3.77e+14,2457600
350,9.7715,9.7468,4.38e+14,4.40e+14,2867200
400,9.5195,9.5427,5.00e+14,5.03e+14,3276800
450,9.3299,9.3100,5.63e+14,5.66e+14,3686400
500,9.1159,9.0632,6.25e+14,6.29e+14,4096000
550,8.8628,8.8224,6.88e+14,6.92e+14,4505600
600,8.5855,8.5807,7.51e+14,7.55e+14,4915200
650,8.4357,8.3464,8.13e+14,8.17e+14,5324800
700,8.0826,8.1256,8.76e+14,8.80e+14,5734400
750,8.0073,7.9272,9.38e+14,9.43e+14,6144000
800,7.8105,7.7585,1.00e+15,1.01e+15,6553600
850,7.5714,7.6319,1.06e+15,1.07e+15,6963200
900,7.5043,7.5381,1.13e+15,1.13e+15,7372800
950,7.4796,7.4643,1.19e+15,1.19e+15,7782400
1000,7.4175,7.4020,1.25e+15,1.26e+15,8192000
1050,7.2599,7.3445,1.31e+15,1.32e+15,8601600
1100,7.3514,7.2875,1.38e+15,1.38e+15,9011200
1150,7.2725,7.2312,1.44e+15,1.45e+15,9420800
1200,7.2000,7.1764,1.50e+15,1.51e+15,9830400
1250,7.0595,7.1221,1.56e+15,1.57e+15,10240000
1300,7.1152,7.0729,1.63e+15,1.63e+15,10649600
1350,7.1301,7.0230,1.69e+15,1.70e+15,11059200
1400,6.8810,6.9731,1.75e+15,1.76e+15,11468800
1450,7.0286,6.9318,1.81e+15,1.82e+15,11878400
1500,6.8688,6.8903,1.88e+15,1.89e+15,12288000
1550,6.8824,6.8509,1.94e+15,1.95e+15,12697600
1600,6.9040,6.8150,2.00e+15,2.01e+15,13107200
1650,6.7522,6.7802,2.06e+15,2.08e+15,13516800
1700,6.6700,6.7498,2.13e+15,2.14e+15,13926400
1750,6.6490,6.7208,2.19e+15,2.20e+15,14336000
1800,6.6372,6.6930,2.25e+15,2.26e+15,14745600
1850,6.8336,6.6668,2.31e+15,2.33e+15,15155200
1900,6.5763,6.6419,2.38e+15,2.39e+15,15564800
1950,6.6033,6.6190,2.44e+15,2.45e+15,15974400
2000,6.5345,6.5954,2.50e+15,2.52e+15,16384000
2050,6.5773,6.5739,2.56e+15,2.58e+15,16793600
2100,6.5605,6.5553,2.63e+15,2.64e+15,17203200
2150,6.5136,6.5317,2.69e+15,2.70e+15,17612800
2200,6.4994,6.5104,2.75e+15,2.77e+15,18022400
2250,6.3645,6.4865,2.81e+15,2.83e+15,18432000
2300,6.5137,6.4672,2.88e+15,2.89e+15,18841600
2350,6.4588,6.4444,2.94e+15,2.96e+15,19251200
2400,6.4629,6.4252,3.00e+15,3.02e+15,19660800
2450,6.3842,6.4032,3.06e+15,3.08e+15,20070400
2500,6.4352,6.3824,3.13e+15,3.14e+15,20480000
2550,6.4432,6.3572,3.19e+15,3.21e+15,20889600
2600,6.3559,6.3402,3.25e+15,3.27e+15,21299200
2650,6.3180,6.3184,3.32e+15,3.33e+15,21708800
2700,6.2835,6.2977,3.38e+15,3.40e+15,22118400
2750,6.2001,6.2758,3.44e+15,3.46e+15,22528000
2800,6.1278,6.2538,3.50e+15,3.52e+15,22937600
2850,6.3124,6.2374,3.57e+15,3.58e+15,23347200
2900,6.2019,6.2190,3.63e+15,3.65e+15,23756800
2950,6.2559,6.1959,3.69e+15,3.71e+15,24166400
3000,6.0904,6.1766,3.75e+15,3.77e+15,24576000
3050,6.1626,6.1586,3.82e+15,3.84e+15,24985600
3100,6.1969,6.1453,3.88e+15,3.90e+15,25395200
3150,6.1526,6.1247,3.94e+15,3.96e+15,25804800
3200,6.0945,6.1073,4.00e+15,4.02e+15,26214400
3250,6.0307,6.0864,4.07e+15,4.09e+15,26624000
3300,6.0391,6.0682,4.13e+15,4.15e+15,27033600
3350,6.0883,6.0488,4.19e+15,4.21e+15,27443200
3400,6.1220,6.0404,4.25e+15,4.28e+15,27852800
3450,6.0135,6.0173,4.32e+15,4.34e+15,28262400
3500,6.0626,6.0034,4.38e+15,4.40e+15,28672000
3550,5.9827,5.9871,4.44e+15,4.46e+15,29081600
3600,6.0098,5.9705,4.50e+15,4.53e+15,29491200
3650,5.8354,5.9541,4.57e+15,4.59e+15,29900800
3700,5.9054,5.9425,4.63e+15,4.65e+15,30310400
3750,5.9049,5.9244,4.69e+15,4.72e+15,30720000
3800,5.9016,5.9082,4.75e+15,4.78e+15,31129600
3850,5.9521,5.8980,4.82e+15,4.84e+15,31539200
3900,5.7426,5.8844,4.88e+15,4.90e+15,31948800
3950,5.9415,5.8711,4.94e+15,4.97e+15,32358400
4000,5.9727,5.8573,5.00e+15,5.03e+15,32768000
4050,5.7798,5.8430,5.07e+15,5.09e+15,33177600
4100,5.9436,5.8318,5.13e+15,5.16e+15,33587200
4150,5.7899,5.8157,5.19e+15,5.22e+15,33996800
4200,5.6509,5.8034,5.25e+15,5.28e+15,34406400
