step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8236,10.8279,2.73e+13,2.75e+13,409600
100,10.6664,10.6569,5.46e+13,5.51e+13,819200
150,10.2602,10.2541,8.20e+13,8.26e+13,1228800
200,9.8994,9.8980,1.09e+14,1.10e+14,1638400
250,9.5345,9.5106,1.37e+14,1.38e+14,2048000
300,9.1300,9.0962,1.64e+14,1.65e+14,2457600
350,8.7227,8.6818,1.91e+14,1.93e+14,2867200
400,8.3099,8.2986,2.19e+14,2.20e+14,3276800
450,7.9862,7.9870,2.46e+14,2.48e+14,3686400
500,7.7332,7.7748,2.73e+14,2.75e+14,4096000
550,7.6654,7.6458,3.01e+14,3.03e+14,4505600
600,7.5925,7.5590,3.28e+14,3.30e+14,4915200
650,7.4832,7.4812,3.55e+14,3.58e+14,5324800
700,7.3940,7.3993,3.83e+14,3.85e+14,5734400
750,7.3173,7.3078,4.10e+14,4.13e+14,6144000
800,7.2433,7.2116,4.37e+14,4.40e+14,6553600
850,7.1130,7.1265,4.65e+14,4.68e+14,6963200
900,7.0724,7.0460,4.92e+14,4.96e+14,7372800
950,7.1432,6.9722,5.19e+14,5.23e+14,7782400
1000,6.9906,6.9021,5.46e+14,5.51e+14,8192000
1050,6.8796,6.8441,5.74e+14,5.78e+14,8601600
1100,6.8581,6.7901,6.01e+14,6.06e+14,9011200
1150,6.7491,6.7386,6.28e+14,6.33e+14,9420800
1200,6.6357,6.6973,6.56e+14,6.61e+14,9830400
1250,6.6445,6.6547,6.83e+14,6.88e+14,10240000
1300,6.6218,6.6148,7.10e+14,7.16e+14,10649600
1350,6.5634,6.5777,7.38e+14,7.43e+14,11059200
1400,6.5874,6.5421,7.65e+14,7.71e+14,11468800
1450,6.5344,6.5085,7.92e+14,7.98e+14,11878400
1500,6.4692,6.4731,8.20e+14,8.26e+14,12288000
1550,6.3190,6.4380,8.47e+14,8.53e+14,12697600
1600,6.3914,6.4001,8.74e+14,8.81e+14,13107200
1650,6.2802,6.3650,9.02e+14,9.08e+14,13516800
1700,6.2921,6.3289,9.29e+14,9.36e+14,13926400
1750,6.2289,6.2934,9.56e+14,9.64e+14,14336000
1800,6.1935,6.2626,9.84e+14,9.91e+14,14745600
1850,6.1585,6.2252,1.01e+15,1.02e+15,15155200
1900,6.2860,6.1928,1.04e+15,1.05e+15,15564800
1950,6.0154,6.1618,1.07e+15,1.07e+15,15974400
2000,6.0233,6.1298,1.09e+15,1.10e+15,16384000
2050,6.1356,6.1013,1.12e+15,1.13e+15,16793600
2100,6.0579,6.0696,1.15e+15,1.16e+15,17203200
2150,6.0981,6.0399,1.17e+15,1.18e+15,17612800
2200,6.0644,6.0121,1.20e+15,1.21e+15,18022400
2250,5.9106,5.9844,1.23e+15,1.24e+15,18432000
2300,5.9311,5.9596,1.26e+15,1.27e+15,18841600
2350,5.9910,5.9373,1.28e+15,1.29e+15,19251200
2400,5.9268,5.9099,1.31e+15,1.32e+15,19660800
2450,5.9353,5.8878,1.34e+15,1.35e+15,20070400
2500,6.0195,5.8676,1.37e+15,1.38e+15,20480000
2550,5.9019,5.8435,1.39e+15,1.40e+15,20889600
2600,5.7656,5.8268,1.42e+15,1.43e+15,21299200
2650,5.9756,5.8042,1.45e+15,1.46e+15,21708800
2700,5.6943,5.7830,1.48e+15,1.49e+15,22118400
2750,5.7779,5.7629,1.50e+15,1.51e+15,22528000
2800,5.7705,5.7427,1.53e+15,1.54e+15,22937600
2850,5.7528,5.7232,1.56e+15,1.57e+15,23347200
2900,5.8370,5.7064,1.58e+15,1.60e+15,23756800
2950,5.6479,5.6885,1.61e+15,1.62e+15,24166400
3000,5.6825,5.6723,1.64e+15,1.65e+15,24576000
3050,5.6491,5.6541,1.67e+15,1.68e+15,24985600
3100,5.5683,5.6417,1.69e+15,1.71e+15,25395200
3150,5.6457,5.6236,1.72e+15,1.73e+15,25804800
3200,5.4775,5.6091,1.75e+15,1.76e+15,26214400
3250,5.6354,5.5931,1.78e+15,1.79e+15,26624000
3300,5.4865,5.5806,1.80e+15,1.82e+15,27033600
3350,5.5707,5.5698,1.83e+15,1.84e+15,27443200
3400,5.6719,5.5550,1.86e+15,1.87e+15,27852800
3450,5.5900,5.5440,1.89e+15,1.90e+15,28262400
