step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.6998,10.6966,1.97e+13,1.98e+13,409600
100,10.3118,10.2895,3.94e+13,3.97e+13,819200
150,9.7833,9.7660,5.90e+13,5.95e+13,1228800
200,9.1258,9.1359,7.87e+13,7.93e+13,1638400
250,8.4684,8.5037,9.84e+13,9.92e+13,2048000
300,8.0466,7.9935,1.18e+14,1.19e+14,2457600
350,7.7119,7.7208,1.38e+14,1.39e+14,2867200
400,7.8723,7.6551,1.57e+14,1.59e+14,3276800
450,7.6435,7.5895,1.77e+14,1.78e+14,3686400
500,7.5356,7.4832,1.97e+14,1.98e+14,4096000
550,7.3741,7.3645,2.16e+14,2.18e+14,4505600
600,7.2907,7.2270,2.36e+14,2.38e+14,4915200
650,7.1727,7.0848,2.56e+14,2.58e+14,5324800
700,7.0655,6.9544,2.75e+14,2.78e+14,5734400
750,6.8654,6.8425,2.95e+14,2.97e+14,6144000
800,6.7779,6.7562,3.15e+14,3.17e+14,6553600
850,6.8132,6.6897,3.35e+14,3.37e+14,6963200
900,6.7480,6.6213,3.54e+14,3.57e+14,7372800
950,6.6057,6.5609,3.74e+14,3.77e+14,7782400
1000,6.5623,6.4999,3.94e+14,3.97e+14,8192000
1050,6.3365,6.4386,4.13e+14,4.16e+14,8601600
1100,6.3067,6.3787,4.33e+14,4.36e+14,9011200
1150,6.3824,6.3266,4.53e+14,4.56e+14,9420800
1200,6.2856,6.2715,4.72e+14,4.76e+14,9830400
1250,6.3283,6.2193,4.92e+14,4.96e+14,10240000
1300,6.2387,6.1638,5.12e+14,5.16e+14,10649600
1350,6.1128,6.1145,5.31e+14,5.35e+14,11059200
1400,6.1301,6.0690,5.51e+14,5.55e+14,11468800
1450,6.1721,6.0313,5.71e+14,5.75e+14,11878400
1500,6.0863,5.9803,5.90e+14,5.95e+14,12288000
1550,5.7739,5.9447,6.10e+14,6.15e+14,12697600
1600,5.9175,5.9054,6.30e+14,6.35e+14,13107200
1650,5.9584,5.8769,6.49e+14,6.54e+14,13516800
1700,5.7236,5.8380,6.69e+14,6.74e+14,13926400
1750,5.9604,5.8029,6.89e+14,6.94e+14,14336000
1800,5.7101,5.7696,7.08e+14,7.14e+14,14745600
1850,5.7370,5.7384,7.28e+14,7.34e+14,15155200
1900,5.7531,5.7124,7.48e+14,7.54e+14,15564800
1950,5.7761,5.6826,7.67e+14,7.73e+14,15974400
2000,5.7316,5.6575,7.87e+14,7.93e+14,16384000
2050,5.7495,5.6288,8.07e+14,8.13e+14,16793600
2100,5.6114,5.6115,8.26e+14,8.33e+14,17203200
2150,5.6692,5.5834,8.46e+14,8.53e+14,17612800
2200,5.7415,5.5721,8.66e+14,8.73e+14,18022400
2250,5.5848,5.5385,8.85e+14,8.92e+14,18432000
2300,5.6885,5.5226,9.05e+14,9.12e+14,18841600
2350,5.5233,5.5026,9.25e+14,9.32e+14,19251200
2400,5.5012,5.4864,9.44e+14,9.52e+14,19660800
2450,5.5618,5.4715,9.64e+14,9.72e+14,20070400
2500,5.5229,5.4517,9.84e+14,9.92e+14,20480000
2550,5.4733,5.4371,1.00e+15,1.01e+15,20889600
2600,5.5281,5.4216,1.02e+15,1.03e+15,21299200
2650,5.4541,5.4097,1.04e+15,1.05e+15,21708800
2700,5.4394,5.3916,1.06e+15,1.07e+15,22118400
2750,5.4351,5.3782,1.08e+15,1.09e+15,22528000
2800,5.3929,5.3667,1.10e+15,1.11e+15,22937600
2850,5.3192,5.3483,1.12e+15,1.13e+15,23347200
2900,5.3930,5.3430,1.14e+15,1.15e+15,23756800
2950,5.3596,5.3300,1.16e+15,1.17e+15,24166400
3000,5.3985,5.3155,1.18e+15,1.19e+15,24576000
3050,5.3310,5.3035,1.20e+15,1.21e+15,24985600
3100,5.4531,5.2974,1.22e+15,1.23e+15,25395200
3150,5.2884,5.2883,1.24e+15,1.25e+15,25804800
3200,5.4275,5.2809,1.26e+15,1.27e+15,26214400
3250,5.2640,5.2663,1.28e+15,1.29e+15,26624000
3300,5.2760,5.2518,1.30e+15,1.31e+15,27033600
3350,5.2373,5.2433,1.32e+15,1.33e+15,27443200
3400,5.2590,5.2390,1.34e+15,1.35e+15,27852800
3450,5.2558,5.2273,1.36e+15,1.37e+15,28262400
3500,5.2987,5.2171,1.38e+15,1.39e+15,28672000
3550,5.2172,5.2100,1.40e+15,1.41e+15,29081600
3600,5.3028,5.2010,1.42e+15,1.43e+15,29491200
3650,5.3274,5.1955,1.44e+15,1.45e+15,29900800
3700,5.2186,5.1898,1.46e+15,1.47e+15,30310400
3750,5.3718,5.1866,1.48e+15,1.49e+15,30720000
3800,5.1537,5.1728,1.50e+15,1.51e+15,31129600
3850,5.1678,5.1682,1.52e+15,1.53e+15,31539200
3900,5.2676,5.1608,1.53e+15,1.55e+15,31948800
3950,5.2505,5.1592,1.55e+15,1.57e+15,32358400
4000,5.1527,5.1520,1.57e+15,1.59e+15,32768000
