step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.3550,10.3377,8.41e+12,8.52e+12,409600
100,9.1384,9.0989,1.68e+13,1.70e+13,819200
150,8.2442,8.2139,2.52e+13,2.56e+13,1228800
200,8.0617,8.1532,3.36e+13,3.41e+13,1638400
250,7.9487,7.9876,4.20e+13,4.26e+13,2048000
300,7.6956,7.7805,5.05e+13,5.11e+13,2457600
350,7.6215,7.5257,5.89e+13,5.96e+13,2867200
400,7.3813,7.3597,6.73e+13,6.82e+13,3276800
450,7.2263,7.2534,7.57e+13,7.67e+13,3686400
500,7.1119,7.1672,8.41e+13,8.52e+13,4096000
550,7.0497,7.0784,9.25e+13,9.37e+13,4505600
600,6.9578,7.0145,1.01e+14,1.02e+14,4915200
650,6.9961,6.9529,1.09e+14,1.11e+14,5324800
700,6.9408,6.9019,1.18e+14,1.19e+14,5734400
750,6.8870,6.8585,1.26e+14,1.28e+14,6144000
800,6.7918,6.8209,1.35e+14,1.36e+14,6553600
850,6.8094,6.7844,1.43e+14,1.45e+14,6963200
900,6.8333,6.7444,1.51e+14,1.53e+14,7372800
950,6.7224,6.7104,1.60e+14,1.62e+14,7782400
1000,6.6636,6.6852,1.68e+14,1.70e+14,8192000
1050,6.7450,6.6640,1.77e+14,1.79e+14,8601600
1100,6.6055,6.6381,1.85e+14,1.87e+14,9011200
1150,6.6211,6.6274,1.93e+14,1.96e+14,9420800
1200,6.7167,6.6041,2.02e+14,2.04e+14,9830400
1250,6.6149,6.5852,2.10e+14,2.13e+14,10240000
1300,6.5871,6.5701,2.19e+14,2.22e+14,10649600
1350,6.5498,6.5584,2.27e+14,2.30e+14,11059200
1400,6.6788,6.5463,2.35e+14,2.39e+14,11468800
1450,6.4806,6.5322,2.44e+14,2.47e+14,11878400
1500,6.4636,6.5289,2.52e+14,2.56e+14,12288000
1550,6.4862,6.5188,2.61e+14,2.64e+14,12697600
1600,6.4532,6.5104,2.69e+14,2.73e+14,13107200
1650,6.6102,6.4988,2.77e+14,2.81e+14,13516800
1700,6.5914,6.4945,2.86e+14,2.90e+14,13926400
1750,6.4129,6.4831,2.94e+14,2.98e+14,14336000
1800,6.5806,6.4767,3.03e+14,3.07e+14,14745600
1850,6.4341,6.4689,3.11e+14,3.15e+14,15155200
