step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.2098,10.1779,6.15e+12,6.26e+12,409600
100,8.6635,8.6337,1.23e+13,1.25e+13,819200
150,8.0769,8.1244,1.85e+13,1.88e+13,1228800
200,8.0331,8.0256,2.46e+13,2.50e+13,1638400
250,7.8111,7.8174,3.08e+13,3.13e+13,2048000
300,7.4457,7.5013,3.69e+13,3.76e+13,2457600
350,7.3409,7.3148,4.31e+13,4.38e+13,2867200
400,7.3324,7.2004,4.92e+13,5.01e+13,3276800
450,7.2287,7.1154,5.54e+13,5.63e+13,3686400
500,7.0924,7.0443,6.15e+13,6.26e+13,4096000
550,6.9874,6.9811,6.77e+13,6.89e+13,4505600
600,6.9361,6.9271,7.38e+13,7.51e+13,4915200
650,6.9128,6.8750,8.00e+13,8.14e+13,5324800
700,6.9748,6.8313,8.61e+13,8.77e+13,5734400
750,6.8351,6.7939,9.23e+13,9.39e+13,6144000
800,6.8069,6.7660,9.85e+13,1.00e+14,6553600
850,6.7462,6.7401,1.05e+14,1.06e+14,6963200
900,6.6872,6.7126,1.11e+14,1.13e+14,7372800
950,6.8168,6.6965,1.17e+14,1.19e+14,7782400
1000,6.5914,6.6805,1.23e+14,1.25e+14,8192000
1050,6.7028,6.6669,1.29e+14,1.31e+14,8601600
1100,6.6250,6.6520,1.35e+14,1.38e+14,9011200
1150,6.7235,6.6402,1.42e+14,1.44e+14,9420800
1200,6.6988,6.6278,1.48e+14,1.50e+14,9830400
1250,6.7718,6.6179,1.54e+14,1.57e+14,10240000
1300,6.7383,6.6043,1.60e+14,1.63e+14,10649600
1350,6.7244,6.5973,1.66e+14,1.69e+14,11059200
1400,6.6609,6.5851,1.72e+14,1.75e+14,11468800
1450,6.6496,6.5799,1.78e+14,1.82e+14,11878400
1500,6.5691,6.5750,1.85e+14,1.88e+14,12288000
1550,6.6387,6.5609,1.91e+14,1.94e+14,12697600
1600,6.6203,6.5538,1.97e+14,2.00e+14,13107200
1650,6.7355,6.5527,2.03e+14,2.07e+14,13516800
1700,6.4765,6.5426,2.09e+14,2.13e+14,13926400
1750,6.5491,6.5407,2.15e+14,2.19e+14,14336000
1800,6.6666,6.5340,2.22e+14,2.25e+14,14745600
1850,6.6416,6.5325,2.28e+14,2.32e+14,15155200
1900,6.6554,6.5259,2.34e+14,2.38e+14,15564800
1950,6.5528,6.5218,2.40e+14,2.44e+14,15974400
2000,6.5873,6.5195,2.46e+14,2.50e+14,16384000
2050,6.4785,6.5120,2.52e+14,2.57e+14,16793600
2100,6.5689,6.5074,2.58e+14,2.63e+14,17203200
2150,6.5529,6.5043,2.65e+14,2.69e+14,17612800
2200,6.6249,6.4998,2.71e+14,2.75e+14,18022400
2250,6.6041,6.4942,2.77e+14,2.82e+14,18432000
2300,6.5094,6.4930,2.83e+14,2.88e+14,18841600
2350,6.6176,6.4903,2.89e+14,2.94e+14,19251200
2400,6.5256,6.4871,2.95e+14,3.01e+14,19660800
2450,6.5328,6.4821,3.02e+14,3.07e+14,20070400
2500,6.5914,6.4801,3.08e+14,3.13e+14,20480000
2550,6.5350,6.4785,3.14e+14,3.19e+14,20889600
2600,6.5022,6.4744,3.20e+14,3.26e+14,21299200
2650,6.5868,6.4732,3.26e+14,3.32e+14,21708800
2700,6.5506,6.4703,3.32e+14,3.38e+14,22118400
2750,6.5866,6.4660,3.38e+14,3.44e+14,22528000
2800,6.4535,6.4647,3.45e+14,3.51e+14,22937600
2850,6.4688,6.4620,3.51e+14,3.57e+14,23347200
2900,6.6398,6.4610,3.57e+14,3.63e+14,23756800
2950,6.5923,6.4587,3.63e+14,3.69e+14,24166400
3000,6.6587,6.4549,3.69e+14,3.76e+14,24576000
3050,6.5704,6.4546,3.75e+14,3.82e+14,24985600
3100,6.5007,6.4517,3.81e+14,3.88e+14,25395200
3150,6.4390,6.4493,3.88e+14,3.94e+14,25804800
3200,6.5061,6.4471,3.94e+14,4.01e+14,26214400
3250,6.5206,6.4457,4.00e+14,4.07e+14,26624000
3300,6.4151,6.4450,4.06e+14,4.13e+14,27033600
3350,6.5541,6.4443,4.12e+14,4.19e+14,27443200
3400,6.5753,6.4415,4.18e+14,4.26e+14,27852800
3450,6.5351,6.4393,4.25e+14,4.32e+14,28262400
3500,6.4836,6.4389,4.31e+14,4.38e+14,28672000
3550,6.5162,6.4360,4.37e+14,4.45e+14,29081600
3600,6.5465,6.4357,4.43e+14,4.51e+14,29491200
3650,6.3636,6.4329,4.49e+14,4.57e+14,29900800
3700,6.6452,6.4302,4.55e+14,4.63e+14,30310400
3750,6.4911,6.4291,4.61e+14,4.70e+14,30720000
3800,6.4865,6.4266,4.68e+14,4.76e+14,31129600
3850,6.4329,6.4274,4.74e+14,4.82e+14,31539200
3900,6.5861,6.4255,4.80e+14,4.88e+14,31948800
3950,6.5576,6.4251,4.86e+14,4.95e+14,32358400
4000,6.4524,6.4245,4.92e+14,5.01e+14,32768000
4050,6.5009,6.4204,4.98e+14,5.07e+14,33177600
4100,6.5898,6.4219,5.05e+14,5.13e+14,33587200
4150,6.4988,6.4213,5.11e+14,5.20e+14,33996800
4200,6.6341,6.4190,5.17e+14,5.26e+14,34406400
4250,6.4087,6.4170,5.23e+14,5.32e+14,34816000
4300,6.4294,6.4182,5.29e+14,5.38e+14,35225600
4350,6.5977,6.4168,5.35e+14,5.45e+14,35635200
4400,6.5115,6.4136,5.41e+14,5.51e+14,36044800
4450,6.4261,6.4146,5.48e+14,5.57e+14,36454400
4500,6.4806,6.4113,5.54e+14,5.63e+14,36864000
4550,6.3892,6.4113,5.60e+14,5.70e+14,37273600
4600,6.5723,6.4091,5.66e+14,5.76e+14,37683200
4650,6.6121,6.4072,5.72e+14,5.82e+14,38092800
4700,6.4390,6.4054,5.78e+14,5.89e+14,38502400
4750,6.3374,6.4098,5.85e+14,5.95e+14,38912000
4800,6.5641,6.4076,5.91e+14,6.01e+14,39321600
4850,6.5239,6.4090,5.97e+14,6.07e+14,39731200
4900,6.6395,6.4046,6.03e+14,6.14e+14,40140800
4950,6.5049,6.4077,6.09e+14,6.20e+14,40550400
5000,6.5419,6.4050,6.15e+14,6.26e+14,40960000
5050,6.5070,6.4031,6.21e+14,6.32e+14,41369600
5100,6.5097,6.4016,6.28e+14,6.39e+14,41779200
5150,6.4824,6.4013,6.34e+14,6.45e+14,42188800
5200,6.4488,6.3989,6.40e+14,6.51e+14,42598400
5250,6.5435,6.3983,6.46e+14,6.57e+14,43008000
5300,6.5000,6.3984,6.52e+14,6.64e+14,43417600
