step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.5865,10.5815,8.39e+12,8.52e+12,409600
100,9.9102,9.8680,1.68e+13,1.70e+13,819200
150,9.1695,9.1973,2.52e+13,2.56e+13,1228800
200,8.7861,8.8724,3.36e+13,3.41e+13,1638400
250,8.5169,8.5909,4.20e+13,4.26e+13,2048000
300,8.2246,8.3518,5.03e+13,5.11e+13,2457600
350,8.2174,8.1184,5.87e+13,5.96e+13,2867200
400,7.9156,7.9212,6.71e+13,6.81e+13,3276800
450,7.6453,7.7553,7.55e+13,7.67e+13,3686400
500,7.5146,7.6312,8.39e+13,8.52e+13,4096000
550,7.4281,7.5253,9.23e+13,9.37e+13,4505600
600,7.3775,7.4345,1.01e+14,1.02e+14,4915200
650,7.3429,7.3660,1.09e+14,1.11e+14,5324800
700,7.3375,7.2989,1.17e+14,1.19e+14,5734400
750,7.1616,7.2509,1.26e+14,1.28e+14,6144000
800,7.1154,7.1870,1.34e+14,1.36e+14,6553600
850,7.0563,7.1455,1.43e+14,1.45e+14,6963200
900,7.0920,7.1086,1.51e+14,1.53e+14,7372800
950,6.9662,7.0651,1.59e+14,1.62e+14,7782400
1000,6.8843,7.0299,1.68e+14,1.70e+14,8192000
1050,7.0392,7.0074,1.76e+14,1.79e+14,8601600
1100,6.8648,6.9671,1.85e+14,1.87e+14,9011200
1150,6.8708,6.9418,1.93e+14,1.96e+14,9420800
1200,6.9657,6.9163,2.01e+14,2.04e+14,9830400
1250,6.7881,6.8970,2.10e+14,2.13e+14,10240000
1300,6.7992,6.8716,2.18e+14,2.21e+14,10649600
1350,6.7316,6.8498,2.27e+14,2.30e+14,11059200
1400,6.8552,6.8356,2.35e+14,2.39e+14,11468800
1450,6.6886,6.8129,2.43e+14,2.47e+14,11878400
1500,6.6282,6.7927,2.52e+14,2.56e+14,12288000
1550,6.6549,6.7792,2.60e+14,2.64e+14,12697600
1600,6.6124,6.7652,2.69e+14,2.73e+14,13107200
1650,6.7539,6.7437,2.77e+14,2.81e+14,13516800
1700,6.7815,6.7397,2.85e+14,2.90e+14,13926400
1750,6.5593,6.7200,2.94e+14,2.98e+14,14336000
1800,6.7577,6.7058,3.02e+14,3.07e+14,14745600
1850,6.4733,6.6915,3.10e+14,3.15e+14,15155200
1900,6.7016,6.6766,3.19e+14,3.24e+14,15564800
1950,6.6372,6.6691,3.27e+14,3.32e+14,15974400
2000,6.4860,6.6535,3.36e+14,3.41e+14,16384000
2050,6.6414,6.6415,3.44e+14,3.49e+14,16793600
2100,6.6540,6.6297,3.52e+14,3.58e+14,17203200
2150,6.5895,6.6191,3.61e+14,3.66e+14,17612800
2200,6.5803,6.6060,3.69e+14,3.75e+14,18022400
2250,6.6721,6.6028,3.78e+14,3.83e+14,18432000
2300,6.4964,6.5867,3.86e+14,3.92e+14,18841600
2350,6.5031,6.5703,3.94e+14,4.00e+14,19251200
2400,6.5365,6.5632,4.03e+14,4.09e+14,19660800
2450,6.6111,6.5452,4.11e+14,4.17e+14,20070400
2500,6.4241,6.5316,4.20e+14,4.26e+14,20480000
2550,6.4063,6.5146,4.28e+14,4.34e+14,20889600
2600,6.4304,6.5079,4.36e+14,4.43e+14,21299200
2650,6.4477,6.4939,4.45e+14,4.51e+14,21708800
2700,6.3829,6.4789,4.53e+14,4.60e+14,22118400
2750,6.5360,6.4787,4.62e+14,4.69e+14,22528000
2800,6.4888,6.4581,4.70e+14,4.77e+14,22937600
2850,6.3227,6.4594,4.78e+14,4.86e+14,23347200
2900,6.3607,6.4428,4.87e+14,4.94e+14,23756800
2950,6.2978,6.4403,4.95e+14,5.03e+14,24166400
3000,6.4536,6.4276,5.03e+14,5.11e+14,24576000
3050,6.3921,6.4222,5.12e+14,5.20e+14,24985600
3100,6.4130,6.4161,5.20e+14,5.28e+14,25395200
3150,6.2961,6.4026,5.29e+14,5.37e+14,25804800
3200,6.4241,6.3913,5.37e+14,5.45e+14,26214400
3250,6.3379,6.3823,5.45e+14,5.54e+14,26624000
3300,6.4357,6.3741,5.54e+14,5.62e+14,27033600
3350,6.3603,6.3708,5.62e+14,5.71e+14,27443200
3400,6.3333,6.3674,5.71e+14,5.79e+14,27852800
3450,6.3134,6.3552,5.79e+14,5.88e+14,28262400
3500,6.3534,6.3495,5.87e+14,5.96e+14,28672000
3550,6.5014,6.3418,5.96e+14,6.05e+14,29081600
3600,6.3131,6.3362,6.04e+14,6.13e+14,29491200
3650,6.2405,6.3272,6.13e+14,6.22e+14,29900800
3700,6.3250,6.3231,6.21e+14,6.30e+14,30310400
3750,6.3530,6.3174,6.29e+14,6.39e+14,30720000
3800,6.3883,6.3123,6.38e+14,6.47e+14,31129600
3850,6.2161,6.3028,6.46e+14,6.56e+14,31539200
