step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.5881,10.5725,4.01e+12,4.01e+12,409600
100,9.7419,9.7314,8.02e+12,8.02e+12,819200
150,8.6182,8.5649,1.20e+13,1.20e+13,1228800
200,7.7033,7.7377,1.60e+13,1.60e+13,1638400
250,7.5298,7.5532,2.01e+13,2.01e+13,2048000
300,7.3435,7.3383,2.41e+13,2.41e+13,2457600
350,7.1367,7.1193,2.81e+13,2.81e+13,2867200
400,6.8837,6.9278,3.21e+13,3.21e+13,3276800
450,6.7090,6.7893,3.61e+13,3.61e+13,3686400
500,6.6460,6.6919,4.01e+13,4.01e+13,4096000
550,6.5115,6.6095,4.41e+13,4.41e+13,4505600
600,6.5273,6.5428,4.81e+13,4.81e+13,4915200
650,6.6180,6.4819,5.21e+13,5.21e+13,5324800
700,6.3578,6.4284,5.62e+13,5.62e+13,5734400
750,6.3558,6.3844,6.02e+13,6.02e+13,6144000
800,6.3978,6.3458,6.42e+13,6.42e+13,6553600
850,6.2197,6.3059,6.82e+13,6.82e+13,6963200
900,6.3966,6.2755,7.22e+13,7.22e+13,7372800
950,6.1737,6.2450,7.62e+13,7.62e+13,7782400
1000,6.2119,6.2172,8.02e+13,8.02e+13,8192000
1050,6.0357,6.1901,8.42e+13,8.42e+13,8601600
1100,6.2704,6.1664,8.82e+13,8.82e+13,9011200
1150,6.1514,6.1430,9.23e+13,9.22e+13,9420800
1200,6.0964,6.1249,9.63e+13,9.63e+13,9830400
1250,6.0202,6.1061,1.00e+14,1.00e+14,10240000
1300,6.1217,6.0905,1.04e+14,1.04e+14,10649600
1350,6.0908,6.0711,1.08e+14,1.08e+14,11059200
1400,6.0858,6.0609,1.12e+14,1.12e+14,11468800
1450,6.0386,6.0444,1.16e+14,1.16e+14,11878400
1500,5.9549,6.0301,1.20e+14,1.20e+14,12288000
1550,5.9291,6.0157,1.24e+14,1.24e+14,12697600
1600,6.0869,6.0052,1.28e+14,1.28e+14,13107200
1650,5.9561,5.9945,1.32e+14,1.32e+14,13516800
1700,5.9103,5.9818,1.36e+14,1.36e+14,13926400
1750,5.9130,5.9735,1.40e+14,1.40e+14,14336000
1800,5.9699,5.9646,1.44e+14,1.44e+14,14745600
1850,5.9837,5.9563,1.48e+14,1.48e+14,15155200
1900,5.8502,5.9459,1.52e+14,1.52e+14,15564800
1950,5.8690,5.9401,1.56e+14,1.56e+14,15974400
2000,5.9494,5.9317,1.60e+14,1.60e+14,16384000
2050,5.9369,5.9252,1.64e+14,1.64e+14,16793600
2100,5.8922,5.9181,1.68e+14,1.68e+14,17203200
2150,5.8944,5.9117,1.72e+14,1.72e+14,17612800
2200,5.9209,5.9075,1.76e+14,1.76e+14,18022400
2250,5.8510,5.9011,1.81e+14,1.80e+14,18432000
2300,5.8723,5.8950,1.85e+14,1.84e+14,18841600
2350,5.8531,5.8912,1.89e+14,1.89e+14,19251200
2400,5.8319,5.8859,1.93e+14,1.93e+14,19660800
2450,5.8856,5.8826,1.97e+14,1.97e+14,20070400
2500,5.9696,5.8772,2.01e+14,2.01e+14,20480000
2550,5.8649,5.8721,2.05e+14,2.05e+14,20889600
2600,5.9926,5.8693,2.09e+14,2.09e+14,21299200
2650,5.8421,5.8654,2.13e+14,2.13e+14,21708800
2700,5.8395,5.8619,2.17e+14,2.17e+14,22118400
2750,6.0121,5.8583,2.21e+14,2.21e+14,22528000
2800,5.7733,5.8548,2.25e+14,2.25e+14,22937600
2850,5.7680,5.8523,2.29e+14,2.29e+14,23347200
2900,5.8769,5.8503,2.33e+14,2.33e+14,23756800
2950,5.7186,5.8467,2.37e+14,2.37e+14,24166400
3000,5.8590,5.8451,2.41e+14,2.41e+14,24576000
3050,5.8019,5.8429,2.45e+14,2.45e+14,24985600
3100,5.6784,5.8412,2.49e+14,2.49e+14,25395200
3150,5.8065,5.8387,2.53e+14,2.53e+14,25804800
3200,5.7581,5.8369,2.57e+14,2.57e+14,26214400
3250,5.8472,5.8354,2.61e+14,2.61e+14,26624000
3300,5.7324,5.8342,2.65e+14,2.65e+14,27033600
3350,5.8722,5.8316,2.69e+14,2.69e+14,27443200
3400,5.8992,5.8304,2.73e+14,2.73e+14,27852800
3450,5.8844,5.8292,2.77e+14,2.77e+14,28262400
3500,5.7739,5.8282,2.81e+14,2.81e+14,28672000
3550,5.9047,5.8272,2.85e+14,2.85e+14,29081600
3600,5.7489,5.8260,2.89e+14,2.89e+14,29491200
