step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.7452,10.7364,1.08e+13,1.10e+13,409600
100,10.3340,10.3267,2.17e+13,2.19e+13,819200
150,9.7459,9.7221,3.25e+13,3.29e+13,1228800
200,8.9930,8.9992,4.33e+13,4.38e+13,1638400
250,8.2716,8.3150,5.41e+13,5.48e+13,2048000
300,7.8307,7.8487,6.50e+13,6.58e+13,2457600
350,7.6383,7.6936,7.58e+13,7.67e+13,2867200
400,7.6498,7.6813,8.66e+13,8.77e+13,3276800
450,7.5561,7.6468,9.74e+13,9.87e+13,3686400
500,7.5484,7.5383,1.08e+14,1.10e+14,4096000
550,7.4289,7.4495,1.19e+14,1.21e+14,4505600
600,7.2917,7.3654,1.30e+14,1.32e+14,4915200
650,7.2129,7.2194,1.41e+14,1.42e+14,5324800
700,7.2080,7.0470,1.52e+14,1.53e+14,5734400
750,6.8071,6.9049,1.62e+14,1.64e+14,6144000
800,6.7977,6.8063,1.73e+14,1.75e+14,6553600
850,6.7816,6.7281,1.84e+14,1.86e+14,6963200
900,6.7366,6.6703,1.95e+14,1.97e+14,7372800
950,6.5612,6.6073,2.06e+14,2.08e+14,7782400
1000,6.4348,6.5469,2.17e+14,2.19e+14,8192000
1050,6.4167,6.4875,2.27e+14,2.30e+14,8601600
1100,6.3827,6.4332,2.38e+14,2.41e+14,9011200
1150,6.4725,6.3802,2.49e+14,2.52e+14,9420800
1200,6.4202,6.3343,2.60e+14,2.63e+14,9830400
1250,6.3143,6.2835,2.71e+14,2.74e+14,10240000
1300,6.3570,6.2449,2.81e+14,2.85e+14,10649600
1350,6.2341,6.2023,2.92e+14,2.96e+14,11059200
1400,6.2192,6.1668,3.03e+14,3.07e+14,11468800
1450,6.2871,6.1305,3.14e+14,3.18e+14,11878400
1500,6.0835,6.0966,3.25e+14,3.29e+14,12288000
1550,6.0939,6.0640,3.36e+14,3.40e+14,12697600
1600,5.9812,6.0297,3.46e+14,3.51e+14,13107200
1650,6.1869,6.0065,3.57e+14,3.62e+14,13516800
1700,5.9283,5.9786,3.68e+14,3.73e+14,13926400
1750,6.0486,5.9557,3.79e+14,3.84e+14,14336000
1800,5.9793,5.9318,3.90e+14,3.95e+14,14745600
1850,5.9664,5.9119,4.01e+14,4.06e+14,15155200
1900,5.8294,5.8906,4.11e+14,4.17e+14,15564800
1950,5.9447,5.8748,4.22e+14,4.27e+14,15974400
2000,5.9155,5.8549,4.33e+14,4.38e+14,16384000
2050,5.7390,5.8371,4.44e+14,4.49e+14,16793600
2100,5.7674,5.8223,4.55e+14,4.60e+14,17203200
2150,5.8774,5.8069,4.65e+14,4.71e+14,17612800
2200,5.6903,5.7883,4.76e+14,4.82e+14,18022400
2250,5.8142,5.7756,4.87e+14,4.93e+14,18432000
2300,5.8502,5.7631,4.98e+14,5.04e+14,18841600
2350,5.7275,5.7493,5.09e+14,5.15e+14,19251200
2400,5.6615,5.7367,5.20e+14,5.26e+14,19660800
2450,5.6486,5.7242,5.30e+14,5.37e+14,20070400
2500,5.7012,5.7104,5.41e+14,5.48e+14,20480000
2550,5.7387,5.6996,5.52e+14,5.59e+14,20889600
2600,5.6290,5.6879,5.63e+14,5.70e+14,21299200
2650,5.6972,5.6804,5.74e+14,5.81e+14,21708800
2700,5.6535,5.6706,5.85e+14,5.92e+14,22118400
2750,5.6975,5.6613,5.95e+14,6.03e+14,22528000
2800,5.6190,5.6504,6.06e+14,6.14e+14,22937600
2850,5.6242,5.6391,6.17e+14,6.25e+14,23347200
