step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,7.5542,7.4761,3.36e+13,3.36e+13,1638400
400,6.7837,6.6510,6.71e+13,6.71e+13,3276800
600,6.3272,6.3083,1.01e+14,1.01e+14,4915200
800,6.0123,6.1076,1.34e+14,1.34e+14,6553600
1000,6.0797,5.9541,1.68e+14,1.68e+14,8192000
1200,5.9417,5.8591,2.01e+14,2.01e+14,9830400
1400,5.8424,5.7843,2.35e+14,2.35e+14,11468800
1600,5.7028,5.7391,2.68e+14,2.68e+14,13107200
1800,5.8248,5.6993,3.02e+14,3.02e+14,14745600
2000,5.5382,5.6573,3.36e+14,3.36e+14,16384000
2200,5.5638,5.6308,3.69e+14,3.69e+14,18022400
2400,5.6519,5.6048,4.03e+14,4.03e+14,19660800
2600,5.6436,5.5875,4.36e+14,4.36e+14,21299200
2800,5.6845,5.5678,4.70e+14,4.70e+14,22937600
3000,5.5806,5.5474,5.03e+14,5.03e+14,24576000
3200,5.5964,5.5367,5.37e+14,5.37e+14,26214400
3400,5.6535,5.5235,5.71e+14,5.70e+14,27852800
3600,5.5319,5.5083,6.04e+14,6.04e+14,29491200
3800,5.5296,5.4998,6.38e+14,6.38e+14,31129600
4000,5.6037,5.4926,6.71e+14,6.71e+14,32768000
4200,5.4796,5.4810,7.05e+14,7.05e+14,34406400
4400,5.4898,5.4763,7.38e+14,7.38e+14,36044800
4600,5.4893,5.4655,7.72e+14,7.72e+14,37683200
4800,5.5325,5.4575,8.05e+14,8.05e+14,39321600
5000,5.5093,5.4565,8.39e+14,8.39e+14,40960000
5200,5.5856,5.4467,8.73e+14,8.73e+14,42598400
5400,5.5009,5.4440,9.06e+14,9.06e+14,44236800
5600,5.5367,5.4370,9.40e+14,9.40e+14,45875200
5800,5.5840,5.4319,9.73e+14,9.73e+14,47513600
6000,5.4881,5.4258,1.01e+15,1.01e+15,49152000
6200,5.4563,5.4193,1.04e+15,1.04e+15,50790400
6400,5.5196,5.4153,1.07e+15,1.07e+15,52428800
6600,5.4863,5.4091,1.11e+15,1.11e+15,54067200
6800,5.4835,5.4052,1.14e+15,1.14e+15,55705600
7000,5.4519,5.4029,1.17e+15,1.17e+15,57344000
7200,5.5679,5.3992,1.21e+15,1.21e+15,58982400
7400,5.4692,5.3971,1.24e+15,1.24e+15,60620800
