step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,7.1452,7.0771,3.35e+13,3.36e+13,1638400
400,6.4960,6.4842,6.70e+13,6.71e+13,3276800
600,6.4060,6.2614,1.00e+14,1.01e+14,4915200
800,6.1083,6.1145,1.34e+14,1.34e+14,6553600
1000,6.0391,5.9844,1.67e+14,1.68e+14,8192000
1200,5.7561,5.9027,2.01e+14,2.01e+14,9830400
1400,5.9486,5.8394,2.34e+14,2.35e+14,11468800
1600,5.9062,5.7899,2.68e+14,2.68e+14,13107200
1800,5.6778,5.7441,3.01e+14,3.02e+14,14745600
2000,5.7950,5.7132,3.35e+14,3.36e+14,16384000
2200,5.8394,5.6846,3.68e+14,3.69e+14,18022400
2400,5.7943,5.6671,4.02e+14,4.03e+14,19660800
2600,5.6700,5.6358,4.35e+14,4.36e+14,21299200
2800,5.7201,5.6139,4.69e+14,4.70e+14,22937600
3000,5.7155,5.5941,5.02e+14,5.03e+14,24576000
3200,5.6947,5.5774,5.36e+14,5.37e+14,26214400
3400,5.5520,5.5554,5.69e+14,5.70e+14,27852800
3600,5.6106,5.5451,6.03e+14,6.04e+14,29491200
3800,5.5590,5.5271,6.36e+14,6.38e+14,31129600
4000,5.6165,5.5119,6.70e+14,6.71e+14,32768000
4200,5.6834,5.4966,7.03e+14,7.05e+14,34406400
4400,5.5908,5.4790,7.37e+14,7.38e+14,36044800
4600,5.5478,5.4693,7.70e+14,7.72e+14,37683200
4800,5.5043,5.4548,8.04e+14,8.05e+14,39321600
5000,5.5018,5.4437,8.37e+14,8.39e+14,40960000
5200,5.5057,5.4294,8.71e+14,8.73e+14,42598400
5400,5.4991,5.4197,9.04e+14,9.06e+14,44236800
5600,5.3753,5.4058,9.38e+14,9.40e+14,45875200
5800,5.3881,5.3980,9.71e+14,9.73e+14,47513600
6000,5.3989,5.3866,1.00e+15,1.01e+15,49152000
6200,5.4851,5.3787,1.04e+15,1.04e+15,50790400
6400,5.3839,5.3697,1.07e+15,1.07e+15,52428800
6600,5.3812,5.3639,1.10e+15,1.11e+15,54067200
6800,5.3272,5.3586,1.14e+15,1.14e+15,55705600
7000,5.4908,5.3544,1.17e+15,1.17e+15,57344000
7200,5.3734,5.3508,1.21e+15,1.21e+15,58982400
7400,5.4001,5.3462,1.24e+15,1.24e+15,60620800
