step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.8780,8.1862,7.75e+12,8.19e+12,409600
100,7.8365,7.9453,1.57e+13,1.64e+13,819200
150,7.5885,7.6754,2.36e+13,2.46e+13,1228800
200,7.4870,7.6106,3.15e+13,3.28e+13,1638400
250,7.3575,7.4712,3.94e+13,4.10e+13,2048000
300,7.1855,7.2136,4.73e+13,4.92e+13,2457600
350,6.9642,7.0894,5.52e+13,5.73e+13,2867200
400,6.7353,6.9598,6.31e+13,6.55e+13,3276800
450,6.7744,6.8680,7.10e+13,7.37e+13,3686400
500,6.6728,6.7751,7.89e+13,8.19e+13,4096000
550,6.5541,6.7091,8.68e+13,9.01e+13,4505600
600,6.4754,6.6678,9.47e+13,9.83e+13,4915200
650,6.4678,6.6295,1.03e+14,1.06e+14,5324800
700,6.6365,6.5885,1.11e+14,1.15e+14,5734400
750,6.5045,6.5722,1.18e+14,1.23e+14,6144000
800,6.2971,6.5285,1.26e+14,1.31e+14,6553600
850,6.4364,6.5040,1.34e+14,1.39e+14,6963200
900,6.3343,6.5609,1.42e+14,1.47e+14,7372800
950,6.2630,6.4589,1.50e+14,1.56e+14,7782400
1000,6.2982,6.4327,1.58e+14,1.64e+14,8192000
1050,6.3225,6.4156,1.66e+14,1.72e+14,8601600
1100,6.2944,6.3934,1.74e+14,1.80e+14,9011200
1150,6.1646,6.3715,1.82e+14,1.88e+14,9420800
1200,6.2352,6.3340,1.90e+14,1.97e+14,9830400
1250,6.2648,6.3935,1.97e+14,2.05e+14,10240000
1300,6.3003,6.3012,2.05e+14,2.13e+14,10649600
1350,6.1829,6.2843,2.13e+14,2.21e+14,11059200
1400,6.1062,6.2872,2.21e+14,2.29e+14,11468800
1450,6.2256,6.2642,2.29e+14,2.38e+14,11878400
1500,6.0600,6.2489,2.37e+14,2.46e+14,12288000
1550,6.1632,6.2320,2.45e+14,2.54e+14,12697600
1600,6.1727,6.2202,2.53e+14,2.62e+14,13107200
1650,6.1204,6.2087,2.61e+14,2.70e+14,13516800
1700,6.0664,6.1982,2.69e+14,2.79e+14,13926400
1750,6.0761,6.1906,2.77e+14,2.87e+14,14336000
1800,6.0956,6.1797,2.84e+14,2.95e+14,14745600
1850,6.1507,6.1786,2.92e+14,3.03e+14,15155200
1900,6.2846,6.1723,3.00e+14,3.11e+14,15564800
1950,6.1395,6.1641,3.08e+14,3.19e+14,15974400
