step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.8184,8.8659,3.35e+12,6.66e+12,655360
40,8.2250,7.9136,6.55e+12,1.33e+13,1310720
60,8.3207,7.8358,9.74e+12,2.00e+13,1966080
80,8.2603,7.7654,1.29e+13,2.66e+13,2621440
100,8.0515,7.7332,1.61e+13,3.33e+13,3276800
120,7.8294,7.7178,1.93e+13,3.99e+13,3932160
140,8.0142,7.7160,2.25e+13,4.66e+13,4587520
160,8.2992,7.7167,2.57e+13,5.32e+13,5242880
180,7.9720,7.7148,2.89e+13,5.99e+13,5898240
200,7.9021,7.7107,3.21e+13,6.66e+13,6553600
220,7.8942,7.7056,3.53e+13,7.32e+13,7208960
240,7.8598,7.7029,3.85e+13,7.99e+13,7864320
260,7.9832,7.6973,4.17e+13,8.65e+13,8519680
280,7.9132,7.6964,4.49e+13,9.32e+13,9175040
300,7.7955,7.6930,4.81e+13,9.98e+13,9830400
320,7.8464,7.6908,5.13e+13,1.06e+14,10485760
340,7.7332,7.6897,5.45e+13,1.13e+14,11141120
360,7.6637,7.6867,5.77e+13,1.20e+14,11796480
380,7.8152,7.6856,6.09e+13,1.26e+14,12451840
400,8.1284,7.6829,6.41e+13,1.33e+14,13107200
420,7.7768,7.6797,6.73e+13,1.40e+14,13762560
440,7.7804,7.6776,7.04e+13,1.46e+14,14417920
460,7.7932,7.6747,7.36e+13,1.53e+14,15073280
480,7.8923,7.6733,7.68e+13,1.60e+14,15728640
500,7.9434,7.6706,8.00e+13,1.66e+14,16384000
520,7.7387,7.6680,8.32e+13,1.73e+14,17039360
540,7.7199,7.6657,8.64e+13,1.80e+14,17694720
560,7.7819,7.6638,8.96e+13,1.86e+14,18350080
580,7.7093,7.6619,9.28e+13,1.93e+14,19005440
600,7.8199,7.6607,9.60e+13,2.00e+14,19660800
620,7.7313,7.6594,9.92e+13,2.06e+14,20316160
640,7.8124,7.6589,1.02e+14,2.13e+14,20971520
660,7.7639,7.6582,1.06e+14,2.20e+14,21626880
680,7.7809,7.6573,1.09e+14,2.26e+14,22282240
