step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8011,10.8028,1.26e+13,1.58e+13,409600
100,10.6747,10.6830,2.54e+13,3.15e+13,819200
150,10.3607,10.3680,3.83e+13,4.73e+13,1228800
200,9.8925,9.8957,5.11e+13,6.30e+13,1638400
250,9.3822,9.4224,6.40e+13,7.88e+13,2048000
300,8.9476,8.9902,7.68e+13,9.46e+13,2457600
350,8.5214,8.6040,8.97e+13,1.10e+14,2867200
400,8.2711,8.2756,1.03e+14,1.26e+14,3276800
450,8.0423,8.0208,1.15e+14,1.42e+14,3686400
500,7.7924,7.8409,1.28e+14,1.58e+14,4096000
550,7.6786,7.7252,1.41e+14,1.73e+14,4505600
600,7.6509,7.6814,1.54e+14,1.89e+14,4915200
650,7.6807,7.6696,1.67e+14,2.05e+14,5324800
700,7.5779,7.6641,1.80e+14,2.21e+14,5734400
750,7.5967,7.6629,1.92e+14,2.36e+14,6144000
800,7.7168,7.6668,2.05e+14,2.52e+14,6553600
850,7.6937,7.6678,2.18e+14,2.68e+14,6963200
900,7.7279,7.6646,2.31e+14,2.84e+14,7372800
950,7.6197,7.6602,2.44e+14,2.99e+14,7782400
1000,7.5404,7.6673,2.57e+14,3.15e+14,8192000
1050,7.5549,7.6687,2.69e+14,3.31e+14,8601600
1100,7.7379,7.6761,2.82e+14,3.47e+14,9011200
1150,7.6595,7.6729,2.95e+14,3.62e+14,9420800
1200,7.7216,7.6757,3.08e+14,3.78e+14,9830400
1250,7.6416,7.6757,3.21e+14,3.94e+14,10240000
1300,7.6410,7.6693,3.34e+14,4.10e+14,10649600
1350,7.6368,7.6783,3.47e+14,4.26e+14,11059200
1400,7.7191,7.6751,3.59e+14,4.41e+14,11468800
1450,7.6952,7.6665,3.72e+14,4.57e+14,11878400
1500,7.6062,7.6681,3.85e+14,4.73e+14,12288000
1550,7.6491,7.6784,3.98e+14,4.89e+14,12697600
1600,7.6347,7.6814,4.11e+14,5.04e+14,13107200
1650,7.6343,7.6890,4.24e+14,5.20e+14,13516800
1700,7.6636,7.6813,4.36e+14,5.36e+14,13926400
1750,7.7631,7.6847,4.49e+14,5.52e+14,14336000
1800,7.5947,7.6980,4.62e+14,5.67e+14,14745600
1850,7.6420,7.6817,4.75e+14,5.83e+14,15155200
1900,7.5788,7.6818,4.88e+14,5.99e+14,15564800
1950,7.5645,7.6742,5.01e+14,6.15e+14,15974400
2000,7.6663,7.6691,5.14e+14,6.30e+14,16384000
2050,7.6467,7.6748,5.26e+14,6.46e+14,16793600
2100,7.6490,7.6780,5.39e+14,6.62e+14,17203200
2150,7.5798,7.6720,5.52e+14,6.78e+14,17612800
2200,7.5956,7.6740,5.65e+14,6.93e+14,18022400
2250,7.6021,7.6756,5.78e+14,7.09e+14,18432000
2300,7.6278,7.6744,5.91e+14,7.25e+14,18841600
2350,7.6970,7.6933,6.03e+14,7.41e+14,19251200
2400,7.6663,7.6749,6.16e+14,7.56e+14,19660800
2450,7.6735,7.6705,6.29e+14,7.72e+14,20070400
2500,7.6102,7.6784,6.42e+14,7.88e+14,20480000
