step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,8.5160,8.5117,5.81e+12,6.10e+12,409600
100,7.5689,7.7536,1.17e+13,1.22e+13,819200
150,7.6429,7.7967,1.77e+13,1.83e+13,1228800
200,7.6744,7.8091,2.36e+13,2.44e+13,1638400
250,7.5483,7.6545,2.95e+13,3.05e+13,2048000
300,7.3266,7.4466,3.55e+13,3.66e+13,2457600
350,7.0779,7.2645,4.14e+13,4.27e+13,2867200
400,6.9082,7.0904,4.73e+13,4.88e+13,3276800
450,6.9318,6.9297,5.32e+13,5.49e+13,3686400
500,6.5420,6.8195,5.92e+13,6.10e+13,4096000
550,6.5262,6.7296,6.51e+13,6.71e+13,4505600
600,6.3598,6.6486,7.10e+13,7.32e+13,4915200
650,6.3445,6.5725,7.70e+13,7.93e+13,5324800
700,6.4358,6.5560,8.29e+13,8.54e+13,5734400
750,6.2425,6.4993,8.88e+13,9.15e+13,6144000
800,5.9077,6.4486,9.47e+13,9.76e+13,6553600
850,6.2183,6.4450,1.01e+14,1.04e+14,6963200
900,6.2070,6.3982,1.07e+14,1.10e+14,7372800
950,6.1900,6.3744,1.13e+14,1.16e+14,7782400
1000,6.1947,6.3777,1.18e+14,1.22e+14,8192000
1050,6.1570,6.3428,1.24e+14,1.28e+14,8601600
1100,6.1616,6.3175,1.30e+14,1.34e+14,9011200
1150,6.0792,6.3204,1.36e+14,1.40e+14,9420800
1200,6.1080,6.3032,1.42e+14,1.46e+14,9830400
1250,5.9820,6.2688,1.48e+14,1.52e+14,10240000
1300,5.9230,6.2697,1.54e+14,1.59e+14,10649600
1350,5.8938,6.2718,1.60e+14,1.65e+14,11059200
1400,5.9430,6.2376,1.66e+14,1.71e+14,11468800
1450,5.9753,6.2343,1.72e+14,1.77e+14,11878400
1500,6.0610,6.2131,1.78e+14,1.83e+14,12288000
1550,5.9182,6.2009,1.84e+14,1.89e+14,12697600
1600,5.8760,6.2043,1.90e+14,1.95e+14,13107200
1650,6.0057,6.2093,1.96e+14,2.01e+14,13516800
1700,5.9992,6.1636,2.01e+14,2.07e+14,13926400
1750,5.9000,6.1854,2.07e+14,2.13e+14,14336000
1800,5.8823,6.1942,2.13e+14,2.20e+14,14745600
1850,5.8866,6.1728,2.19e+14,2.26e+14,15155200
1900,6.0289,6.1899,2.25e+14,2.32e+14,15564800
1950,5.8405,6.1565,2.31e+14,2.38e+14,15974400
2000,5.7977,6.1386,2.37e+14,2.44e+14,16384000
2050,5.9660,6.1315,2.43e+14,2.50e+14,16793600
2100,6.0522,6.1431,2.49e+14,2.56e+14,17203200
2150,5.8277,6.1120,2.55e+14,2.62e+14,17612800
2200,5.9690,6.1167,2.61e+14,2.68e+14,18022400
2250,5.8844,6.1532,2.67e+14,2.74e+14,18432000
2300,5.9185,6.1077,2.73e+14,2.81e+14,18841600
2350,5.8977,6.1241,2.79e+14,2.87e+14,19251200
2400,5.9040,6.0960,2.84e+14,2.93e+14,19660800
2450,5.7470,6.0968,2.90e+14,2.99e+14,20070400
2500,5.9352,6.0860,2.96e+14,3.05e+14,20480000
2550,5.7017,6.0927,3.02e+14,3.11e+14,20889600
2600,5.9494,6.0934,3.08e+14,3.17e+14,21299200
2650,5.8020,6.0711,3.14e+14,3.23e+14,21708800
2700,5.8224,6.0745,3.20e+14,3.29e+14,22118400
2750,5.8378,6.0710,3.26e+14,3.35e+14,22528000
2800,5.8655,6.0740,3.32e+14,3.42e+14,22937600
2850,5.8978,6.0781,3.38e+14,3.48e+14,23347200
2900,5.8044,6.0582,3.44e+14,3.54e+14,23756800
2950,5.8847,6.0552,3.50e+14,3.60e+14,24166400
