step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.3527,9.3395,1.26e+13,1.32e+13,409600
100,7.7781,7.7762,2.54e+13,2.64e+13,819200
150,7.5901,7.7344,3.83e+13,3.96e+13,1228800
200,7.7510,7.7687,5.11e+13,5.27e+13,1638400
250,7.7185,7.7881,6.40e+13,6.59e+13,2048000
300,7.6053,7.7643,7.68e+13,7.91e+13,2457600
350,7.6355,7.6848,8.97e+13,9.23e+13,2867200
400,7.3860,7.5765,1.03e+14,1.05e+14,3276800
450,7.3213,7.4220,1.15e+14,1.19e+14,3686400
500,7.1490,7.2805,1.28e+14,1.32e+14,4096000
550,6.9817,7.1620,1.41e+14,1.45e+14,4505600
600,6.9446,7.0655,1.54e+14,1.58e+14,4915200
650,6.7553,6.9334,1.67e+14,1.71e+14,5324800
700,6.6625,6.8451,1.80e+14,1.85e+14,5734400
750,6.6145,6.7540,1.92e+14,1.98e+14,6144000
800,6.5180,6.6884,2.05e+14,2.11e+14,6553600
850,6.4882,6.6436,2.18e+14,2.24e+14,6963200
900,6.2864,6.5852,2.31e+14,2.37e+14,7372800
950,6.3217,6.5334,2.44e+14,2.50e+14,7782400
1000,6.2589,6.4873,2.57e+14,2.64e+14,8192000
1050,6.1787,6.4262,2.69e+14,2.77e+14,8601600
1100,6.2186,6.3991,2.82e+14,2.90e+14,9011200
1150,6.0826,6.3434,2.95e+14,3.03e+14,9420800
1200,6.2866,6.3049,3.08e+14,3.16e+14,9830400
1250,6.1165,6.2678,3.21e+14,3.30e+14,10240000
1300,5.9902,6.2543,3.34e+14,3.43e+14,10649600
1350,5.8946,6.2166,3.47e+14,3.56e+14,11059200
1400,5.9737,6.2163,3.59e+14,3.69e+14,11468800
1450,5.9387,6.1649,3.72e+14,3.82e+14,11878400
1500,5.7558,6.1629,3.85e+14,3.96e+14,12288000
1550,5.9802,6.1352,3.98e+14,4.09e+14,12697600
1600,5.8684,6.1120,4.11e+14,4.22e+14,13107200
1650,5.7369,6.0950,4.24e+14,4.35e+14,13516800
1700,5.9129,6.0627,4.36e+14,4.48e+14,13926400
1750,5.9526,6.0383,4.49e+14,4.61e+14,14336000
1800,5.6605,6.0513,4.62e+14,4.75e+14,14745600
1850,5.7288,6.0305,4.75e+14,4.88e+14,15155200
1900,5.6832,6.0095,4.88e+14,5.01e+14,15564800
1950,5.7814,6.0085,5.01e+14,5.14e+14,15974400
2000,5.6590,5.9833,5.14e+14,5.27e+14,16384000
2050,5.6553,5.9751,5.26e+14,5.41e+14,16793600
2100,5.7499,5.9798,5.39e+14,5.54e+14,17203200
2150,5.6064,5.9586,5.52e+14,5.67e+14,17612800
2200,5.8308,5.9415,5.65e+14,5.80e+14,18022400
2250,5.7007,5.9578,5.78e+14,5.93e+14,18432000
2300,5.7843,5.9465,5.91e+14,6.06e+14,18841600
2350,5.5703,5.9264,6.03e+14,6.20e+14,19251200
2400,5.6393,5.9247,6.16e+14,6.33e+14,19660800
2450,5.5696,5.9409,6.29e+14,6.46e+14,20070400
2500,5.6341,5.9332,6.42e+14,6.59e+14,20480000
2550,5.6755,5.9101,6.55e+14,6.72e+14,20889600
2600,5.7557,5.9052,6.68e+14,6.86e+14,21299200
2650,5.5711,5.9061,6.81e+14,6.99e+14,21708800
2700,5.6928,5.9108,6.93e+14,7.12e+14,22118400
2750,5.5545,5.9149,7.06e+14,7.25e+14,22528000
2800,5.4994,5.8822,7.19e+14,7.38e+14,22937600
2850,5.6954,5.8789,7.32e+14,7.51e+14,23347200
2900,5.6470,5.8720,7.45e+14,7.65e+14,23756800
2950,5.5423,5.8578,7.58e+14,7.78e+14,24166400
3000,5.6485,5.8554,7.70e+14,7.91e+14,24576000
3050,5.6006,5.8563,7.83e+14,8.04e+14,24985600
3100,5.5650,5.8398,7.96e+14,8.17e+14,25395200
3150,5.4857,5.8807,8.09e+14,8.31e+14,25804800
3200,5.5028,5.8380,8.22e+14,8.44e+14,26214400
3250,5.5257,5.8298,8.35e+14,8.57e+14,26624000
3300,5.6428,5.8321,8.48e+14,8.70e+14,27033600
3350,5.5512,5.8086,8.60e+14,8.83e+14,27443200
3400,5.6039,5.8121,8.73e+14,8.96e+14,27852800
3450,5.5617,5.8094,8.86e+14,9.10e+14,28262400
3500,5.6021,5.7977,8.99e+14,9.23e+14,28672000
3550,5.5135,5.8269,9.12e+14,9.36e+14,29081600
3600,5.5561,5.7988,9.25e+14,9.49e+14,29491200
3650,5.4851,5.8037,9.37e+14,9.62e+14,29900800
3700,5.4162,5.7850,9.50e+14,9.76e+14,30310400
3750,5.5907,5.7928,9.63e+14,9.89e+14,30720000
3800,5.5043,5.7756,9.76e+14,1.00e+15,31129600
3850,5.6957,5.7837,9.89e+14,1.02e+15,31539200
3900,5.4734,5.7796,1.00e+15,1.03e+15,31948800
3950,5.5867,5.7791,1.01e+15,1.04e+15,32358400
4000,5.4971,5.7753,1.03e+15,1.05e+15,32768000
4050,5.4845,5.7799,1.04e+15,1.07e+15,33177600
4100,5.5056,5.7852,1.05e+15,1.08e+15,33587200
4150,5.5023,5.7655,1.07e+15,1.09e+15,33996800
4200,5.5248,5.7536,1.08e+15,1.11e+15,34406400
4250,5.5658,5.7558,1.09e+15,1.12e+15,34816000
4300,5.6867,5.7586,1.10e+15,1.13e+15,35225600
4350,5.6128,5.7520,1.12e+15,1.15e+15,35635200
4400,5.6131,5.7514,1.13e+15,1.16e+15,36044800
4450,5.5721,5.7537,1.14e+15,1.17e+15,36454400
4500,5.4195,5.7661,1.16e+15,1.19e+15,36864000
4550,5.5062,5.7446,1.17e+15,1.20e+15,37273600
4600,5.4916,5.7460,1.18e+15,1.21e+15,37683200
4650,5.3905,5.7509,1.19e+15,1.23e+15,38092800
4700,5.5125,5.7430,1.21e+15,1.24e+15,38502400
4750,5.5582,5.7484,1.22e+15,1.25e+15,38912000
4800,5.4272,5.7532,1.23e+15,1.27e+15,39321600
4850,5.5192,5.7486,1.25e+15,1.28e+15,39731200
4900,5.5360,5.7346,1.26e+15,1.29e+15,40140800
4950,5.5461,5.7412,1.27e+15,1.31e+15,40550400
5000,5.5747,5.7262,1.28e+15,1.32e+15,40960000
5050,5.5423,5.7261,1.30e+15,1.33e+15,41369600
5100,5.4139,5.7372,1.31e+15,1.34e+15,41779200
5150,5.4401,5.7520,1.32e+15,1.36e+15,42188800
5200,5.2933,5.7375,1.34e+15,1.37e+15,42598400
5250,5.5040,5.7301,1.35e+15,1.38e+15,43008000
5300,5.5636,5.7270,1.36e+15,1.40e+15,43417600
5350,5.4187,5.7370,1.37e+15,1.41e+15,43827200
5400,5.6633,5.7398,1.39e+15,1.42e+15,44236800
5450,5.5326,5.7353,1.40e+15,1.44e+15,44646400
5500,5.4279,5.7237,1.41e+15,1.45e+15,45056000
5550,5.4280,5.7348,1.43e+15,1.46e+15,45465600
5600,5.2300,5.7225,1.44e+15,1.48e+15,45875200
5650,5.5214,5.7115,1.45e+15,1.49e+15,46284800
5700,5.5561,5.7197,1.46e+15,1.50e+15,46694400
5750,5.6152,5.7074,1.48e+15,1.52e+15,47104000
5800,5.6104,5.7068,1.49e+15,1.53e+15,47513600
5850,5.4035,5.7019,1.50e+15,1.54e+15,47923200
5900,5.4012,5.7018,1.52e+15,1.56e+15,48332800
5950,5.4798,5.6955,1.53e+15,1.57e+15,48742400
6000,5.5240,5.6935,1.54e+15,1.58e+15,49152000
6050,5.5163,5.6947,1.55e+15,1.60e+15,49561600
6100,5.5695,5.7044,1.57e+15,1.61e+15,49971200
6150,5.5215,5.6978,1.58e+15,1.62e+15,50380800
6200,5.4478,5.7007,1.59e+15,1.63e+15,50790400
6250,5.4277,5.7067,1.61e+15,1.65e+15,51200000
6300,5.4531,5.7027,1.62e+15,1.66e+15,51609600
6350,5.5550,5.6949,1.63e+15,1.67e+15,52019200
6400,5.5774,5.6970,1.64e+15,1.69e+15,52428800
6450,5.4296,5.6849,1.66e+15,1.70e+15,52838400
6500,5.4662,5.6857,1.67e+15,1.71e+15,53248000
6550,5.4425,5.6768,1.68e+15,1.73e+15,53657600
6600,5.4284,5.6793,1.70e+15,1.74e+15,54067200
6650,5.4501,5.6912,1.71e+15,1.75e+15,54476800
6700,5.4695,5.6758,1.72e+15,1.77e+15,54886400
6750,5.4245,5.6674,1.73e+15,1.78e+15,55296000
6800,5.3998,5.6745,1.75e+15,1.79e+15,55705600
6850,5.4377,5.6675,1.76e+15,1.81e+15,56115200
6900,5.4378,5.6760,1.77e+15,1.82e+15,56524800
6950,5.4411,5.6732,1.79e+15,1.83e+15,56934400
7000,5.5262,5.6752,1.80e+15,1.85e+15,57344000
7050,5.4700,5.6642,1.81e+15,1.86e+15,57753600
7100,5.3372,5.6769,1.82e+15,1.87e+15,58163200
