step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.2955,9.1860,3.00e+12,3.28e+12,327680
40,7.6843,7.7800,6.17e+12,6.55e+12,655360
60,7.6594,7.8001,9.33e+12,9.83e+12,983040
80,7.7732,7.8009,1.25e+13,1.31e+13,1310720
100,7.7046,7.7873,1.57e+13,1.64e+13,1638400
120,7.6909,7.7473,1.88e+13,1.97e+13,1966080
140,7.5008,7.6780,2.20e+13,2.29e+13,2293760
160,7.4934,7.5860,2.51e+13,2.62e+13,2621440
180,7.4947,7.4914,2.83e+13,2.95e+13,2949120
200,7.4084,7.4115,3.15e+13,3.28e+13,3276800
220,7.3033,7.3457,3.46e+13,3.61e+13,3604480
240,7.2144,7.2883,3.78e+13,3.93e+13,3932160
260,7.1982,7.2320,4.09e+13,4.26e+13,4259840
280,7.2081,7.1794,4.41e+13,4.59e+13,4587520
300,7.0707,7.1387,4.73e+13,4.92e+13,4915200
320,7.1342,7.1024,5.04e+13,5.24e+13,5242880
340,7.1014,7.0552,5.36e+13,5.57e+13,5570560
360,7.0137,7.0035,5.68e+13,5.90e+13,5898240
380,7.1289,6.9613,5.99e+13,6.23e+13,6225920
400,6.9404,6.9233,6.31e+13,6.55e+13,6553600
420,6.9756,6.8868,6.62e+13,6.88e+13,6881280
440,6.9080,6.8571,6.94e+13,7.21e+13,7208960
460,6.9063,6.8288,7.26e+13,7.54e+13,7536640
480,6.8736,6.8012,7.57e+13,7.87e+13,7864320
500,6.8030,6.7795,7.89e+13,8.19e+13,8192000
520,6.8873,6.7556,8.21e+13,8.52e+13,8519680
540,6.8077,6.7383,8.52e+13,8.85e+13,8847360
560,6.8414,6.7230,8.84e+13,9.18e+13,9175040
580,6.7907,6.7075,9.15e+13,9.50e+13,9502720
600,6.7909,6.6937,9.47e+13,9.83e+13,9830400
620,6.7430,6.6792,9.79e+13,1.02e+14,10158080
640,6.7696,6.6698,1.01e+14,1.05e+14,10485760
660,6.7158,6.6609,1.04e+14,1.08e+14,10813440
680,6.8005,6.6507,1.07e+14,1.11e+14,11141120
700,6.7230,6.6403,1.11e+14,1.15e+14,11468800
720,6.7289,6.6319,1.14e+14,1.18e+14,11796480
740,6.7631,6.6233,1.17e+14,1.21e+14,12124160
760,6.6620,6.6147,1.20e+14,1.25e+14,12451840
780,6.8167,6.6067,1.23e+14,1.28e+14,12779520
800,6.7696,6.6018,1.26e+14,1.31e+14,13107200
820,6.7538,6.5959,1.29e+14,1.34e+14,13434880
840,6.7573,6.5857,1.33e+14,1.38e+14,13762560
860,6.7215,6.5801,1.36e+14,1.41e+14,14090240
880,6.6428,6.5776,1.39e+14,1.44e+14,14417920
900,6.6855,6.5730,1.42e+14,1.47e+14,14745600
920,6.6852,6.5694,1.45e+14,1.51e+14,15073280
940,6.8061,6.5663,1.48e+14,1.54e+14,15400960
960,6.6839,6.5631,1.52e+14,1.57e+14,15728640
980,6.7819,6.5597,1.55e+14,1.61e+14,16056320
1000,6.7375,6.5565,1.58e+14,1.64e+14,16384000
1020,6.6741,6.5540,1.61e+14,1.67e+14,16711680
1040,6.6604,6.5513,1.64e+14,1.70e+14,17039360
1060,6.6542,6.5489,1.67e+14,1.74e+14,17367040
1080,6.7266,6.5465,1.71e+14,1.77e+14,17694720
