step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.9110,9.8248,2.25e+12,2.53e+12,163840
40,7.8175,7.9320,4.62e+12,5.06e+12,327680
60,7.5987,7.7886,7.00e+12,7.60e+12,491520
80,7.6563,7.8111,9.37e+12,1.01e+13,655360
100,7.7058,7.8394,1.17e+13,1.27e+13,819200
120,7.7147,7.7975,1.41e+13,1.52e+13,983040
140,7.6903,7.7922,1.65e+13,1.77e+13,1146880
160,7.6301,7.7695,1.89e+13,2.03e+13,1310720
180,7.6996,7.7439,2.12e+13,2.28e+13,1474560
200,7.6650,7.7618,2.36e+13,2.53e+13,1638400
220,7.6997,7.7248,2.60e+13,2.79e+13,1802240
240,7.6216,7.7212,2.83e+13,3.04e+13,1966080
260,7.6891,7.7112,3.07e+13,3.29e+13,2129920
280,7.7336,7.6995,3.31e+13,3.55e+13,2293760
300,7.6186,7.5980,3.55e+13,3.80e+13,2457600
320,7.3640,7.5279,3.78e+13,4.05e+13,2621440
340,7.5026,7.4542,4.02e+13,4.31e+13,2785280
360,7.2932,7.4047,4.26e+13,4.56e+13,2949120
380,7.2778,7.3356,4.49e+13,4.81e+13,3112960
400,7.1066,7.2444,4.73e+13,5.06e+13,3276800
420,7.0129,7.1542,4.97e+13,5.32e+13,3440640
440,7.0548,7.0888,5.21e+13,5.57e+13,3604480
460,6.8837,7.0481,5.44e+13,5.82e+13,3768320
480,6.8480,7.0083,5.68e+13,6.08e+13,3932160
500,6.7832,6.9717,5.92e+13,6.33e+13,4096000
520,7.0774,6.9496,6.15e+13,6.58e+13,4259840
540,6.8899,6.9089,6.39e+13,6.84e+13,4423680
560,6.9086,6.9315,6.63e+13,7.09e+13,4587520
580,6.8846,6.8611,6.87e+13,7.34e+13,4751360
600,6.7393,6.8190,7.10e+13,7.60e+13,4915200
620,6.8402,6.7919,7.34e+13,7.85e+13,5079040
640,6.7071,6.7572,7.58e+13,8.10e+13,5242880
660,6.5746,6.7182,7.81e+13,8.36e+13,5406720
680,6.6191,6.6988,8.05e+13,8.61e+13,5570560
700,6.4218,6.6741,8.29e+13,8.86e+13,5734400
720,6.5562,6.6453,8.53e+13,9.12e+13,5898240
740,6.4333,6.6261,8.76e+13,9.37e+13,6062080
760,6.6106,6.6085,9.00e+13,9.62e+13,6225920
780,6.5038,6.6095,9.24e+13,9.88e+13,6389760
800,6.4404,6.5819,9.47e+13,1.01e+14,6553600
820,6.5270,6.5561,9.71e+13,1.04e+14,6717440
840,6.3949,6.5480,9.95e+13,1.06e+14,6881280
860,6.5362,6.5362,1.02e+14,1.09e+14,7045120
880,6.4985,6.5434,1.04e+14,1.11e+14,7208960
900,6.5067,6.5185,1.07e+14,1.14e+14,7372800
920,6.3814,6.5073,1.09e+14,1.16e+14,7536640
940,6.4642,6.4859,1.11e+14,1.19e+14,7700480
960,6.4219,6.4656,1.14e+14,1.22e+14,7864320
980,6.3119,6.4645,1.16e+14,1.24e+14,8028160
1000,6.5018,6.4448,1.18e+14,1.27e+14,8192000
1020,6.4550,6.4373,1.21e+14,1.29e+14,8355840
1040,6.4827,6.4252,1.23e+14,1.32e+14,8519680
1060,6.4356,6.4129,1.26e+14,1.34e+14,8683520
1080,6.3895,6.4081,1.28e+14,1.37e+14,8847360
1100,6.3039,6.3988,1.30e+14,1.39e+14,9011200
1120,6.4136,6.3888,1.33e+14,1.42e+14,9175040
1140,6.3092,6.3746,1.35e+14,1.44e+14,9338880
1160,6.3886,6.3718,1.37e+14,1.47e+14,9502720
1180,6.2038,6.3632,1.40e+14,1.49e+14,9666560
1200,6.2880,6.3448,1.42e+14,1.52e+14,9830400
1220,6.3224,6.3394,1.45e+14,1.54e+14,9994240
1240,6.3640,6.3274,1.47e+14,1.57e+14,10158080
1260,6.2871,6.3272,1.49e+14,1.60e+14,10321920
1280,6.3431,6.3142,1.52e+14,1.62e+14,10485760
1300,6.3908,6.3034,1.54e+14,1.65e+14,10649600
1320,6.2865,6.2949,1.56e+14,1.67e+14,10813440
1340,6.1398,6.2855,1.59e+14,1.70e+14,10977280
1360,6.2424,6.2795,1.61e+14,1.72e+14,11141120
1380,6.1221,6.2729,1.64e+14,1.75e+14,11304960
1400,6.2670,6.2682,1.66e+14,1.77e+14,11468800
1420,6.3238,6.2623,1.68e+14,1.80e+14,11632640
1440,6.2347,6.2579,1.71e+14,1.82e+14,11796480
1460,6.3212,6.2610,1.73e+14,1.85e+14,11960320
1480,6.2680,6.2484,1.75e+14,1.87e+14,12124160
1500,6.3245,6.2473,1.78e+14,1.90e+14,12288000
1520,6.2216,6.2315,1.80e+14,1.92e+14,12451840
1540,6.0489,6.2303,1.82e+14,1.95e+14,12615680
1560,6.3124,6.2256,1.85e+14,1.98e+14,12779520
1580,6.0924,6.2162,1.87e+14,2.00e+14,12943360
1600,6.0292,6.2190,1.90e+14,2.03e+14,13107200
1620,6.2310,6.2177,1.92e+14,2.05e+14,13271040
1640,6.2531,6.2095,1.94e+14,2.08e+14,13434880
1660,6.1174,6.2023,1.97e+14,2.10e+14,13598720
1680,6.1671,6.2018,1.99e+14,2.13e+14,13762560
1700,6.0167,6.1903,2.01e+14,2.15e+14,13926400
1720,6.1436,6.1963,2.04e+14,2.18e+14,14090240
1740,6.1439,6.1817,2.06e+14,2.20e+14,14254080
1760,6.1521,6.1836,2.09e+14,2.23e+14,14417920
1780,6.2956,6.1626,2.11e+14,2.25e+14,14581760
1800,6.0530,6.1680,2.13e+14,2.28e+14,14745600
1820,6.0700,6.1562,2.16e+14,2.30e+14,14909440
1840,6.1211,6.1535,2.18e+14,2.33e+14,15073280
1860,6.1302,6.1537,2.20e+14,2.36e+14,15237120
1880,5.8885,6.1564,2.23e+14,2.38e+14,15400960
1900,6.0785,6.1499,2.25e+14,2.41e+14,15564800
