step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.5798,10.5613,3.00e+12,3.47e+12,163840
40,9.3848,9.4292,6.17e+12,6.95e+12,327680
60,8.3886,8.1669,9.33e+12,1.04e+13,491520
80,7.6856,7.7303,1.25e+13,1.39e+13,655360
100,7.7128,7.7243,1.57e+13,1.74e+13,819200
120,7.5713,7.7444,1.88e+13,2.08e+13,983040
140,7.8912,7.7371,2.20e+13,2.43e+13,1146880
160,7.5883,7.7180,2.51e+13,2.78e+13,1310720
180,7.5004,7.7246,2.83e+13,3.13e+13,1474560
200,8.0626,7.7333,3.15e+13,3.47e+13,1638400
220,7.4933,7.7345,3.46e+13,3.82e+13,1802240
240,7.8380,7.7396,3.78e+13,4.17e+13,1966080
260,8.0398,7.7219,4.09e+13,4.52e+13,2129920
280,8.0131,7.7189,4.41e+13,4.86e+13,2293760
300,7.6405,7.7068,4.73e+13,5.21e+13,2457600
320,7.7564,7.7057,5.04e+13,5.56e+13,2621440
340,8.0199,7.7258,5.36e+13,5.91e+13,2785280
360,7.4716,7.7069,5.68e+13,6.25e+13,2949120
380,7.7679,7.7001,5.99e+13,6.60e+13,3112960
400,7.7202,7.6987,6.31e+13,6.95e+13,3276800
420,7.5731,7.6944,6.62e+13,7.30e+13,3440640
440,7.8836,7.6922,6.94e+13,7.64e+13,3604480
460,7.8276,7.6874,7.26e+13,7.99e+13,3768320
480,7.8293,7.6898,7.57e+13,8.34e+13,3932160
500,8.0846,7.6833,7.89e+13,8.69e+13,4096000
520,7.4203,7.6916,8.21e+13,9.03e+13,4259840
540,7.6782,7.6900,8.52e+13,9.38e+13,4423680
560,7.6077,7.6876,8.84e+13,9.73e+13,4587520
580,7.6834,7.6809,9.15e+13,1.01e+14,4751360
600,7.5685,7.6817,9.47e+13,1.04e+14,4915200
620,7.6234,7.6724,9.79e+13,1.08e+14,5079040
640,7.9633,7.6680,1.01e+14,1.11e+14,5242880
660,7.9559,7.6561,1.04e+14,1.15e+14,5406720
680,7.9165,7.6415,1.07e+14,1.18e+14,5570560
700,7.7927,7.5898,1.11e+14,1.22e+14,5734400
720,7.5531,7.5730,1.14e+14,1.25e+14,5898240
740,7.8499,7.5325,1.17e+14,1.29e+14,6062080
760,7.5095,7.5118,1.20e+14,1.32e+14,6225920
780,7.2701,7.4875,1.23e+14,1.35e+14,6389760
800,7.4263,7.4858,1.26e+14,1.39e+14,6553600
820,7.4737,7.4676,1.29e+14,1.42e+14,6717440
840,7.5208,7.4634,1.33e+14,1.46e+14,6881280
860,7.4115,7.4477,1.36e+14,1.49e+14,7045120
880,7.3645,7.4386,1.39e+14,1.53e+14,7208960
900,7.5628,7.4384,1.42e+14,1.56e+14,7372800
920,7.3719,7.4306,1.45e+14,1.60e+14,7536640
940,7.3170,7.4300,1.48e+14,1.63e+14,7700480
960,7.3623,7.4253,1.52e+14,1.67e+14,7864320
980,7.4939,7.4262,1.55e+14,1.70e+14,8028160
1000,7.2493,7.4156,1.58e+14,1.74e+14,8192000
1020,7.2330,7.4132,1.61e+14,1.77e+14,8355840
1040,7.2593,7.4196,1.64e+14,1.81e+14,8519680
1060,7.5989,7.4334,1.67e+14,1.84e+14,8683520
1080,7.2354,7.4165,1.71e+14,1.88e+14,8847360
1100,7.2640,7.4132,1.74e+14,1.91e+14,9011200
1120,7.4675,7.4027,1.77e+14,1.95e+14,9175040
1140,7.4859,7.4189,1.80e+14,1.98e+14,9338880
1160,7.4076,7.4001,1.83e+14,2.01e+14,9502720
1180,7.3213,7.3988,1.86e+14,2.05e+14,9666560
1200,7.3535,7.3907,1.90e+14,2.08e+14,9830400
1220,7.4195,7.3860,1.93e+14,2.12e+14,9994240
1240,7.3302,7.3861,1.96e+14,2.15e+14,10158080
1260,7.4266,7.3853,1.99e+14,2.19e+14,10321920
1280,7.5295,7.3858,2.02e+14,2.22e+14,10485760
1300,7.4382,7.3857,2.05e+14,2.26e+14,10649600
1320,7.3181,7.3831,2.09e+14,2.29e+14,10813440
1340,7.2937,7.3803,2.12e+14,2.33e+14,10977280
1360,7.4534,7.3782,2.15e+14,2.36e+14,11141120
1380,7.5045,7.3767,2.18e+14,2.40e+14,11304960
1400,7.1337,7.3834,2.21e+14,2.43e+14,11468800
1420,7.2862,7.3804,2.24e+14,2.47e+14,11632640
1440,7.3562,7.3826,2.28e+14,2.50e+14,11796480
1460,7.4827,7.3805,2.31e+14,2.54e+14,11960320
1480,7.4557,7.3833,2.34e+14,2.57e+14,12124160
1500,7.5567,7.3768,2.37e+14,2.61e+14,12288000
1520,7.3391,7.3782,2.40e+14,2.64e+14,12451840
1540,7.5034,7.3767,2.43e+14,2.68e+14,12615680
1560,7.4205,7.3851,2.46e+14,2.71e+14,12779520
1580,7.5278,7.3692,2.50e+14,2.74e+14,12943360
