step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.0254,8.0154,1.20e+13,1.33e+13,327680
40,7.7275,7.9298,2.47e+13,2.65e+13,655360
60,7.9921,8.2445,3.73e+13,3.98e+13,983040
80,8.4468,7.9225,5.00e+13,5.31e+13,1310720
100,7.7397,7.7467,6.26e+13,6.63e+13,1638400
120,7.4870,7.7100,7.53e+13,7.96e+13,1966080
140,7.4723,7.5968,8.79e+13,9.29e+13,2293760
160,7.3452,7.5998,1.01e+14,1.06e+14,2621440
180,7.2222,7.4063,1.13e+14,1.19e+14,2949120
200,7.0995,7.3299,1.26e+14,1.33e+14,3276800
220,6.9537,7.2194,1.38e+14,1.46e+14,3604480
240,6.9593,7.0381,1.51e+14,1.59e+14,3932160
260,6.7806,6.9482,1.64e+14,1.72e+14,4259840
280,6.6109,6.8933,1.76e+14,1.86e+14,4587520
300,6.6060,6.7848,1.89e+14,1.99e+14,4915200
320,6.5049,6.7291,2.02e+14,2.12e+14,5242880
340,6.4831,6.6759,2.14e+14,2.26e+14,5570560
360,6.3873,6.6289,2.27e+14,2.39e+14,5898240
380,6.3835,6.6085,2.40e+14,2.52e+14,6225920
400,6.4718,6.5528,2.52e+14,2.65e+14,6553600
420,6.4970,6.5364,2.65e+14,2.79e+14,6881280
440,6.3654,6.5108,2.78e+14,2.92e+14,7208960
460,6.3024,6.4808,2.90e+14,3.05e+14,7536640
480,6.2989,6.4608,3.03e+14,3.18e+14,7864320
500,6.2091,6.3975,3.16e+14,3.32e+14,8192000
520,6.1821,6.4096,3.28e+14,3.45e+14,8519680
540,6.1840,6.3759,3.41e+14,3.58e+14,8847360
560,6.0481,6.3516,3.54e+14,3.71e+14,9175040
580,6.0513,6.3269,3.66e+14,3.85e+14,9502720
600,6.0384,6.3280,3.79e+14,3.98e+14,9830400
620,6.0597,6.3153,3.91e+14,4.11e+14,10158080
640,6.0600,6.2800,4.04e+14,4.25e+14,10485760
660,6.1157,6.2551,4.17e+14,4.38e+14,10813440
680,5.9327,6.2447,4.29e+14,4.51e+14,11141120
700,6.0476,6.2575,4.42e+14,4.64e+14,11468800
720,6.0951,6.2452,4.55e+14,4.78e+14,11796480
740,6.0112,6.2240,4.67e+14,4.91e+14,12124160
760,5.9778,6.2191,4.80e+14,5.04e+14,12451840
780,5.9777,6.2104,4.93e+14,5.17e+14,12779520
800,5.9502,6.1706,5.05e+14,5.31e+14,13107200
820,5.9420,6.1651,5.18e+14,5.44e+14,13434880
840,6.0301,6.1486,5.31e+14,5.57e+14,13762560
860,5.9892,6.1679,5.43e+14,5.70e+14,14090240
880,5.9209,6.1313,5.56e+14,5.84e+14,14417920
900,5.8887,6.1316,5.69e+14,5.97e+14,14745600
920,5.9936,6.1174,5.81e+14,6.10e+14,15073280
940,5.8744,6.1415,5.94e+14,6.23e+14,15400960
960,5.9066,6.1127,6.06e+14,6.37e+14,15728640
980,5.8876,6.0956,6.19e+14,6.50e+14,16056320
1000,5.8806,6.1003,6.32e+14,6.63e+14,16384000
1020,5.9099,6.0932,6.44e+14,6.77e+14,16711680
1040,5.8248,6.0781,6.57e+14,6.90e+14,17039360
1060,5.9318,6.0658,6.70e+14,7.03e+14,17367040
1080,5.7404,6.1174,6.82e+14,7.16e+14,17694720
1100,5.8480,6.0632,6.95e+14,7.30e+14,18022400
1120,5.8765,6.0685,7.08e+14,7.43e+14,18350080
1140,5.9218,6.1001,7.20e+14,7.56e+14,18677760
1160,5.8391,6.0397,7.33e+14,7.69e+14,19005440
1180,5.9548,6.0567,7.46e+14,7.83e+14,19333120
1200,5.8287,6.0366,7.58e+14,7.96e+14,19660800
1220,5.7042,6.0464,7.71e+14,8.09e+14,19988480
1240,5.8174,6.0288,7.84e+14,8.22e+14,20316160
1260,5.8306,6.0272,7.96e+14,8.36e+14,20643840
1280,5.7990,6.0096,8.09e+14,8.49e+14,20971520
1300,5.8267,6.0064,8.21e+14,8.62e+14,21299200
1320,5.8292,5.9992,8.34e+14,8.76e+14,21626880
1340,5.8920,5.9901,8.47e+14,8.89e+14,21954560
1360,5.8563,5.9842,8.59e+14,9.02e+14,22282240
1380,5.7869,5.9746,8.72e+14,9.15e+14,22609920
1400,5.7748,6.0015,8.85e+14,9.29e+14,22937600
1420,5.7731,5.9790,8.97e+14,9.42e+14,23265280
1440,5.8446,5.9682,9.10e+14,9.55e+14,23592960
1460,5.7543,5.9502,9.23e+14,9.68e+14,23920640
1480,5.8916,5.9518,9.35e+14,9.82e+14,24248320
1500,5.6547,5.9744,9.48e+14,9.95e+14,24576000
1520,5.7826,5.9514,9.61e+14,1.01e+15,24903680
1540,5.8894,5.9608,9.73e+14,1.02e+15,25231360
1560,5.7911,5.9391,9.86e+14,1.03e+15,25559040
1580,5.7688,5.9513,9.99e+14,1.05e+15,25886720
1600,5.8234,5.9547,1.01e+15,1.06e+15,26214400
1620,5.6958,5.9372,1.02e+15,1.07e+15,26542080
1640,5.8185,5.9127,1.04e+15,1.09e+15,26869760
1660,5.7927,5.9337,1.05e+15,1.10e+15,27197440
1680,5.7012,5.9123,1.06e+15,1.11e+15,27525120
1700,5.6813,5.9173,1.07e+15,1.13e+15,27852800
1720,5.7529,5.9568,1.09e+15,1.14e+15,28180480
1740,5.8088,5.9155,1.10e+15,1.15e+15,28508160
1760,5.7772,5.8970,1.11e+15,1.17e+15,28835840
1780,5.7586,5.8972,1.13e+15,1.18e+15,29163520
1800,5.6235,5.8938,1.14e+15,1.19e+15,29491200
1820,5.6517,5.8934,1.15e+15,1.21e+15,29818880
1840,5.7938,5.9016,1.16e+15,1.22e+15,30146560
1860,5.7033,5.8769,1.18e+15,1.23e+15,30474240
1880,5.6824,5.8754,1.19e+15,1.25e+15,30801920
1900,5.6289,5.8687,1.20e+15,1.26e+15,31129600
1920,5.7789,5.8787,1.21e+15,1.27e+15,31457280
1940,5.8679,5.9180,1.23e+15,1.29e+15,31784960
1960,5.7412,5.8653,1.24e+15,1.30e+15,32112640
1980,5.6272,5.8589,1.25e+15,1.31e+15,32440320
2000,5.8717,5.8518,1.26e+15,1.33e+15,32768000
2020,5.7528,5.8497,1.28e+15,1.34e+15,33095680
2040,5.7558,5.8488,1.29e+15,1.35e+15,33423360
2060,5.6845,5.8510,1.30e+15,1.37e+15,33751040
2080,5.8303,5.8507,1.31e+15,1.38e+15,34078720
2100,5.7074,5.8403,1.33e+15,1.39e+15,34406400
2120,5.7018,5.8330,1.34e+15,1.41e+15,34734080
2140,5.7009,5.8320,1.35e+15,1.42e+15,35061760
2160,5.7100,5.8289,1.37e+15,1.43e+15,35389440
2180,5.6084,5.8332,1.38e+15,1.45e+15,35717120
2200,5.6093,5.8254,1.39e+15,1.46e+15,36044800
2220,5.5730,5.8196,1.40e+15,1.47e+15,36372480
2240,5.6044,5.8234,1.42e+15,1.49e+15,36700160
2260,5.7096,5.8371,1.43e+15,1.50e+15,37027840
2280,5.6200,5.8122,1.44e+15,1.51e+15,37355520
2300,5.5541,5.8106,1.45e+15,1.53e+15,37683200
2320,5.6634,5.8077,1.47e+15,1.54e+15,38010880
2340,5.6991,5.8059,1.48e+15,1.55e+15,38338560
2360,5.6224,5.8003,1.49e+15,1.57e+15,38666240
2380,5.6204,5.7904,1.50e+15,1.58e+15,38993920
2400,5.6160,5.7863,1.52e+15,1.59e+15,39321600
2420,5.6023,5.7867,1.53e+15,1.61e+15,39649280
2440,5.5480,5.7939,1.54e+15,1.62e+15,39976960
2460,5.5941,5.8004,1.56e+15,1.63e+15,40304640
2480,5.5891,5.7858,1.57e+15,1.64e+15,40632320
2500,5.6113,5.7769,1.58e+15,1.66e+15,40960000
2520,5.7200,5.7674,1.59e+15,1.67e+15,41287680
2540,5.6742,5.7644,1.61e+15,1.68e+15,41615360
2560,5.6202,5.7677,1.62e+15,1.70e+15,41943040
2580,5.6835,5.7582,1.63e+15,1.71e+15,42270720
2600,5.6229,5.7579,1.64e+15,1.72e+15,42598400
2620,5.6581,5.7520,1.66e+15,1.74e+15,42926080
2640,5.6082,5.7541,1.67e+15,1.75e+15,43253760
2660,5.6626,5.7478,1.68e+15,1.76e+15,43581440
2680,5.6294,5.7533,1.69e+15,1.78e+15,43909120
2700,5.5352,5.7493,1.71e+15,1.79e+15,44236800
2720,5.5853,5.7467,1.72e+15,1.80e+15,44564480
2740,5.5101,5.7392,1.73e+15,1.82e+15,44892160
2760,5.5465,5.7387,1.74e+15,1.83e+15,45219840
