step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.2355,8.9092,3.32e+12,6.66e+12,655360
40,7.6756,7.8368,6.48e+12,1.33e+13,1310720
60,7.8054,7.7389,9.64e+12,2.00e+13,1966080
80,7.7854,7.7156,1.28e+13,2.66e+13,2621440
100,7.6973,7.7085,1.60e+13,3.33e+13,3276800
120,7.5162,7.6964,1.91e+13,3.99e+13,3932160
140,7.7224,7.6922,2.23e+13,4.66e+13,4587520
160,8.0044,7.6911,2.55e+13,5.32e+13,5242880
180,7.7240,7.6897,2.86e+13,5.99e+13,5898240
200,7.6736,7.6860,3.18e+13,6.66e+13,6553600
220,7.6779,7.6848,3.49e+13,7.32e+13,7208960
240,7.6793,7.6802,3.81e+13,7.99e+13,7864320
260,7.7898,7.6723,4.13e+13,8.65e+13,8519680
280,7.7250,7.6638,4.44e+13,9.32e+13,9175040
300,7.6199,7.6482,4.76e+13,9.98e+13,9830400
320,7.6193,7.6257,5.08e+13,1.06e+14,10485760
340,7.5124,7.5830,5.39e+13,1.13e+14,11141120
360,7.3885,7.5329,5.71e+13,1.20e+14,11796480
380,7.5144,7.4924,6.02e+13,1.26e+14,12451840
400,7.8113,7.4659,6.34e+13,1.33e+14,13107200
420,7.4183,7.4328,6.66e+13,1.40e+14,13762560
440,7.3787,7.4040,6.97e+13,1.46e+14,14417920
460,7.3538,7.3675,7.29e+13,1.53e+14,15073280
480,7.4671,7.3311,7.60e+13,1.60e+14,15728640
500,7.4495,7.3021,7.92e+13,1.66e+14,16384000
520,7.2065,7.2627,8.24e+13,1.73e+14,17039360
540,7.1197,7.2461,8.55e+13,1.80e+14,17694720
560,7.1957,7.2318,8.87e+13,1.86e+14,18350080
580,7.0848,7.2146,9.19e+13,1.93e+14,19005440
600,7.2072,7.1834,9.50e+13,2.00e+14,19660800
620,7.1151,7.1749,9.82e+13,2.06e+14,20316160
640,7.1579,7.1555,1.01e+14,2.13e+14,20971520
660,7.1066,7.1303,1.05e+14,2.20e+14,21626880
680,7.0827,7.1186,1.08e+14,2.26e+14,22282240
700,7.4783,7.0975,1.11e+14,2.33e+14,22937600
720,6.9336,7.0814,1.14e+14,2.40e+14,23592960
