step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.1453,9.9312,3.32e+12,6.66e+12,655360
40,8.0863,8.1050,6.48e+12,1.33e+13,1310720
60,7.8810,7.7735,9.64e+12,2.00e+13,1966080
80,7.8131,7.7222,1.28e+13,2.66e+13,2621440
100,7.7101,7.7133,1.60e+13,3.33e+13,3276800
120,7.5475,7.7042,1.91e+13,3.99e+13,3932160
140,7.7425,7.7006,2.23e+13,4.66e+13,4587520
160,8.0203,7.7009,2.55e+13,5.32e+13,5242880
180,7.7576,7.7013,2.86e+13,5.99e+13,5898240
200,7.6995,7.6979,3.18e+13,6.66e+13,6553600
220,7.7070,7.6965,3.49e+13,7.32e+13,7208960
240,7.7011,7.6925,3.81e+13,7.99e+13,7864320
260,7.8070,7.6907,4.13e+13,8.65e+13,8519680
280,7.7614,7.6922,4.44e+13,9.32e+13,9175040
300,7.6560,7.6879,4.76e+13,9.98e+13,9830400
320,7.6989,7.6876,5.08e+13,1.06e+14,10485760
340,7.6269,7.6883,5.39e+13,1.13e+14,11141120
360,7.5456,7.6856,5.71e+13,1.20e+14,11796480
380,7.6854,7.6846,6.02e+13,1.26e+14,12451840
400,8.0038,7.6833,6.34e+13,1.33e+14,13107200
420,7.6776,7.6826,6.66e+13,1.40e+14,13762560
440,7.6581,7.6814,6.97e+13,1.46e+14,14417920
460,7.6923,7.6810,7.29e+13,1.53e+14,15073280
480,7.7951,7.6787,7.60e+13,1.60e+14,15728640
500,7.8422,7.6786,7.92e+13,1.66e+14,16384000
520,7.6383,7.6773,8.24e+13,1.73e+14,17039360
540,7.6224,7.6763,8.55e+13,1.80e+14,17694720
560,7.6899,7.6759,8.87e+13,1.86e+14,18350080
580,7.6165,7.6741,9.19e+13,1.93e+14,19005440
600,7.7329,7.6740,9.50e+13,2.00e+14,19660800
620,7.6490,7.6736,9.82e+13,2.06e+14,20316160
640,7.7138,7.6728,1.01e+14,2.13e+14,20971520
660,7.6753,7.6725,1.05e+14,2.20e+14,21626880
680,7.6914,7.6722,1.08e+14,2.26e+14,22282240
700,8.0804,7.6717,1.11e+14,2.33e+14,22937600
720,7.5812,7.6713,1.14e+14,2.40e+14,23592960
