step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.3874,8.3267,3.00e+12,3.28e+12,327680
40,7.6343,7.7776,6.17e+12,6.55e+12,655360
60,7.7183,7.7696,9.33e+12,9.83e+12,983040
80,7.7702,7.7675,1.25e+13,1.31e+13,1310720
100,7.6594,7.7274,1.57e+13,1.64e+13,1638400
120,7.6711,7.6415,1.88e+13,1.97e+13,1966080
140,7.5228,7.5607,2.20e+13,2.29e+13,2293760
160,7.4350,7.4407,2.51e+13,2.62e+13,2621440
180,7.2992,7.3791,2.83e+13,2.95e+13,2949120
200,7.3587,7.3231,3.15e+13,3.28e+13,3276800
220,7.2619,7.2770,3.46e+13,3.61e+13,3604480
240,7.1786,7.2070,3.78e+13,3.93e+13,3932160
260,7.2204,7.1510,4.09e+13,4.26e+13,4259840
280,7.0242,7.0970,4.41e+13,4.59e+13,4587520
300,7.0992,7.0491,4.73e+13,4.92e+13,4915200
320,6.9293,7.0037,5.04e+13,5.24e+13,5242880
340,7.0241,6.9621,5.36e+13,5.57e+13,5570560
360,6.9547,6.9198,5.68e+13,5.90e+13,5898240
380,6.8905,6.8813,5.99e+13,6.23e+13,6225920
400,6.7577,6.8504,6.31e+13,6.55e+13,6553600
420,6.8672,6.8206,6.62e+13,6.88e+13,6881280
440,6.8841,6.7916,6.94e+13,7.21e+13,7208960
460,6.8588,6.7652,7.26e+13,7.54e+13,7536640
480,6.7330,6.7431,7.57e+13,7.87e+13,7864320
500,6.8166,6.7185,7.89e+13,8.19e+13,8192000
520,6.7732,6.7040,8.21e+13,8.52e+13,8519680
540,6.7939,6.6815,8.52e+13,8.85e+13,8847360
560,6.6615,6.6688,8.84e+13,9.18e+13,9175040
580,6.7654,6.6487,9.15e+13,9.50e+13,9502720
600,6.6837,6.6358,9.47e+13,9.83e+13,9830400
620,6.7197,6.6206,9.79e+13,1.02e+14,10158080
640,6.7386,6.6088,1.01e+14,1.05e+14,10485760
660,6.6954,6.5950,1.04e+14,1.08e+14,10813440
680,6.7452,6.5832,1.07e+14,1.11e+14,11141120
700,6.7211,6.5720,1.11e+14,1.15e+14,11468800
720,6.6655,6.5632,1.14e+14,1.18e+14,11796480
740,6.7556,6.5499,1.17e+14,1.21e+14,12124160
760,6.6213,6.5399,1.20e+14,1.25e+14,12451840
780,6.6697,6.5314,1.23e+14,1.28e+14,12779520
800,6.6866,6.5277,1.26e+14,1.31e+14,13107200
820,6.6345,6.5176,1.29e+14,1.34e+14,13434880
840,6.6324,6.5100,1.33e+14,1.38e+14,13762560
860,6.7018,6.5032,1.36e+14,1.41e+14,14090240
880,6.6538,6.4956,1.39e+14,1.44e+14,14417920
900,6.6711,6.4889,1.42e+14,1.47e+14,14745600
920,6.5293,6.4859,1.45e+14,1.51e+14,15073280
940,6.6411,6.4802,1.48e+14,1.54e+14,15400960
960,6.5896,6.4729,1.52e+14,1.57e+14,15728640
980,6.6548,6.4690,1.55e+14,1.61e+14,16056320
1000,6.6010,6.4632,1.58e+14,1.64e+14,16384000
1020,6.5383,6.4591,1.61e+14,1.67e+14,16711680
1040,6.5109,6.4545,1.64e+14,1.70e+14,17039360
1060,6.5538,6.4506,1.67e+14,1.74e+14,17367040
1080,6.5927,6.4472,1.71e+14,1.77e+14,17694720
1100,6.5645,6.4420,1.74e+14,1.80e+14,18022400
1120,6.4673,6.4389,1.77e+14,1.84e+14,18350080
1140,6.5535,6.4361,1.80e+14,1.87e+14,18677760
1160,6.5800,6.4340,1.83e+14,1.90e+14,19005440
1180,6.4948,6.4307,1.86e+14,1.93e+14,19333120
1200,6.5362,6.4284,1.90e+14,1.97e+14,19660800
1220,6.6055,6.4270,1.93e+14,2.00e+14,19988480
1240,6.5309,6.4237,1.96e+14,2.03e+14,20316160
1260,6.5732,6.4209,1.99e+14,2.06e+14,20643840
1280,6.6121,6.4191,2.02e+14,2.10e+14,20971520
1300,6.6509,6.4174,2.05e+14,2.13e+14,21299200
1320,6.5697,6.4152,2.09e+14,2.16e+14,21626880
1340,6.4592,6.4124,2.12e+14,2.20e+14,21954560
1360,6.5754,6.4104,2.15e+14,2.23e+14,22282240
1380,6.6079,6.4081,2.18e+14,2.26e+14,22609920
1400,6.5734,6.4068,2.21e+14,2.29e+14,22937600
1420,6.6496,6.4047,2.24e+14,2.33e+14,23265280
1440,6.5328,6.4042,2.28e+14,2.36e+14,23592960
1460,6.6140,6.4028,2.31e+14,2.39e+14,23920640
