step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.8816,9.7525,1.20e+13,1.39e+13,655360
40,7.7403,7.8010,2.47e+13,2.78e+13,1310720
60,7.7491,7.7339,3.73e+13,4.17e+13,1966080
80,7.6728,7.7133,5.00e+13,5.56e+13,2621440
100,7.7026,7.7095,6.26e+13,6.95e+13,3276800
120,7.6377,7.7093,7.53e+13,8.34e+13,3932160
140,7.6665,7.7094,8.79e+13,9.72e+13,4587520
160,7.6670,7.7058,1.01e+14,1.11e+14,5242880
180,7.6764,7.7055,1.13e+14,1.25e+14,5898240
200,7.6273,7.7057,1.26e+14,1.39e+14,6553600
220,7.6729,7.7062,1.38e+14,1.53e+14,7208960
240,7.6845,7.7121,1.51e+14,1.67e+14,7864320
260,7.6286,7.7028,1.64e+14,1.81e+14,8519680
280,7.6411,7.7060,1.76e+14,1.94e+14,9175040
300,7.7098,7.7021,1.89e+14,2.08e+14,9830400
320,7.6760,7.7102,2.02e+14,2.22e+14,10485760
340,7.6869,7.7120,2.14e+14,2.36e+14,11141120
360,7.7081,7.7043,2.27e+14,2.50e+14,11796480
380,7.6934,7.7033,2.40e+14,2.64e+14,12451840
400,7.7173,7.7034,2.52e+14,2.78e+14,13107200
420,7.6845,7.7013,2.65e+14,2.92e+14,13762560
440,7.6377,7.7038,2.78e+14,3.06e+14,14417920
460,7.6535,7.6990,2.90e+14,3.20e+14,15073280
480,7.7173,7.6977,3.03e+14,3.33e+14,15728640
500,7.6692,7.6950,3.16e+14,3.47e+14,16384000
520,7.6849,7.6959,3.28e+14,3.61e+14,17039360
540,7.7143,7.6952,3.41e+14,3.75e+14,17694720
560,7.7005,7.6953,3.54e+14,3.89e+14,18350080
580,7.6853,7.6916,3.66e+14,4.03e+14,19005440
600,7.6497,7.6911,3.79e+14,4.17e+14,19660800
620,7.6674,7.6909,3.91e+14,4.31e+14,20316160
640,7.6787,7.6875,4.04e+14,4.45e+14,20971520
660,7.6528,7.6921,4.17e+14,4.58e+14,21626880
680,7.6435,7.6884,4.29e+14,4.72e+14,22282240
700,7.6510,7.6877,4.42e+14,4.86e+14,22937600
720,7.6407,7.6884,4.55e+14,5.00e+14,23592960
740,7.7453,7.6889,4.67e+14,5.14e+14,24248320
760,7.6795,7.6845,4.80e+14,5.28e+14,24903680
780,7.6825,7.6834,4.93e+14,5.42e+14,25559040
800,7.6597,7.6842,5.05e+14,5.56e+14,26214400
820,7.6968,7.6857,5.18e+14,5.70e+14,26869760
840,7.6863,7.6825,5.31e+14,5.83e+14,27525120
860,7.6682,7.6795,5.43e+14,5.97e+14,28180480
880,7.6873,7.6768,5.56e+14,6.11e+14,28835840
900,7.6354,7.6741,5.69e+14,6.25e+14,29491200
920,7.6882,7.6764,5.81e+14,6.39e+14,30146560
940,7.7345,7.6746,5.94e+14,6.53e+14,30801920
960,7.6688,7.6720,6.06e+14,6.67e+14,31457280
980,7.6163,7.6703,6.19e+14,6.81e+14,32112640
1000,7.7198,7.6694,6.32e+14,6.95e+14,32768000
1020,7.6066,7.6679,6.44e+14,7.08e+14,33423360
1040,7.6231,7.6677,6.57e+14,7.22e+14,34078720
1060,7.6705,7.6654,6.70e+14,7.36e+14,34734080
1080,7.5990,7.6618,6.82e+14,7.50e+14,35389440
1100,7.6526,7.6619,6.95e+14,7.64e+14,36044800
1120,7.6572,7.6611,7.08e+14,7.78e+14,36700160
1140,7.6422,7.6596,7.20e+14,7.92e+14,37355520
1160,7.6337,7.6599,7.33e+14,8.06e+14,38010880
1180,7.6561,7.6572,7.46e+14,8.20e+14,38666240
1200,7.6581,7.6556,7.58e+14,8.34e+14,39321600
1220,7.6157,7.6558,7.71e+14,8.47e+14,39976960
1240,7.6317,7.6553,7.84e+14,8.61e+14,40632320
1260,7.6220,7.6567,7.96e+14,8.75e+14,41287680
1280,7.6585,7.6557,8.09e+14,8.89e+14,41943040
1300,7.6616,7.6557,8.21e+14,9.03e+14,42598400
1320,7.6747,7.6538,8.34e+14,9.17e+14,43253760
1340,7.7152,7.6528,8.47e+14,9.31e+14,43909120
1360,7.6069,7.6521,8.59e+14,9.45e+14,44564480
1380,7.6234,7.6511,8.72e+14,9.59e+14,45219840
1400,7.6320,7.6503,8.85e+14,9.72e+14,45875200
1420,7.5838,7.6494,8.97e+14,9.86e+14,46530560
1440,7.6705,7.6493,9.10e+14,1.00e+15,47185920
1460,7.6210,7.6503,9.23e+14,1.01e+15,47841280
1480,7.6500,7.6493,9.35e+14,1.03e+15,48496640
1500,7.6824,7.6484,9.48e+14,1.04e+15,49152000
1520,7.7080,7.6492,9.61e+14,1.06e+15,49807360
