step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6824,10.6610,3.00e+12,3.47e+12,163840
40,9.5871,9.5184,6.17e+12,6.95e+12,327680
60,8.1698,8.2104,9.33e+12,1.04e+13,491520
80,7.6679,7.7453,1.25e+13,1.39e+13,655360
100,7.7465,7.7540,1.57e+13,1.74e+13,819200
120,7.6792,7.7695,1.88e+13,2.08e+13,983040
140,7.6474,7.7704,2.20e+13,2.43e+13,1146880
160,7.6899,7.7676,2.51e+13,2.78e+13,1310720
180,7.6540,7.7729,2.83e+13,3.13e+13,1474560
200,7.6844,7.7727,3.15e+13,3.47e+13,1638400
220,7.7329,7.7680,3.46e+13,3.82e+13,1802240
240,7.8843,7.7789,3.78e+13,4.17e+13,1966080
260,7.6779,7.7699,4.09e+13,4.51e+13,2129920
280,7.7080,7.7701,4.41e+13,4.86e+13,2293760
300,7.7471,7.7701,4.73e+13,5.21e+13,2457600
320,7.6842,7.7814,5.04e+13,5.56e+13,2621440
340,7.7593,7.7795,5.36e+13,5.90e+13,2785280
360,7.8382,7.7576,5.68e+13,6.25e+13,2949120
380,7.7688,7.7456,5.99e+13,6.60e+13,3112960
400,7.6412,7.7281,6.31e+13,6.95e+13,3276800
420,7.7423,7.7246,6.62e+13,7.29e+13,3440640
440,7.6687,7.7213,6.94e+13,7.64e+13,3604480
460,7.6138,7.7162,7.26e+13,7.99e+13,3768320
480,7.8001,7.7121,7.57e+13,8.34e+13,3932160
500,7.7566,7.7162,7.89e+13,8.68e+13,4096000
520,7.7073,7.7267,8.21e+13,9.03e+13,4259840
540,7.7175,7.7221,8.52e+13,9.38e+13,4423680
560,7.8017,7.7265,8.84e+13,9.72e+13,4587520
580,7.6131,7.7133,9.15e+13,1.01e+14,4751360
600,7.6059,7.7159,9.47e+13,1.04e+14,4915200
620,7.7570,7.7186,9.79e+13,1.08e+14,5079040
640,7.6872,7.7018,1.01e+14,1.11e+14,5242880
660,7.6080,7.7080,1.04e+14,1.15e+14,5406720
680,7.6047,7.6991,1.07e+14,1.18e+14,5570560
700,7.6106,7.6912,1.11e+14,1.22e+14,5734400
720,7.6954,7.6939,1.14e+14,1.25e+14,5898240
740,7.7619,7.6927,1.17e+14,1.29e+14,6062080
760,7.6824,7.6895,1.20e+14,1.32e+14,6225920
780,7.5995,7.6939,1.23e+14,1.35e+14,6389760
800,7.6162,7.7075,1.26e+14,1.39e+14,6553600
820,7.5677,7.7053,1.29e+14,1.42e+14,6717440
840,7.6286,7.7041,1.33e+14,1.46e+14,6881280
860,7.7081,7.6988,1.36e+14,1.49e+14,7045120
880,7.7806,7.6937,1.39e+14,1.53e+14,7208960
900,7.7554,7.6933,1.42e+14,1.56e+14,7372800
920,7.7434,7.7029,1.45e+14,1.60e+14,7536640
940,7.8414,7.6974,1.48e+14,1.63e+14,7700480
960,7.6925,7.6872,1.52e+14,1.67e+14,7864320
980,7.5598,7.6892,1.55e+14,1.70e+14,8028160
1000,7.8202,7.6865,1.58e+14,1.74e+14,8192000
1020,7.6760,7.6851,1.61e+14,1.77e+14,8355840
1040,7.7450,7.6860,1.64e+14,1.81e+14,8519680
1060,7.6190,7.6823,1.67e+14,1.84e+14,8683520
1080,7.5570,7.6813,1.71e+14,1.88e+14,8847360
1100,7.4650,7.6890,1.74e+14,1.91e+14,9011200
1120,7.6314,7.6802,1.77e+14,1.94e+14,9175040
1140,7.6437,7.6841,1.80e+14,1.98e+14,9338880
1160,7.6802,7.6834,1.83e+14,2.01e+14,9502720
1180,7.7225,7.6809,1.86e+14,2.05e+14,9666560
1200,7.5854,7.6824,1.90e+14,2.08e+14,9830400
1220,7.6957,7.6807,1.93e+14,2.12e+14,9994240
1240,7.6292,7.6765,1.96e+14,2.15e+14,10158080
1260,7.5687,7.6784,1.99e+14,2.19e+14,10321920
1280,7.7097,7.6760,2.02e+14,2.22e+14,10485760
1300,7.6226,7.6767,2.05e+14,2.26e+14,10649600
1320,7.6187,7.6807,2.09e+14,2.29e+14,10813440
1340,7.7056,7.6754,2.12e+14,2.33e+14,10977280
1360,7.6491,7.6765,2.15e+14,2.36e+14,11141120
1380,7.6058,7.6776,2.18e+14,2.40e+14,11304960
1400,7.6567,7.6774,2.21e+14,2.43e+14,11468800
1420,7.6230,7.6761,2.24e+14,2.47e+14,11632640
1440,7.6654,7.6779,2.28e+14,2.50e+14,11796480
1460,7.6080,7.6800,2.31e+14,2.54e+14,11960320
1480,7.6778,7.6792,2.34e+14,2.57e+14,12124160
1500,7.7556,7.6919,2.37e+14,2.60e+14,12288000
1520,7.7273,7.6887,2.40e+14,2.64e+14,12451840
1540,7.7041,7.6938,2.43e+14,2.67e+14,12615680
1560,7.6765,7.6864,2.46e+14,2.71e+14,12779520
1580,7.6897,7.6800,2.50e+14,2.74e+14,12943360
1600,7.5648,7.6782,2.53e+14,2.78e+14,13107200
1620,7.6820,7.6753,2.56e+14,2.81e+14,13271040
1640,7.6657,7.6731,2.59e+14,2.85e+14,13434880
1660,7.5683,7.6735,2.62e+14,2.88e+14,13598720
1680,7.6719,7.6767,2.65e+14,2.92e+14,13762560
1700,7.6789,7.6753,2.69e+14,2.95e+14,13926400
1720,7.7764,7.6715,2.72e+14,2.99e+14,14090240
1740,7.6611,7.6736,2.75e+14,3.02e+14,14254080
1760,7.7150,7.6747,2.78e+14,3.06e+14,14417920
1780,7.6694,7.6793,2.81e+14,3.09e+14,14581760
1800,7.6242,7.6727,2.84e+14,3.13e+14,14745600
1820,7.5459,7.6677,2.88e+14,3.16e+14,14909440
1840,7.7257,7.6671,2.91e+14,3.20e+14,15073280
1860,7.6405,7.6740,2.94e+14,3.23e+14,15237120
1880,7.6533,7.6818,2.97e+14,3.26e+14,15400960
1900,7.6013,7.6811,3.00e+14,3.30e+14,15564800
1920,7.6844,7.6856,3.03e+14,3.33e+14,15728640
1940,7.6310,7.6898,3.07e+14,3.37e+14,15892480
1960,7.6923,7.6832,3.10e+14,3.40e+14,16056320
1980,7.6226,7.6805,3.13e+14,3.44e+14,16220160
2000,7.7033,7.6799,3.16e+14,3.47e+14,16384000
2020,7.6614,7.6785,3.19e+14,3.51e+14,16547840
2040,7.6023,7.6726,3.22e+14,3.54e+14,16711680
2060,7.7645,7.6678,3.26e+14,3.58e+14,16875520
2080,7.7104,7.6676,3.29e+14,3.61e+14,17039360
2100,7.5163,7.6716,3.32e+14,3.65e+14,17203200
2120,7.7457,7.6720,3.35e+14,3.68e+14,17367040
2140,7.6700,7.6695,3.38e+14,3.72e+14,17530880
2160,7.7181,7.6680,3.41e+14,3.75e+14,17694720
2180,7.6008,7.6717,3.44e+14,3.79e+14,17858560
2200,7.6475,7.6733,3.48e+14,3.82e+14,18022400
2220,7.6912,7.6731,3.51e+14,3.86e+14,18186240
2240,7.6416,7.6693,3.54e+14,3.89e+14,18350080
2260,7.7295,7.6702,3.57e+14,3.92e+14,18513920
2280,7.6387,7.6748,3.60e+14,3.96e+14,18677760
2300,7.5460,7.6697,3.63e+14,3.99e+14,18841600
2320,7.6308,7.6663,3.67e+14,4.03e+14,19005440
2340,7.7136,7.6676,3.70e+14,4.06e+14,19169280
2360,7.7408,7.6717,3.73e+14,4.10e+14,19333120
2380,7.6807,7.6716,3.76e+14,4.13e+14,19496960
2400,7.6956,7.6687,3.79e+14,4.17e+14,19660800
2420,7.6749,7.6676,3.82e+14,4.20e+14,19824640
2440,7.6259,7.6645,3.86e+14,4.24e+14,19988480
2460,7.6952,7.6670,3.89e+14,4.27e+14,20152320
2480,7.6891,7.6695,3.92e+14,4.31e+14,20316160
2500,7.6404,7.6691,3.95e+14,4.34e+14,20480000
2520,7.6641,7.6657,3.98e+14,4.38e+14,20643840
2540,7.7376,7.6656,4.01e+14,4.41e+14,20807680
2560,7.6064,7.6677,4.05e+14,4.45e+14,20971520
2580,7.5970,7.6671,4.08e+14,4.48e+14,21135360
2600,7.6266,7.6679,4.11e+14,4.51e+14,21299200
2620,7.6982,7.6650,4.14e+14,4.55e+14,21463040
2640,7.7612,7.6683,4.17e+14,4.58e+14,21626880
2660,7.6944,7.6664,4.20e+14,4.62e+14,21790720
2680,7.8825,7.6662,4.24e+14,4.65e+14,21954560
2700,7.5985,7.6686,4.27e+14,4.69e+14,22118400
2720,7.6656,7.6701,4.30e+14,4.72e+14,22282240
2740,7.6490,7.6635,4.33e+14,4.76e+14,22446080
2760,7.6809,7.6618,4.36e+14,4.79e+14,22609920
2780,7.6556,7.6634,4.39e+14,4.83e+14,22773760
2800,7.6565,7.6618,4.43e+14,4.86e+14,22937600
2820,7.7468,7.6626,4.46e+14,4.90e+14,23101440
2840,7.5469,7.6637,4.49e+14,4.93e+14,23265280
2860,7.7042,7.6593,4.52e+14,4.97e+14,23429120
2880,7.7171,7.6606,4.55e+14,5.00e+14,23592960
2900,7.6960,7.6605,4.58e+14,5.04e+14,23756800
2920,7.5738,7.6595,4.61e+14,5.07e+14,23920640
2940,7.6495,7.6584,4.65e+14,5.11e+14,24084480
2960,7.6289,7.6583,4.68e+14,5.14e+14,24248320
2980,7.7144,7.6596,4.71e+14,5.17e+14,24412160
3000,7.4866,7.6625,4.74e+14,5.21e+14,24576000
3020,7.6720,7.6594,4.77e+14,5.24e+14,24739840
3040,7.6206,7.6613,4.80e+14,5.28e+14,24903680
3060,7.5453,7.6624,4.84e+14,5.31e+14,25067520
3080,7.7386,7.6620,4.87e+14,5.35e+14,25231360
3100,7.6995,7.6597,4.90e+14,5.38e+14,25395200
3120,7.6918,7.6600,4.93e+14,5.42e+14,25559040
3140,7.6923,7.6579,4.96e+14,5.45e+14,25722880
3160,7.8433,7.6593,4.99e+14,5.49e+14,25886720
3180,7.7862,7.6616,5.03e+14,5.52e+14,26050560
3200,7.6442,7.6638,5.06e+14,5.56e+14,26214400
3220,7.6695,7.6685,5.09e+14,5.59e+14,26378240
3240,7.7174,7.6682,5.12e+14,5.63e+14,26542080
3260,7.5338,7.6602,5.15e+14,5.66e+14,26705920
3280,7.6160,7.6600,5.18e+14,5.70e+14,26869760
3300,7.7785,7.6643,5.22e+14,5.73e+14,27033600
3320,7.7050,7.6622,5.25e+14,5.77e+14,27197440
3340,7.6475,7.6594,5.28e+14,5.80e+14,27361280
3360,7.5791,7.6580,5.31e+14,5.83e+14,27525120
3380,7.6470,7.6579,5.34e+14,5.87e+14,27688960
3400,7.6669,7.6595,5.37e+14,5.90e+14,27852800
3420,7.7050,7.6583,5.41e+14,5.94e+14,28016640
3440,7.7375,7.6582,5.44e+14,5.97e+14,28180480
3460,7.6591,7.6591,5.47e+14,6.01e+14,28344320
3480,7.5955,7.6597,5.50e+14,6.04e+14,28508160
3500,7.6173,7.6586,5.53e+14,6.08e+14,28672000
3520,7.6033,7.6592,5.56e+14,6.11e+14,28835840
3540,7.6606,7.6574,5.60e+14,6.15e+14,28999680
3560,7.7034,7.6567,5.63e+14,6.18e+14,29163520
3580,7.6349,7.6569,5.66e+14,6.22e+14,29327360
3600,7.5790,7.6578,5.69e+14,6.25e+14,29491200
3620,7.6658,7.6604,5.72e+14,6.29e+14,29655040
3640,7.6673,7.6605,5.75e+14,6.32e+14,29818880
3660,7.5640,7.6574,5.78e+14,6.36e+14,29982720
3680,7.5573,7.6565,5.82e+14,6.39e+14,30146560
3700,7.6557,7.6553,5.85e+14,6.43e+14,30310400
3720,7.5794,7.6548,5.88e+14,6.46e+14,30474240
3740,7.6217,7.6559,5.91e+14,6.49e+14,30638080
3760,7.6625,7.6547,5.94e+14,6.53e+14,30801920
3780,7.6995,7.6558,5.97e+14,6.56e+14,30965760
3800,7.7473,7.6583,6.01e+14,6.60e+14,31129600
3820,7.5808,7.6572,6.04e+14,6.63e+14,31293440
3840,7.6048,7.6575,6.07e+14,6.67e+14,31457280
3860,7.6319,7.6592,6.10e+14,6.70e+14,31621120
3880,7.7263,7.6579,6.13e+14,6.74e+14,31784960
3900,7.5727,7.6574,6.16e+14,6.77e+14,31948800
3920,7.7434,7.6577,6.20e+14,6.81e+14,32112640
3940,7.7111,7.6583,6.23e+14,6.84e+14,32276480
3960,7.5281,7.6584,6.26e+14,6.88e+14,32440320
3980,7.6896,7.6577,6.29e+14,6.91e+14,32604160
4000,7.5684,7.6582,6.32e+14,6.95e+14,32768000
4020,7.6042,7.6575,6.35e+14,6.98e+14,32931840
4040,7.6133,7.6585,6.39e+14,7.02e+14,33095680
4060,7.5905,7.6563,6.42e+14,7.05e+14,33259520
4080,7.6738,7.6549,6.45e+14,7.08e+14,33423360
4100,7.6360,7.6542,6.48e+14,7.12e+14,33587200
4120,7.6451,7.6540,6.51e+14,7.15e+14,33751040
4140,7.6756,7.6533,6.54e+14,7.19e+14,33914880
4160,7.6090,7.6533,6.58e+14,7.22e+14,34078720
4180,7.7061,7.6526,6.61e+14,7.26e+14,34242560
4200,7.7102,7.6523,6.64e+14,7.29e+14,34406400
4220,7.5960,7.6532,6.67e+14,7.33e+14,34570240
4240,7.6351,7.6522,6.70e+14,7.36e+14,34734080
4260,7.6632,7.6524,6.73e+14,7.40e+14,34897920
4280,7.5870,7.6527,6.77e+14,7.43e+14,35061760
4300,7.5372,7.6518,6.80e+14,7.47e+14,35225600
4320,7.6135,7.6512,6.83e+14,7.50e+14,35389440
4340,7.5085,7.6512,6.86e+14,7.54e+14,35553280
4360,7.6589,7.6511,6.89e+14,7.57e+14,35717120
4380,7.6782,7.6515,6.92e+14,7.61e+14,35880960
4400,7.5761,7.6523,6.95e+14,7.64e+14,36044800
4420,7.6459,7.6520,6.99e+14,7.68e+14,36208640
4440,7.5063,7.6518,7.02e+14,7.71e+14,36372480
4460,7.6436,7.6505,7.05e+14,7.74e+14,36536320
4480,7.6600,7.6499,7.08e+14,7.78e+14,36700160
4500,7.6977,7.6499,7.11e+14,7.81e+14,36864000
4520,7.7336,7.6498,7.14e+14,7.85e+14,37027840
4540,7.7258,7.6492,7.18e+14,7.88e+14,37191680
4560,7.6298,7.6491,7.21e+14,7.92e+14,37355520
4580,7.5966,7.6495,7.24e+14,7.95e+14,37519360
4600,7.6467,7.6496,7.27e+14,7.99e+14,37683200
4620,7.6634,7.6499,7.30e+14,8.02e+14,37847040
4640,7.6501,7.6492,7.33e+14,8.06e+14,38010880
4660,7.6501,7.6494,7.37e+14,8.09e+14,38174720
4680,7.5554,7.6496,7.40e+14,8.13e+14,38338560
4700,7.6613,7.6496,7.43e+14,8.16e+14,38502400
4720,7.8308,7.6510,7.46e+14,8.20e+14,38666240
4740,7.7174,7.6495,7.49e+14,8.23e+14,38830080
4760,7.5119,7.6488,7.52e+14,8.27e+14,38993920
4780,7.5717,7.6487,7.56e+14,8.30e+14,39157760
4800,7.6431,7.6480,7.59e+14,8.34e+14,39321600
4820,7.6904,7.6480,7.62e+14,8.37e+14,39485440
4840,7.6066,7.6484,7.65e+14,8.40e+14,39649280
4860,7.5778,7.6485,7.68e+14,8.44e+14,39813120
4880,7.6614,7.6480,7.71e+14,8.47e+14,39976960
4900,7.6719,7.6479,7.75e+14,8.51e+14,40140800
4920,7.7312,7.6479,7.78e+14,8.54e+14,40304640
4940,7.6898,7.6480,7.81e+14,8.58e+14,40468480
4960,7.5920,7.6477,7.84e+14,8.61e+14,40632320
4980,7.5300,7.6479,7.87e+14,8.65e+14,40796160
5000,7.6003,7.6472,7.90e+14,8.68e+14,40960000
5020,7.7135,7.6484,7.93e+14,8.72e+14,41123840
5040,7.5461,7.6478,7.97e+14,8.75e+14,41287680
5060,7.6067,7.6469,8.00e+14,8.79e+14,41451520
5080,7.5757,7.6467,8.03e+14,8.82e+14,41615360
5100,7.6269,7.6468,8.06e+14,8.86e+14,41779200
5120,7.7761,7.6464,8.09e+14,8.89e+14,41943040
5140,7.6212,7.6464,8.12e+14,8.93e+14,42106880
5160,7.6536,7.6465,8.16e+14,8.96e+14,42270720
5180,7.6788,7.6461,8.19e+14,9.00e+14,42434560
5200,7.6720,7.6462,8.22e+14,9.03e+14,42598400
5220,7.7971,7.6463,8.25e+14,9.06e+14,42762240
5240,7.6078,7.6469,8.28e+14,9.10e+14,42926080
5260,7.6544,7.6470,8.31e+14,9.13e+14,43089920
5280,7.7438,7.6472,8.35e+14,9.17e+14,43253760
5300,7.6025,7.6477,8.38e+14,9.20e+14,43417600
5320,7.7252,7.6482,8.41e+14,9.24e+14,43581440
5340,7.6929,7.6487,8.44e+14,9.27e+14,43745280
5360,7.6595,7.6488,8.47e+14,9.31e+14,43909120
5380,7.6943,7.6487,8.50e+14,9.34e+14,44072960
5400,7.6867,7.6478,8.54e+14,9.38e+14,44236800
5420,7.6205,7.6474,8.57e+14,9.41e+14,44400640
5440,7.6263,7.6468,8.60e+14,9.45e+14,44564480
5460,7.6539,7.6462,8.63e+14,9.48e+14,44728320
5480,7.6123,7.6462,8.66e+14,9.52e+14,44892160
5500,7.6256,7.6456,8.69e+14,9.55e+14,45056000
5520,7.6722,7.6451,8.73e+14,9.59e+14,45219840
5540,7.6589,7.6449,8.76e+14,9.62e+14,45383680
5560,7.5604,7.6451,8.79e+14,9.66e+14,45547520
5580,7.5969,7.6450,8.82e+14,9.69e+14,45711360
5600,7.7264,7.6447,8.85e+14,9.72e+14,45875200
5620,7.7203,7.6447,8.88e+14,9.76e+14,46039040
5640,7.7019,7.6448,8.92e+14,9.79e+14,46202880
5660,7.5844,7.6448,8.95e+14,9.83e+14,46366720
5680,7.6138,7.6447,8.98e+14,9.86e+14,46530560
5700,7.6524,7.6446,9.01e+14,9.90e+14,46694400
5720,7.6684,7.6444,9.04e+14,9.93e+14,46858240
5740,7.5938,7.6443,9.07e+14,9.97e+14,47022080
5760,7.6884,7.6440,9.10e+14,1.00e+15,47185920
5780,7.6575,7.6437,9.14e+14,1.00e+15,47349760
5800,7.6621,7.6437,9.17e+14,1.01e+15,47513600
5820,7.6548,7.6436,9.20e+14,1.01e+15,47677440
5840,7.6004,7.6437,9.23e+14,1.01e+15,47841280
5860,7.6386,7.6440,9.26e+14,1.02e+15,48005120
5880,7.6681,7.6447,9.29e+14,1.02e+15,48168960
5900,7.7170,7.6449,9.33e+14,1.02e+15,48332800
5920,7.6898,7.6452,9.36e+14,1.03e+15,48496640
5940,7.6600,7.6443,9.39e+14,1.03e+15,48660480
5960,7.5683,7.6444,9.42e+14,1.03e+15,48824320
5980,7.6867,7.6441,9.45e+14,1.04e+15,48988160
6000,7.6101,7.6437,9.48e+14,1.04e+15,49152000
6020,7.5478,7.6437,9.52e+14,1.05e+15,49315840
6040,7.6150,7.6437,9.55e+14,1.05e+15,49479680
6060,7.5754,7.6437,9.58e+14,1.05e+15,49643520
6080,7.6394,7.6436,9.61e+14,1.06e+15,49807360
6100,7.6938,7.6435,9.64e+14,1.06e+15,49971200
