step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.7582,7.8717,1.50e+13,1.62e+13,655360
40,7.8605,7.9887,3.08e+13,3.24e+13,1310720
60,7.5303,7.6584,4.66e+13,4.86e+13,1966080
80,7.4364,7.4544,6.24e+13,6.48e+13,2621440
100,7.3237,7.3280,7.83e+13,8.11e+13,3276800
120,7.2283,7.2084,9.41e+13,9.73e+13,3932160
140,7.0469,7.1190,1.10e+14,1.13e+14,4587520
160,7.0412,7.0172,1.26e+14,1.30e+14,5242880
180,6.9639,6.9286,1.41e+14,1.46e+14,5898240
200,6.8309,6.8472,1.57e+14,1.62e+14,6553600
220,6.7518,6.7777,1.73e+14,1.78e+14,7208960
240,6.7845,6.7184,1.89e+14,1.95e+14,7864320
260,6.6413,6.6628,2.05e+14,2.11e+14,8519680
280,6.6656,6.6070,2.21e+14,2.27e+14,9175040
300,6.5910,6.5659,2.36e+14,2.43e+14,9830400
320,6.4996,6.5276,2.52e+14,2.59e+14,10485760
340,6.5260,6.4927,2.68e+14,2.76e+14,11141120
360,6.5042,6.4680,2.84e+14,2.92e+14,11796480
380,6.4801,6.4343,3.00e+14,3.08e+14,12451840
400,6.4330,6.4029,3.15e+14,3.24e+14,13107200
420,6.4707,6.3813,3.31e+14,3.40e+14,13762560
440,6.3732,6.3572,3.47e+14,3.57e+14,14417920
460,6.3498,6.3362,3.63e+14,3.73e+14,15073280
480,6.3841,6.3221,3.79e+14,3.89e+14,15728640
500,6.4246,6.3050,3.94e+14,4.05e+14,16384000
520,6.3408,6.2908,4.10e+14,4.21e+14,17039360
540,6.3324,6.2788,4.26e+14,4.38e+14,17694720
560,6.3632,6.2685,4.42e+14,4.54e+14,18350080
580,6.3111,6.2601,4.58e+14,4.70e+14,19005440
600,6.3376,6.2516,4.74e+14,4.86e+14,19660800
620,6.2521,6.2437,4.89e+14,5.03e+14,20316160
640,6.2882,6.2364,5.05e+14,5.19e+14,20971520
660,6.2633,6.2308,5.21e+14,5.35e+14,21626880
680,6.2572,6.2261,5.37e+14,5.51e+14,22282240
