step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.8909,8.5499,3.32e+12,6.66e+12,655360
40,7.6926,7.8470,6.48e+12,1.33e+13,1310720
60,7.8449,7.7461,9.64e+12,2.00e+13,1966080
80,7.7994,7.6980,1.28e+13,2.66e+13,2621440
100,7.7125,7.6950,1.60e+13,3.33e+13,3276800
120,7.5446,7.6853,1.91e+13,3.99e+13,3932160
140,7.7419,7.6873,2.23e+13,4.66e+13,4587520
160,8.0180,7.6835,2.55e+13,5.32e+13,5242880
180,7.7586,7.6844,2.86e+13,5.99e+13,5898240
200,7.7030,7.6817,3.18e+13,6.66e+13,6553600
220,7.7044,7.6792,3.49e+13,7.32e+13,7208960
240,7.7032,7.6747,3.81e+13,7.99e+13,7864320
260,7.8075,7.6727,4.13e+13,8.65e+13,8519680
280,7.7704,7.6724,4.44e+13,9.32e+13,9175040
300,7.6541,7.6687,4.76e+13,9.98e+13,9830400
320,7.6975,7.6671,5.08e+13,1.06e+14,10485760
340,7.6231,7.6684,5.39e+13,1.13e+14,11141120
360,7.5494,7.6646,5.71e+13,1.20e+14,11796480
380,7.6918,7.6635,6.02e+13,1.26e+14,12451840
400,8.0097,7.6620,6.34e+13,1.33e+14,13107200
420,7.6737,7.6612,6.66e+13,1.40e+14,13762560
440,7.6640,7.6597,6.97e+13,1.46e+14,14417920
460,7.6873,7.6591,7.29e+13,1.53e+14,15073280
480,7.7930,7.6567,7.60e+13,1.60e+14,15728640
500,7.8472,7.6563,7.92e+13,1.66e+14,16384000
520,7.6399,7.6543,8.24e+13,1.73e+14,17039360
540,7.6222,7.6534,8.55e+13,1.80e+14,17694720
560,7.6875,7.6528,8.87e+13,1.86e+14,18350080
580,7.6192,7.6508,9.19e+13,1.93e+14,19005440
600,7.7331,7.6507,9.50e+13,2.00e+14,19660800
620,7.6489,7.6501,9.82e+13,2.06e+14,20316160
640,7.7203,7.6489,1.01e+14,2.13e+14,20971520
660,7.6733,7.6486,1.05e+14,2.20e+14,21626880
680,7.6941,7.6483,1.08e+14,2.26e+14,22282240
