step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.3395,8.2622,1.50e+12,1.66e+12,163840
40,7.7770,7.9017,3.08e+12,3.33e+12,327680
60,7.7072,7.8357,4.66e+12,4.99e+12,491520
80,7.7415,7.8267,6.24e+12,6.66e+12,655360
100,7.8149,7.7930,7.83e+12,8.32e+12,819200
120,7.8298,7.7678,9.41e+12,9.98e+12,983040
140,7.6985,7.7775,1.10e+13,1.16e+13,1146880
160,7.6462,7.7502,1.26e+13,1.33e+13,1310720
180,7.7578,7.7548,1.41e+13,1.50e+13,1474560
200,7.6150,7.7574,1.57e+13,1.66e+13,1638400
220,7.6955,7.7514,1.73e+13,1.83e+13,1802240
240,7.7261,7.7502,1.89e+13,2.00e+13,1966080
260,7.6413,7.7468,2.05e+13,2.16e+13,2129920
280,7.7247,7.7307,2.21e+13,2.33e+13,2293760
300,7.8776,7.7352,2.36e+13,2.50e+13,2457600
320,7.6483,7.7253,2.52e+13,2.66e+13,2621440
340,7.6832,7.7270,2.68e+13,2.83e+13,2785280
360,7.7445,7.7320,2.84e+13,2.99e+13,2949120
380,7.6023,7.7215,3.00e+13,3.16e+13,3112960
400,7.6805,7.7162,3.15e+13,3.33e+13,3276800
420,7.6423,7.7356,3.31e+13,3.49e+13,3440640
440,7.6270,7.7314,3.47e+13,3.66e+13,3604480
460,7.6514,7.7319,3.63e+13,3.83e+13,3768320
480,7.6965,7.7258,3.79e+13,3.99e+13,3932160
500,7.7349,7.7133,3.94e+13,4.16e+13,4096000
520,7.6551,7.7077,4.10e+13,4.33e+13,4259840
540,7.6514,7.7059,4.26e+13,4.49e+13,4423680
560,7.7299,7.7151,4.42e+13,4.66e+13,4587520
580,7.5866,7.7060,4.58e+13,4.83e+13,4751360
600,7.7843,7.7053,4.74e+13,4.99e+13,4915200
620,7.5179,7.7046,4.89e+13,5.16e+13,5079040
640,7.6736,7.7090,5.05e+13,5.32e+13,5242880
660,7.5847,7.6984,5.21e+13,5.49e+13,5406720
680,7.6397,7.6972,5.37e+13,5.66e+13,5570560
700,7.6071,7.6874,5.53e+13,5.82e+13,5734400
720,7.3991,7.6405,5.68e+13,5.99e+13,5898240
740,7.5187,7.6676,5.84e+13,6.16e+13,6062080
760,7.3913,7.5493,6.00e+13,6.32e+13,6225920
780,7.4118,7.4677,6.16e+13,6.49e+13,6389760
800,7.3114,7.4331,6.32e+13,6.66e+13,6553600
820,7.2948,7.3775,6.47e+13,6.82e+13,6717440
840,7.4450,7.3615,6.63e+13,6.99e+13,6881280
860,7.2195,7.2927,6.79e+13,7.15e+13,7045120
880,7.2509,7.2325,6.95e+13,7.32e+13,7208960
900,7.0850,7.1925,7.11e+13,7.49e+13,7372800
920,7.2630,7.1452,7.26e+13,7.65e+13,7536640
940,7.1077,7.1219,7.42e+13,7.82e+13,7700480
960,7.1155,7.0939,7.58e+13,7.99e+13,7864320
980,6.9395,7.0824,7.74e+13,8.15e+13,8028160
1000,7.0079,7.0447,7.90e+13,8.32e+13,8192000
1020,7.0623,7.0376,8.06e+13,8.49e+13,8355840
1040,6.9581,6.9877,8.21e+13,8.65e+13,8519680
1060,6.9259,6.9567,8.37e+13,8.82e+13,8683520
1080,6.8437,6.9481,8.53e+13,8.98e+13,8847360
1100,6.8111,6.9102,8.69e+13,9.15e+13,9011200
1120,6.8392,6.9071,8.85e+13,9.32e+13,9175040
1140,6.7952,6.8878,9.00e+13,9.48e+13,9338880
1160,6.7265,6.8508,9.16e+13,9.65e+13,9502720
1180,6.8258,6.8450,9.32e+13,9.82e+13,9666560
1200,6.8313,6.8256,9.48e+13,9.98e+13,9830400
1220,6.8499,6.8112,9.64e+13,1.01e+14,9994240
1240,6.7359,6.8079,9.79e+13,1.03e+14,10158080
1260,6.6099,6.7788,9.95e+13,1.05e+14,10321920
1280,6.5667,6.7637,1.01e+14,1.06e+14,10485760
1300,6.6622,6.7488,1.03e+14,1.08e+14,10649600
1320,6.5519,6.7463,1.04e+14,1.10e+14,10813440
1340,6.6540,6.7205,1.06e+14,1.11e+14,10977280
1360,6.6098,6.6975,1.07e+14,1.13e+14,11141120
1380,6.5543,6.6884,1.09e+14,1.15e+14,11304960
1400,6.5301,6.6688,1.11e+14,1.16e+14,11468800
1420,6.5082,6.6601,1.12e+14,1.18e+14,11632640
1440,6.5559,6.6430,1.14e+14,1.20e+14,11796480
1460,6.4914,6.6372,1.15e+14,1.21e+14,11960320
1480,6.6155,6.6137,1.17e+14,1.23e+14,12124160
1500,6.4964,6.6037,1.18e+14,1.25e+14,12288000
1520,6.5873,6.6009,1.20e+14,1.26e+14,12451840
1540,6.6219,6.5982,1.22e+14,1.28e+14,12615680
1560,6.5530,6.5848,1.23e+14,1.30e+14,12779520
1580,6.6007,6.5717,1.25e+14,1.31e+14,12943360
1600,6.5326,6.5701,1.26e+14,1.33e+14,13107200
1620,6.5103,6.5974,1.28e+14,1.35e+14,13271040
