step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,8.6511,8.6087,8.8907,5.81e+12,6.33e+12,409600
100,7.6646,7.7143,8.0521,1.17e+13,1.27e+13,819200
150,7.7760,7.7441,7.7890,1.77e+13,1.90e+13,1228800
200,7.6269,7.7808,7.8145,2.36e+13,2.53e+13,1638400
250,7.6300,7.7839,7.8191,2.95e+13,3.16e+13,2048000
300,7.5561,7.7625,7.7957,3.55e+13,3.80e+13,2457600
350,7.6272,7.7716,7.8036,4.14e+13,4.43e+13,2867200
400,7.5987,7.7388,7.7538,4.73e+13,5.06e+13,3276800
450,7.6004,7.7778,7.7367,5.32e+13,5.70e+13,3686400
500,7.5952,7.7753,7.7323,5.92e+13,6.33e+13,4096000
550,7.5867,7.7711,7.7209,6.51e+13,6.96e+13,4505600
600,7.6375,7.7037,7.7080,7.10e+13,7.60e+13,4915200
650,7.6753,7.7020,7.7065,7.70e+13,8.23e+13,5324800
700,7.6624,7.6959,7.7011,8.29e+13,8.86e+13,5734400
750,7.5846,7.6978,7.7028,8.88e+13,9.49e+13,6144000
800,7.6769,7.7602,7.6998,9.47e+13,1.01e+14,6553600
850,7.7148,7.7637,7.7015,1.01e+14,1.08e+14,6963200
900,7.6559,7.7674,7.7038,1.07e+14,1.14e+14,7372800
950,7.5742,8.0303,7.7209,1.13e+14,1.20e+14,7782400
1000,7.6518,7.9893,7.7373,1.18e+14,1.27e+14,8192000
1050,7.5643,7.6856,7.6803,1.24e+14,1.33e+14,8601600
1100,7.7317,7.6996,7.7017,1.30e+14,1.39e+14,9011200
1150,7.6428,7.6817,7.6832,1.36e+14,1.46e+14,9420800
1200,7.5307,7.6745,7.6760,1.42e+14,1.52e+14,9830400
1250,7.5450,7.6702,7.6721,1.48e+14,1.58e+14,10240000
1300,7.8392,7.6710,7.6733,1.54e+14,1.65e+14,10649600
1350,7.5896,7.6669,7.6683,1.60e+14,1.71e+14,11059200
1400,7.6039,7.6711,7.6722,1.66e+14,1.77e+14,11468800
1450,7.5620,7.6721,7.6735,1.72e+14,1.84e+14,11878400
1500,7.7310,7.6793,7.6800,1.78e+14,1.90e+14,12288000
1550,7.6844,7.6637,7.6652,1.84e+14,1.96e+14,12697600
1600,7.7099,7.6648,7.6665,1.90e+14,2.03e+14,13107200
1650,7.5953,7.6635,7.6649,1.96e+14,2.09e+14,13516800
1700,7.5282,7.6604,7.6620,2.01e+14,2.15e+14,13926400
1750,7.6748,7.6671,7.6678,2.07e+14,2.22e+14,14336000
1800,7.6035,7.6653,7.6659,2.13e+14,2.28e+14,14745600
1850,7.6397,7.6612,7.6619,2.19e+14,2.34e+14,15155200
1900,7.6811,7.6624,7.6630,2.25e+14,2.41e+14,15564800
1950,7.5676,7.6576,7.6593,2.31e+14,2.47e+14,15974400
2000,7.6769,7.6636,7.6663,2.37e+14,2.53e+14,16384000
2050,7.5682,7.6669,7.6691,2.43e+14,2.60e+14,16793600
2100,7.5893,7.6612,7.6642,2.49e+14,2.66e+14,17203200
2150,7.6602,7.6470,7.6480,2.55e+14,2.72e+14,17612800
2200,7.4652,7.5438,7.5418,2.61e+14,2.78e+14,18022400
2250,7.4132,7.4595,7.4634,2.67e+14,2.85e+14,18432000
2300,7.5934,7.4477,7.4524,2.73e+14,2.91e+14,18841600
2350,7.4681,7.4368,7.4426,2.79e+14,2.97e+14,19251200
2400,7.2320,7.4197,7.4240,2.84e+14,3.04e+14,19660800
2450,7.4080,7.4369,7.4385,2.90e+14,3.10e+14,20070400
2500,7.3397,7.4082,7.4156,2.96e+14,3.16e+14,20480000
2550,7.4279,7.4146,7.4166,3.02e+14,3.23e+14,20889600
