step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,7.6807,8.0777,8.2450,1.16e+13,1.23e+13,409600
100,7.7381,8.1985,8.3287,2.35e+13,2.47e+13,819200
150,7.5958,8.0593,8.2018,3.53e+13,3.70e+13,1228800
200,7.5580,7.8152,7.8535,4.72e+13,4.94e+13,1638400
250,7.3266,7.7348,7.7685,5.90e+13,6.17e+13,2048000
300,7.1643,7.4238,7.4513,7.09e+13,7.41e+13,2457600
350,6.8593,7.2760,7.2883,8.28e+13,8.64e+13,2867200
400,6.8000,7.0722,7.0878,9.46e+13,9.88e+13,3276800
450,6.6176,7.0738,7.0805,1.06e+14,1.11e+14,3686400
500,6.5270,6.8968,6.9030,1.18e+14,1.23e+14,4096000
550,6.4724,6.8560,6.8649,1.30e+14,1.36e+14,4505600
600,6.5892,6.7606,6.7731,1.42e+14,1.48e+14,4915200
650,6.3437,6.7558,6.7625,1.54e+14,1.61e+14,5324800
700,6.3446,6.7884,6.7923,1.66e+14,1.73e+14,5734400
750,6.1771,6.6235,6.6403,1.78e+14,1.85e+14,6144000
800,6.2962,6.5762,6.5895,1.89e+14,1.98e+14,6553600
850,6.2897,6.5227,6.5311,2.01e+14,2.10e+14,6963200
900,6.2975,6.4470,6.4594,2.13e+14,2.22e+14,7372800
950,6.1976,6.4044,6.4142,2.25e+14,2.35e+14,7782400
1000,6.1892,6.3075,6.3249,2.37e+14,2.47e+14,8192000
1050,6.0485,6.3603,6.3831,2.49e+14,2.59e+14,8601600
1100,6.0213,6.2436,6.2608,2.61e+14,2.72e+14,9011200
1150,6.0055,6.2848,6.2960,2.72e+14,2.84e+14,9420800
1200,5.9723,6.2614,6.2705,2.84e+14,2.96e+14,9830400
1250,5.9695,6.2025,6.2248,2.96e+14,3.09e+14,10240000
1300,6.0163,6.2057,6.2221,3.08e+14,3.21e+14,10649600
1350,6.1091,6.2047,6.2121,3.20e+14,3.33e+14,11059200
1400,6.1871,6.2240,6.2334,3.32e+14,3.46e+14,11468800
1450,6.0608,6.2171,6.2169,3.44e+14,3.58e+14,11878400
1500,6.0289,6.1853,6.2077,3.55e+14,3.70e+14,12288000
1550,5.8477,6.1313,6.1519,3.67e+14,3.83e+14,12697600
1600,6.0569,6.2003,6.2195,3.79e+14,3.95e+14,13107200
1650,5.9509,6.1486,6.1652,3.91e+14,4.07e+14,13516800
1700,5.8488,6.1502,6.1658,4.03e+14,4.20e+14,13926400
1750,5.9396,6.1549,6.1905,4.15e+14,4.32e+14,14336000
1800,6.1410,6.1252,6.1427,4.27e+14,4.44e+14,14745600
1850,6.0918,6.1656,6.1862,4.38e+14,4.57e+14,15155200
1900,5.9565,6.0732,6.0906,4.50e+14,4.69e+14,15564800
1950,5.9592,6.1082,6.1206,4.62e+14,4.82e+14,15974400
2000,5.8854,6.1003,6.1127,4.74e+14,4.94e+14,16384000
2050,5.9782,6.0772,6.1002,4.86e+14,5.06e+14,16793600
2100,6.0109,6.1177,6.1404,4.98e+14,5.19e+14,17203200
2150,5.9362,6.0758,6.0940,5.10e+14,5.31e+14,17612800
2200,5.9746,6.0494,6.0655,5.21e+14,5.43e+14,18022400
2250,5.8431,6.0957,6.1213,5.33e+14,5.56e+14,18432000
