step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.7352,7.8739,7.8807,1.57e+13,1.66e+13,1638400
400,7.6772,7.7272,7.7292,3.15e+13,3.33e+13,3276800
600,7.5850,7.7114,7.7138,4.74e+13,4.99e+13,4915200
800,7.5978,7.6868,7.6872,6.32e+13,6.65e+13,6553600
1000,7.6133,7.6705,7.6707,7.90e+13,8.32e+13,8192000
1200,7.6363,7.6843,7.6845,9.48e+13,9.98e+13,9830400
1400,7.6766,7.6674,7.6678,1.11e+14,1.16e+14,11468800
1600,7.3551,7.4739,7.4777,1.26e+14,1.33e+14,13107200
1800,7.6270,7.6553,7.6562,1.42e+14,1.50e+14,14745600
2000,7.6057,7.6556,7.6559,1.58e+14,1.66e+14,16384000
2200,7.3451,7.4164,7.4214,1.74e+14,1.83e+14,18022400
2400,7.3699,7.2488,7.2539,1.90e+14,2.00e+14,19660800
2600,6.9946,7.0772,7.0897,2.05e+14,2.16e+14,21299200
2800,7.0014,6.9340,6.9455,2.21e+14,2.33e+14,22937600
3000,6.7993,6.7818,6.7993,2.37e+14,2.50e+14,24576000
3200,6.6645,6.7146,6.7382,2.53e+14,2.66e+14,26214400
3400,6.4971,6.6302,6.6596,2.69e+14,2.83e+14,27852800
3600,6.6647,6.5800,6.6068,2.84e+14,2.99e+14,29491200
3800,6.5416,6.5517,6.5775,3.00e+14,3.16e+14,31129600
4000,6.6009,6.5353,6.5578,3.16e+14,3.33e+14,32768000
