step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.5041,10.4936,3.15e+12,3.30e+12,102400
100,9.3163,9.3271,6.36e+12,6.59e+12,204800
150,8.2444,8.2725,9.57e+12,9.89e+12,307200
200,7.6688,7.8006,1.28e+13,1.32e+13,409600
250,7.7711,7.7387,1.60e+13,1.65e+13,512000
300,7.6372,7.7460,1.92e+13,1.98e+13,614400
350,7.6345,7.7639,2.24e+13,2.31e+13,716800
400,7.7741,7.7550,2.56e+13,2.64e+13,819200
450,7.9105,7.7699,2.88e+13,2.97e+13,921600
500,7.6364,7.7746,3.21e+13,3.30e+13,1024000
550,7.7194,7.7895,3.53e+13,3.63e+13,1126400
600,7.5928,7.7778,3.85e+13,3.96e+13,1228800
650,7.7284,7.7745,4.17e+13,4.28e+13,1331200
700,7.5632,7.7430,4.49e+13,4.61e+13,1433600
750,7.3617,7.6899,4.81e+13,4.94e+13,1536000
800,7.5274,7.6186,5.13e+13,5.27e+13,1638400
850,7.4960,7.5720,5.45e+13,5.60e+13,1740800
900,7.2679,7.4924,5.77e+13,5.93e+13,1843200
950,7.1883,7.4313,6.10e+13,6.26e+13,1945600
1000,7.3651,7.3789,6.42e+13,6.59e+13,2048000
1050,7.0301,7.3191,6.74e+13,6.92e+13,2150400
1100,6.9789,7.2545,7.06e+13,7.25e+13,2252800
1150,7.0609,7.2087,7.38e+13,7.58e+13,2355200
1200,6.9328,7.1455,7.70e+13,7.91e+13,2457600
1250,6.8027,7.0977,8.02e+13,8.24e+13,2560000
1300,6.7720,7.0472,8.34e+13,8.57e+13,2662400
1350,6.6013,6.9973,8.66e+13,8.90e+13,2764800
1400,6.7256,6.9526,8.99e+13,9.23e+13,2867200
1450,6.6722,6.9287,9.31e+13,9.56e+13,2969600
1500,6.7212,6.8954,9.63e+13,9.89e+13,3072000
1550,6.6647,6.8773,9.95e+13,1.02e+14,3174400
1600,6.5482,6.8604,1.03e+14,1.05e+14,3276800
1650,6.6463,6.8305,1.06e+14,1.09e+14,3379200
1700,6.5082,6.8064,1.09e+14,1.12e+14,3481600
1750,6.6936,6.7805,1.12e+14,1.15e+14,3584000
1800,6.5434,6.7625,1.16e+14,1.19e+14,3686400
1850,6.5047,6.7241,1.19e+14,1.22e+14,3788800
1900,6.4904,6.7110,1.22e+14,1.25e+14,3891200
1950,6.2803,6.6919,1.25e+14,1.29e+14,3993600
2000,6.5182,6.6745,1.28e+14,1.32e+14,4096000
2050,6.3030,6.6489,1.32e+14,1.35e+14,4198400
2100,6.2718,6.6487,1.35e+14,1.38e+14,4300800
2150,6.3661,6.6114,1.38e+14,1.42e+14,4403200
2200,6.0881,6.6000,1.41e+14,1.45e+14,4505600
2250,6.1489,6.5832,1.44e+14,1.48e+14,4608000
2300,6.2975,6.5663,1.48e+14,1.52e+14,4710400
2350,6.2146,6.5383,1.51e+14,1.55e+14,4812800
2400,6.2004,6.5334,1.54e+14,1.58e+14,4915200
2450,6.2784,6.5119,1.57e+14,1.61e+14,5017600
2500,6.1771,6.4970,1.61e+14,1.65e+14,5120000
2550,6.1790,6.4808,1.64e+14,1.68e+14,5222400
2600,6.0816,6.4660,1.67e+14,1.71e+14,5324800
2650,6.0135,6.4717,1.70e+14,1.75e+14,5427200
2700,6.1515,6.4419,1.73e+14,1.78e+14,5529600
2750,5.9173,6.4472,1.77e+14,1.81e+14,5632000
2800,6.0715,6.4200,1.80e+14,1.85e+14,5734400
2850,6.1765,6.4031,1.83e+14,1.88e+14,5836800
2900,6.1221,6.3996,1.86e+14,1.91e+14,5939200
2950,6.1436,6.3730,1.89e+14,1.94e+14,6041600
3000,6.1605,6.3707,1.93e+14,1.98e+14,6144000
3050,5.9445,6.3719,1.96e+14,2.01e+14,6246400
3100,6.0842,6.3591,1.99e+14,2.04e+14,6348800
3150,6.1291,6.3310,2.02e+14,2.08e+14,6451200
3200,5.7914,6.3285,2.05e+14,2.11e+14,6553600
3250,6.0525,6.3129,2.09e+14,2.14e+14,6656000
3300,5.9365,6.3090,2.12e+14,2.18e+14,6758400
3350,5.9060,6.3057,2.15e+14,2.21e+14,6860800
3400,5.9699,6.3021,2.18e+14,2.24e+14,6963200
3450,6.0738,6.2949,2.22e+14,2.27e+14,7065600
3500,5.9151,6.2772,2.25e+14,2.31e+14,7168000
3550,5.7565,6.2612,2.28e+14,2.34e+14,7270400
3600,5.7029,6.2544,2.31e+14,2.37e+14,7372800
3650,5.8619,6.2605,2.34e+14,2.41e+14,7475200
3700,5.8206,6.2373,2.38e+14,2.44e+14,7577600
3750,5.9051,6.2327,2.41e+14,2.47e+14,7680000
3800,5.7713,6.2194,2.44e+14,2.50e+14,7782400
3850,5.8476,6.2032,2.47e+14,2.54e+14,7884800
