step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,7.5647,7.8323,7.87e+12,8.11e+12,409600
400,7.3331,7.5085,1.58e+13,1.62e+13,819200
600,6.9112,7.1213,2.37e+13,2.43e+13,1228800
800,6.7358,6.8762,3.16e+13,3.24e+13,1638400
1000,6.4550,6.6772,3.95e+13,4.06e+13,2048000
1200,6.3833,6.5387,4.74e+13,4.87e+13,2457600
1400,6.1632,6.4510,5.53e+13,5.68e+13,2867200
1600,6.1023,6.3601,6.32e+13,6.49e+13,3276800
1800,6.1655,6.3041,7.11e+13,7.30e+13,3686400
2000,5.9482,6.2652,7.90e+13,8.11e+13,4096000
2200,5.9188,6.2118,8.69e+13,8.92e+13,4505600
2400,5.8994,6.1832,9.48e+13,9.73e+13,4915200
2600,5.8517,6.1490,1.03e+14,1.05e+14,5324800
2800,6.0555,6.1196,1.11e+14,1.14e+14,5734400
3000,5.8714,6.0983,1.19e+14,1.22e+14,6144000
3200,5.8544,6.0684,1.26e+14,1.30e+14,6553600
3400,5.8736,6.0549,1.34e+14,1.38e+14,6963200
3600,5.6659,6.0322,1.42e+14,1.46e+14,7372800
3800,5.7785,6.0101,1.50e+14,1.54e+14,7782400
4000,5.8501,5.9937,1.58e+14,1.62e+14,8192000
4200,5.7290,5.9774,1.66e+14,1.70e+14,8601600
4400,5.6205,5.9505,1.74e+14,1.78e+14,9011200
4600,5.4250,5.9415,1.82e+14,1.87e+14,9420800
4800,5.8054,5.9072,1.90e+14,1.95e+14,9830400
5000,5.9119,5.8973,1.98e+14,2.03e+14,10240000
5200,5.7916,5.8797,2.06e+14,2.11e+14,10649600
5400,5.6495,5.8671,2.13e+14,2.19e+14,11059200
5600,5.5449,5.8594,2.21e+14,2.27e+14,11468800
5800,5.8139,5.8447,2.29e+14,2.35e+14,11878400
6000,5.7028,5.8326,2.37e+14,2.43e+14,12288000
6200,5.7776,5.8183,2.45e+14,2.51e+14,12697600
6400,5.5938,5.8067,2.53e+14,2.60e+14,13107200
6600,5.7336,5.7979,2.61e+14,2.68e+14,13516800
6800,5.5446,5.7879,2.69e+14,2.76e+14,13926400
7000,5.7157,5.7818,2.77e+14,2.84e+14,14336000
7200,5.7843,5.7731,2.85e+14,2.92e+14,14745600
7400,5.5472,5.7724,2.92e+14,3.00e+14,15155200
7600,5.7945,5.7652,3.00e+14,3.08e+14,15564800
7800,5.7170,5.7585,3.08e+14,3.16e+14,15974400
