step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.8230,10.8218,3.56e+12,4.10e+12,163840
20,10.8173,10.8160,7.51e+12,8.21e+12,327680
30,10.8021,10.7995,1.15e+13,1.23e+13,491520
40,10.7694,10.7656,1.54e+13,1.64e+13,655360
50,10.7088,10.7009,1.94e+13,2.05e+13,819200
60,10.6028,10.5916,2.33e+13,2.46e+13,983040
70,10.4432,10.4327,2.73e+13,2.87e+13,1146880
80,10.2378,10.2041,3.12e+13,3.28e+13,1310720
90,9.9103,9.8706,3.52e+13,3.69e+13,1474560
100,9.5332,9.5091,3.91e+13,4.10e+13,1638400
110,9.3310,9.2852,4.31e+13,4.51e+13,1802240
120,9.1189,9.1175,4.70e+13,4.92e+13,1966080
130,9.0469,9.0024,5.10e+13,5.33e+13,2129920
140,8.9222,8.8994,5.49e+13,5.75e+13,2293760
150,8.8429,8.8029,5.89e+13,6.16e+13,2457600
160,8.6988,8.7181,6.28e+13,6.57e+13,2621440
170,8.6736,8.6466,6.68e+13,6.98e+13,2785280
180,8.5542,8.5862,7.07e+13,7.39e+13,2949120
190,8.5135,8.5316,7.47e+13,7.80e+13,3112960
200,8.4764,8.4843,7.87e+13,8.21e+13,3276800
210,8.4617,8.4427,8.26e+13,8.62e+13,3440640
220,8.4815,8.4078,8.66e+13,9.03e+13,3604480
230,8.4133,8.3751,9.05e+13,9.44e+13,3768320
240,8.4224,8.3468,9.45e+13,9.85e+13,3932160
250,8.3709,8.3203,9.84e+13,1.03e+14,4096000
260,8.2903,8.2959,1.02e+14,1.07e+14,4259840
270,8.2309,8.2725,1.06e+14,1.11e+14,4423680
280,8.3283,8.2522,1.10e+14,1.15e+14,4587520
290,8.2328,8.2330,1.14e+14,1.19e+14,4751360
300,8.2307,8.2155,1.18e+14,1.23e+14,4915200
310,8.2264,8.1987,1.22e+14,1.27e+14,5079040
320,8.2292,8.1832,1.26e+14,1.31e+14,5242880
330,8.2242,8.1697,1.30e+14,1.35e+14,5406720
340,8.1220,8.1557,1.34e+14,1.40e+14,5570560
350,8.0808,8.1433,1.38e+14,1.44e+14,5734400
360,8.2166,8.1309,1.42e+14,1.48e+14,5898240
370,8.0803,8.1197,1.46e+14,1.52e+14,6062080
380,8.1813,8.1092,1.50e+14,1.56e+14,6225920
390,8.0102,8.0987,1.54e+14,1.60e+14,6389760
400,8.0161,8.0891,1.58e+14,1.64e+14,6553600
410,8.1389,8.0797,1.62e+14,1.68e+14,6717440
420,8.0237,8.0709,1.66e+14,1.72e+14,6881280
430,8.0885,8.0627,1.70e+14,1.76e+14,7045120
440,8.0621,8.0543,1.74e+14,1.81e+14,7208960
450,8.0741,8.0459,1.77e+14,1.85e+14,7372800
460,8.0706,8.0384,1.81e+14,1.89e+14,7536640
470,7.9616,8.0313,1.85e+14,1.93e+14,7700480
480,7.9726,8.0243,1.89e+14,1.97e+14,7864320
490,8.0133,8.0175,1.93e+14,2.01e+14,8028160
500,7.9024,8.0111,1.97e+14,2.05e+14,8192000
510,8.0204,8.0046,2.01e+14,2.09e+14,8355840
520,7.9258,7.9984,2.05e+14,2.13e+14,8519680
530,8.0308,7.9930,2.09e+14,2.17e+14,8683520
540,8.0041,7.9873,2.13e+14,2.22e+14,8847360
550,8.0452,7.9817,2.17e+14,2.26e+14,9011200
560,7.9901,7.9766,2.21e+14,2.30e+14,9175040
570,7.9591,7.9714,2.25e+14,2.34e+14,9338880
580,8.0121,7.9662,2.29e+14,2.38e+14,9502720
590,7.9959,7.9612,2.33e+14,2.42e+14,9666560
600,7.9904,7.9568,2.37e+14,2.46e+14,9830400
610,8.0163,7.9519,2.41e+14,2.50e+14,9994240
620,7.9525,7.9480,2.45e+14,2.54e+14,10158080
630,8.0056,7.9437,2.49e+14,2.59e+14,10321920
640,7.9345,7.9392,2.53e+14,2.63e+14,10485760
650,7.9191,7.9353,2.57e+14,2.67e+14,10649600
660,7.8624,7.9313,2.60e+14,2.71e+14,10813440
670,7.8873,7.9276,2.64e+14,2.75e+14,10977280
680,7.8708,7.9239,2.68e+14,2.79e+14,11141120
690,7.8956,7.9204,2.72e+14,2.83e+14,11304960
700,7.9341,7.9170,2.76e+14,2.87e+14,11468800
710,7.9634,7.9132,2.80e+14,2.91e+14,11632640
720,7.9201,7.9102,2.84e+14,2.95e+14,11796480
730,7.8854,7.9069,2.88e+14,3.00e+14,11960320
740,7.9344,7.9039,2.92e+14,3.04e+14,12124160
750,7.9300,7.9005,2.96e+14,3.08e+14,12288000
760,7.9563,7.8978,3.00e+14,3.12e+14,12451840
770,7.9384,7.8949,3.04e+14,3.16e+14,12615680
780,7.8735,7.8915,3.08e+14,3.20e+14,12779520
790,7.8307,7.8885,3.12e+14,3.24e+14,12943360
800,7.8879,7.8860,3.16e+14,3.28e+14,13107200
810,7.9314,7.8837,3.20e+14,3.32e+14,13271040
820,7.9619,7.8811,3.24e+14,3.37e+14,13434880
830,7.9882,7.8786,3.28e+14,3.41e+14,13598720
840,7.8000,7.8755,3.32e+14,3.45e+14,13762560
850,7.8446,7.8732,3.36e+14,3.49e+14,13926400
860,7.8357,7.8707,3.40e+14,3.53e+14,14090240
870,7.8869,7.8682,3.43e+14,3.57e+14,14254080
880,7.8469,7.8658,3.47e+14,3.61e+14,14417920
890,7.8051,7.8639,3.51e+14,3.65e+14,14581760
900,7.8542,7.8618,3.55e+14,3.69e+14,14745600
910,7.8918,7.8596,3.59e+14,3.73e+14,14909440
920,7.8586,7.8578,3.63e+14,3.78e+14,15073280
930,7.8793,7.8555,3.67e+14,3.82e+14,15237120
940,7.8362,7.8535,3.71e+14,3.86e+14,15400960
950,7.8751,7.8515,3.75e+14,3.90e+14,15564800
960,7.8455,7.8496,3.79e+14,3.94e+14,15728640
970,7.8274,7.8478,3.83e+14,3.98e+14,15892480
980,7.9027,7.8458,3.87e+14,4.02e+14,16056320
990,7.9326,7.8443,3.91e+14,4.06e+14,16220160
1000,7.8242,7.8426,3.95e+14,4.10e+14,16384000
1010,7.8763,7.8409,3.99e+14,4.14e+14,16547840
1020,7.8557,7.8390,4.03e+14,4.19e+14,16711680
1030,7.8706,7.8376,4.07e+14,4.23e+14,16875520
1040,7.8611,7.8357,4.11e+14,4.27e+14,17039360
1050,7.8678,7.8341,4.15e+14,4.31e+14,17203200
1060,7.8519,7.8327,4.19e+14,4.35e+14,17367040
1070,7.8842,7.8311,4.23e+14,4.39e+14,17530880
1080,7.7751,7.8293,4.26e+14,4.43e+14,17694720
1090,7.8246,7.8280,4.30e+14,4.47e+14,17858560
1100,7.8892,7.8267,4.34e+14,4.51e+14,18022400
1110,7.8348,7.8249,4.38e+14,4.56e+14,18186240
1120,7.8623,7.8235,4.42e+14,4.60e+14,18350080
1130,7.7891,7.8220,4.46e+14,4.64e+14,18513920
1140,7.7520,7.8210,4.50e+14,4.68e+14,18677760
1150,7.9031,7.8196,4.54e+14,4.72e+14,18841600
1160,7.8336,7.8184,4.58e+14,4.76e+14,19005440
1170,7.8822,7.8167,4.62e+14,4.80e+14,19169280
1180,7.8190,7.8154,4.66e+14,4.84e+14,19333120
1190,7.9176,7.8144,4.70e+14,4.88e+14,19496960
1200,7.8197,7.8127,4.74e+14,4.92e+14,19660800
1210,7.8072,7.8115,4.78e+14,4.97e+14,19824640
1220,7.8271,7.8104,4.82e+14,5.01e+14,19988480
1230,7.8200,7.8094,4.86e+14,5.05e+14,20152320
1240,7.7457,7.8077,4.90e+14,5.09e+14,20316160
1250,7.8499,7.8068,4.94e+14,5.13e+14,20480000
1260,7.7996,7.8055,4.98e+14,5.17e+14,20643840
1270,7.7709,7.8044,5.02e+14,5.21e+14,20807680
