step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.8231,10.8228,3.00e+12,3.29e+12,327680
40,10.8133,10.8097,6.17e+12,6.59e+12,655360
60,10.7919,10.7803,9.33e+12,9.88e+12,983040
80,10.7139,10.7077,1.25e+13,1.32e+13,1310720
100,10.6041,10.5947,1.57e+13,1.65e+13,1638400
120,10.4626,10.4440,1.88e+13,1.98e+13,1966080
140,10.2460,10.2406,2.20e+13,2.31e+13,2293760
160,9.9849,9.9730,2.51e+13,2.64e+13,2621440
180,9.6957,9.6652,2.83e+13,2.96e+13,2949120
200,9.4432,9.4489,3.15e+13,3.29e+13,3276800
220,9.3394,9.3116,3.46e+13,3.62e+13,3604480
240,9.2491,9.2014,3.78e+13,3.95e+13,3932160
260,9.0993,9.1186,4.09e+13,4.28e+13,4259840
280,9.0493,9.0561,4.41e+13,4.61e+13,4587520
300,9.0341,9.0040,4.73e+13,4.94e+13,4915200
320,8.9117,8.9566,5.04e+13,5.27e+13,5242880
340,8.9399,8.9132,5.36e+13,5.60e+13,5570560
360,8.8852,8.8735,5.68e+13,5.93e+13,5898240
380,8.8708,8.8374,5.99e+13,6.26e+13,6225920
400,8.8314,8.8050,6.31e+13,6.59e+13,6553600
420,8.8146,8.7760,6.62e+13,6.92e+13,6881280
440,8.7108,8.7483,6.94e+13,7.25e+13,7208960
460,8.6965,8.7234,7.26e+13,7.58e+13,7536640
480,8.7151,8.7007,7.57e+13,7.91e+13,7864320
500,8.6771,8.6805,7.89e+13,8.23e+13,8192000
520,8.6586,8.6626,8.21e+13,8.56e+13,8519680
540,8.5977,8.6454,8.52e+13,8.89e+13,8847360
560,8.6364,8.6294,8.84e+13,9.22e+13,9175040
580,8.6016,8.6150,9.15e+13,9.55e+13,9502720
600,8.6568,8.6012,9.47e+13,9.88e+13,9830400
620,8.5393,8.5883,9.79e+13,1.02e+14,10158080
640,8.5368,8.5763,1.01e+14,1.05e+14,10485760
660,8.5631,8.5652,1.04e+14,1.09e+14,10813440
680,8.4811,8.5550,1.07e+14,1.12e+14,11141120
700,8.5454,8.5451,1.11e+14,1.15e+14,11468800
720,8.4648,8.5360,1.14e+14,1.19e+14,11796480
740,8.5894,8.5279,1.17e+14,1.22e+14,12124160
760,8.5082,8.5203,1.20e+14,1.25e+14,12451840
780,8.5037,8.5130,1.23e+14,1.28e+14,12779520
800,8.4936,8.5062,1.26e+14,1.32e+14,13107200
820,8.4823,8.4999,1.29e+14,1.35e+14,13434880
840,8.4640,8.4940,1.33e+14,1.38e+14,13762560
860,8.4721,8.4884,1.36e+14,1.42e+14,14090240
880,8.5353,8.4833,1.39e+14,1.45e+14,14417920
900,8.5044,8.4786,1.42e+14,1.48e+14,14745600
920,8.5372,8.4742,1.45e+14,1.52e+14,15073280
940,8.5342,8.4702,1.48e+14,1.55e+14,15400960
960,8.4771,8.4665,1.52e+14,1.58e+14,15728640
980,8.4278,8.4628,1.55e+14,1.61e+14,16056320
1000,8.4625,8.4595,1.58e+14,1.65e+14,16384000
1020,8.5538,8.4564,1.61e+14,1.68e+14,16711680
1040,8.4661,8.4534,1.64e+14,1.71e+14,17039360
1060,8.4228,8.4507,1.67e+14,1.75e+14,17367040
1080,8.4434,8.4482,1.71e+14,1.78e+14,17694720
1100,8.4151,8.4459,1.74e+14,1.81e+14,18022400
1120,8.4683,8.4437,1.77e+14,1.84e+14,18350080
1140,8.4339,8.4418,1.80e+14,1.88e+14,18677760
1160,8.4275,8.4399,1.83e+14,1.91e+14,19005440
1180,8.4490,8.4381,1.86e+14,1.94e+14,19333120
1200,8.4920,8.4365,1.90e+14,1.98e+14,19660800
1220,8.4211,8.4350,1.93e+14,2.01e+14,19988480
1240,8.4255,8.4336,1.96e+14,2.04e+14,20316160
1260,8.4692,8.4323,1.99e+14,2.08e+14,20643840
1280,8.4395,8.4310,2.02e+14,2.11e+14,20971520
1300,8.4742,8.4299,2.05e+14,2.14e+14,21299200
1320,8.5134,8.4287,2.09e+14,2.17e+14,21626880
1340,8.4693,8.4277,2.12e+14,2.21e+14,21954560
1360,8.3947,8.4266,2.15e+14,2.24e+14,22282240
1380,8.3751,8.4257,2.18e+14,2.27e+14,22609920
