step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.5043,10.5111,2.99e+13,2.98e+13,409600
100,10.1936,10.1644,5.97e+13,5.97e+13,819200
150,9.8458,9.8449,8.96e+13,8.95e+13,1228800
200,9.5797,9.5467,1.19e+14,1.19e+14,1638400
250,9.3018,9.2563,1.49e+14,1.49e+14,2048000
300,8.9551,8.9774,1.79e+14,1.79e+14,2457600
350,8.7245,8.7168,2.09e+14,2.09e+14,2867200
400,8.4407,8.4563,2.39e+14,2.39e+14,3276800
450,8.2046,8.1816,2.69e+14,2.69e+14,3686400
500,7.9192,7.9639,2.99e+14,2.98e+14,4096000
550,7.6290,7.7525,3.28e+14,3.28e+14,4505600
600,7.4596,7.5465,3.58e+14,3.58e+14,4915200
650,7.1773,7.3094,3.88e+14,3.88e+14,5324800
700,7.0900,7.1142,4.18e+14,4.18e+14,5734400
750,7.0736,6.9542,4.48e+14,4.48e+14,6144000
800,6.7887,6.8070,4.78e+14,4.77e+14,6553600
850,6.5504,6.6644,5.08e+14,5.07e+14,6963200
900,6.4796,6.5831,5.37e+14,5.37e+14,7372800
950,6.5587,6.4661,5.67e+14,5.67e+14,7782400
1000,6.2596,6.4187,5.97e+14,5.97e+14,8192000
1050,6.2614,6.3354,6.27e+14,6.27e+14,8601600
1100,6.2092,6.2970,6.57e+14,6.56e+14,9011200
1150,6.3330,6.2499,6.87e+14,6.86e+14,9420800
1200,6.2021,6.1979,7.17e+14,7.16e+14,9830400
1250,6.0922,6.1597,7.46e+14,7.46e+14,10240000
1300,6.1724,6.1326,7.76e+14,7.76e+14,10649600
1350,6.1092,6.1178,8.06e+14,8.06e+14,11059200
1400,6.1222,6.0629,8.36e+14,8.35e+14,11468800
1450,6.1452,6.0501,8.66e+14,8.65e+14,11878400
1500,5.9070,6.0186,8.96e+14,8.95e+14,12288000
1550,5.8543,5.9854,9.26e+14,9.25e+14,12697600
1600,5.9603,5.9965,9.55e+14,9.55e+14,13107200
1650,5.9161,5.9619,9.85e+14,9.85e+14,13516800
1700,5.9668,5.9329,1.02e+15,1.01e+15,13926400
1750,5.8173,5.9327,1.04e+15,1.04e+15,14336000
1800,5.9120,5.9266,1.07e+15,1.07e+15,14745600
1850,5.9151,5.9017,1.10e+15,1.10e+15,15155200
1900,5.8728,5.8770,1.13e+15,1.13e+15,15564800
1950,5.8777,5.8839,1.16e+15,1.16e+15,15974400
2000,5.7706,5.8566,1.19e+15,1.19e+15,16384000
2050,5.8252,5.7544,1.22e+15,1.22e+15,16793600
2100,5.6348,5.7033,1.25e+15,1.25e+15,17203200
2150,5.6992,5.6980,1.28e+15,1.28e+15,17612800
2200,5.5905,5.6831,1.31e+15,1.31e+15,18022400
2250,5.6370,5.6857,1.34e+15,1.34e+15,18432000
2300,5.6383,5.6884,1.37e+15,1.37e+15,18841600
2350,5.7493,5.6601,1.40e+15,1.40e+15,19251200
2400,5.5133,5.6996,1.43e+15,1.43e+15,19660800
2450,5.6662,5.6619,1.46e+15,1.46e+15,20070400
2500,5.7480,5.6774,1.49e+15,1.49e+15,20480000
2550,5.6670,5.6416,1.52e+15,1.52e+15,20889600
2600,5.4735,5.6270,1.55e+15,1.55e+15,21299200
2650,5.5959,5.6309,1.58e+15,1.58e+15,21708800
2700,5.5513,5.6329,1.61e+15,1.61e+15,22118400
2750,5.5781,5.6186,1.64e+15,1.64e+15,22528000
2800,5.6639,5.6275,1.67e+15,1.67e+15,22937600
2850,5.6774,5.6127,1.70e+15,1.70e+15,23347200
2900,5.6232,5.5993,1.73e+15,1.73e+15,23756800
2950,5.5231,5.5674,1.76e+15,1.76e+15,24166400
3000,5.4371,5.5750,1.79e+15,1.79e+15,24576000
3050,5.3312,5.5578,1.82e+15,1.82e+15,24985600
3100,5.5320,5.5622,1.85e+15,1.85e+15,25395200
3150,5.4619,5.5465,1.88e+15,1.88e+15,25804800
3200,5.5465,5.5730,1.91e+15,1.91e+15,26214400
3250,5.3911,5.5598,1.94e+15,1.94e+15,26624000
3300,5.5581,5.5566,1.97e+15,1.97e+15,27033600
3350,5.6534,5.5278,2.00e+15,2.00e+15,27443200
3400,5.5069,5.5442,2.03e+15,2.03e+15,27852800
3450,5.4880,5.5273,2.06e+15,2.06e+15,28262400
3500,5.5095,5.5434,2.09e+15,2.09e+15,28672000
3550,5.3143,5.5314,2.12e+15,2.12e+15,29081600
3600,5.5724,5.5216,2.15e+15,2.15e+15,29491200
3650,5.3276,5.5214,2.18e+15,2.18e+15,29900800
3700,5.4295,5.5018,2.21e+15,2.21e+15,30310400
3750,5.5197,5.5008,2.24e+15,2.24e+15,30720000
3800,5.4279,5.4883,2.27e+15,2.27e+15,31129600
3850,5.5168,5.4884,2.30e+15,2.30e+15,31539200
3900,5.4212,5.4722,2.33e+15,2.33e+15,31948800
3950,5.4290,5.4912,2.36e+15,2.36e+15,32358400
4000,5.2180,5.4653,2.39e+15,2.39e+15,32768000
4050,5.2261,5.3800,2.42e+15,2.42e+15,33177600
4100,5.2286,5.3620,2.45e+15,2.45e+15,33587200
4150,5.2719,5.3535,2.48e+15,2.48e+15,33996800
4200,5.2339,5.3646,2.51e+15,2.51e+15,34406400
4250,5.2743,5.3477,2.54e+15,2.54e+15,34816000
4300,5.2592,5.3432,2.57e+15,2.57e+15,35225600
4350,5.2233,5.3532,2.60e+15,2.60e+15,35635200
4400,5.2778,5.3470,2.63e+15,2.63e+15,36044800
4450,5.2496,5.3644,2.66e+15,2.66e+15,36454400
4500,5.3874,5.3589,2.69e+15,2.69e+15,36864000
4550,5.2026,5.3653,2.72e+15,2.72e+15,37273600
4600,5.0768,5.3511,2.75e+15,2.74e+15,37683200
4650,5.1796,5.3593,2.78e+15,2.77e+15,38092800
4700,5.3856,5.3346,2.81e+15,2.80e+15,38502400
4750,5.3284,5.3470,2.84e+15,2.83e+15,38912000
4800,5.1797,5.3547,2.87e+15,2.86e+15,39321600
4850,5.2301,5.3449,2.90e+15,2.89e+15,39731200
4900,5.3304,5.3528,2.93e+15,2.92e+15,40140800
4950,5.2226,5.3569,2.96e+15,2.95e+15,40550400
5000,5.2533,5.3314,2.99e+15,2.98e+15,40960000
5050,5.3668,5.3314,3.02e+15,3.01e+15,41369600
5100,5.2637,5.3198,3.05e+15,3.04e+15,41779200
5150,5.2576,5.3524,3.08e+15,3.07e+15,42188800
5200,5.2247,5.3490,3.10e+15,3.10e+15,42598400
5250,5.2384,5.3204,3.13e+15,3.13e+15,43008000
5300,5.2313,5.3347,3.16e+15,3.16e+15,43417600
5350,5.1001,5.3310,3.19e+15,3.19e+15,43827200
5400,5.3321,5.3063,3.22e+15,3.22e+15,44236800
5450,5.2426,5.3271,3.25e+15,3.25e+15,44646400
5500,5.2186,5.3199,3.28e+15,3.28e+15,45056000
5550,5.2581,5.3293,3.31e+15,3.31e+15,45465600
5600,5.3253,5.3433,3.34e+15,3.34e+15,45875200
5650,5.2671,5.3363,3.37e+15,3.37e+15,46284800
5700,5.2359,5.3304,3.40e+15,3.40e+15,46694400
5750,5.2703,5.3071,3.43e+15,3.43e+15,47104000
5800,5.2551,5.3020,3.46e+15,3.46e+15,47513600
5850,5.2507,5.3180,3.49e+15,3.49e+15,47923200
5900,5.2660,5.3055,3.52e+15,3.52e+15,48332800
5950,5.3261,5.3432,3.55e+15,3.55e+15,48742400
6000,5.0527,5.3224,3.58e+15,3.58e+15,49152000
6050,5.2840,5.2463,3.61e+15,3.61e+15,49561600
6100,5.2159,5.2102,3.64e+15,3.64e+15,49971200
6150,5.2042,5.2250,3.67e+15,3.67e+15,50380800
6200,5.1971,5.1991,3.70e+15,3.70e+15,50790400
6250,5.1321,5.1982,3.73e+15,3.73e+15,51200000
6300,5.1164,5.1856,3.76e+15,3.76e+15,51609600
6350,5.1094,5.1954,3.79e+15,3.79e+15,52019200
6400,5.1757,5.2022,3.82e+15,3.82e+15,52428800
6450,5.1335,5.2035,3.85e+15,3.85e+15,52838400
6500,5.2314,5.2039,3.88e+15,3.88e+15,53248000
6550,5.0883,5.2003,3.91e+15,3.91e+15,53657600
6600,5.1579,5.1876,3.94e+15,3.94e+15,54067200
6650,5.1647,5.1711,3.97e+15,3.97e+15,54476800
6700,5.1089,5.1770,4.00e+15,4.00e+15,54886400
6750,5.2390,5.1963,4.03e+15,4.03e+15,55296000
6800,5.0797,5.1870,4.06e+15,4.06e+15,55705600
6850,5.2189,5.1868,4.09e+15,4.09e+15,56115200
6900,5.2372,5.1823,4.12e+15,4.12e+15,56524800
6950,5.2336,5.1957,4.15e+15,4.15e+15,56934400
7000,5.1757,5.2102,4.18e+15,4.18e+15,57344000
7050,5.0705,5.2079,4.21e+15,4.21e+15,57753600
7100,5.1288,5.2122,4.24e+15,4.24e+15,58163200
7150,5.1592,5.2291,4.27e+15,4.27e+15,58572800
7200,5.2126,5.2088,4.30e+15,4.30e+15,58982400
7250,5.2646,5.2194,4.33e+15,4.33e+15,59392000
