step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.6389,9.5882,4.03e+12,4.03e+12,409600
100,7.7556,7.6940,8.07e+12,8.07e+12,819200
150,7.2500,7.3449,1.21e+13,1.21e+13,1228800
200,6.9741,6.9988,1.61e+13,1.61e+13,1638400
250,6.7254,6.7919,2.02e+13,2.02e+13,2048000
300,6.6183,6.6438,2.42e+13,2.42e+13,2457600
350,6.4517,6.5548,2.82e+13,2.82e+13,2867200
400,6.5057,6.4622,3.23e+13,3.23e+13,3276800
450,6.3299,6.3811,3.63e+13,3.63e+13,3686400
500,6.2693,6.3280,4.03e+13,4.03e+13,4096000
550,6.2748,6.2810,4.44e+13,4.44e+13,4505600
600,6.2869,6.2382,4.84e+13,4.84e+13,4915200
650,6.2115,6.1966,5.24e+13,5.24e+13,5324800
700,6.1984,6.1680,5.65e+13,5.65e+13,5734400
750,6.0181,6.1354,6.05e+13,6.05e+13,6144000
800,5.9515,6.1161,6.45e+13,6.45e+13,6553600
850,6.1361,6.0933,6.86e+13,6.86e+13,6963200
900,5.9332,6.0758,7.26e+13,7.26e+13,7372800
950,5.9989,6.0583,7.66e+13,7.66e+13,7782400
1000,5.8654,6.0425,8.07e+13,8.07e+13,8192000
1050,5.9424,6.0226,8.47e+13,8.47e+13,8601600
1100,5.9445,6.0042,8.87e+13,8.87e+13,9011200
1150,6.0261,5.9996,9.28e+13,9.28e+13,9420800
1200,5.7923,5.9813,9.68e+13,9.68e+13,9830400
1250,5.8868,5.9680,1.01e+14,1.01e+14,10240000
1300,5.8879,5.9640,1.05e+14,1.05e+14,10649600
1350,5.9211,5.9507,1.09e+14,1.09e+14,11059200
1400,5.7881,5.9428,1.13e+14,1.13e+14,11468800
1450,5.9929,5.9333,1.17e+14,1.17e+14,11878400
1500,5.8603,5.9193,1.21e+14,1.21e+14,12288000
1550,5.8968,5.9156,1.25e+14,1.25e+14,12697600
1600,5.8166,5.9035,1.29e+14,1.29e+14,13107200
1650,5.7057,5.8969,1.33e+14,1.33e+14,13516800
1700,5.7525,5.8902,1.37e+14,1.37e+14,13926400
1750,5.8553,5.8795,1.41e+14,1.41e+14,14336000
1800,5.9016,5.8736,1.45e+14,1.45e+14,14745600
1850,5.6474,5.8714,1.49e+14,1.49e+14,15155200
1900,5.8220,5.8626,1.53e+14,1.53e+14,15564800
1950,5.6841,5.8573,1.57e+14,1.57e+14,15974400
2000,5.6508,5.8489,1.61e+14,1.61e+14,16384000
2050,5.7119,5.8423,1.65e+14,1.65e+14,16793600
2100,5.8171,5.8369,1.69e+14,1.69e+14,17203200
2150,5.8349,5.8286,1.73e+14,1.73e+14,17612800
2200,5.7980,5.8232,1.77e+14,1.77e+14,18022400
2250,5.5929,5.8177,1.82e+14,1.82e+14,18432000
2300,5.7138,5.8122,1.86e+14,1.86e+14,18841600
2350,5.8367,5.8080,1.90e+14,1.90e+14,19251200
2400,5.6934,5.8007,1.94e+14,1.94e+14,19660800
2450,5.6954,5.7974,1.98e+14,1.98e+14,20070400
2500,5.6281,5.7928,2.02e+14,2.02e+14,20480000
2550,5.6992,5.7872,2.06e+14,2.06e+14,20889600
2600,5.5986,5.7825,2.10e+14,2.10e+14,21299200
2650,5.7348,5.7781,2.14e+14,2.14e+14,21708800
2700,5.7616,5.7714,2.18e+14,2.18e+14,22118400
2750,5.5931,5.7710,2.22e+14,2.22e+14,22528000
2800,5.7055,5.7664,2.26e+14,2.26e+14,22937600
2850,5.6627,5.7614,2.30e+14,2.30e+14,23347200
2900,5.7569,5.7568,2.34e+14,2.34e+14,23756800
2950,5.6632,5.7525,2.38e+14,2.38e+14,24166400
3000,5.6559,5.7488,2.42e+14,2.42e+14,24576000
3050,5.7382,5.7464,2.46e+14,2.46e+14,24985600
3100,5.6961,5.7442,2.50e+14,2.50e+14,25395200
3150,5.5568,5.7403,2.54e+14,2.54e+14,25804800
3200,5.7469,5.7367,2.58e+14,2.58e+14,26214400
3250,5.5858,5.7349,2.62e+14,2.62e+14,26624000
3300,5.6740,5.7333,2.66e+14,2.66e+14,27033600
3350,5.6311,5.7302,2.70e+14,2.70e+14,27443200
3400,5.4747,5.7286,2.74e+14,2.74e+14,27852800
3450,5.5463,5.7266,2.78e+14,2.78e+14,28262400
3500,5.6762,5.7247,2.82e+14,2.82e+14,28672000
3550,5.5307,5.7239,2.86e+14,2.86e+14,29081600
3600,5.5449,5.7224,2.90e+14,2.90e+14,29491200
3650,5.7587,5.7197,2.94e+14,2.94e+14,29900800
