step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.7120,9.6840,1.40e+13,1.40e+13,409600
100,7.7548,7.8088,2.81e+13,2.81e+13,819200
150,7.4358,7.3730,4.21e+13,4.21e+13,1228800
200,6.8613,6.9747,5.62e+13,5.61e+13,1638400
250,6.5957,6.7224,7.02e+13,7.02e+13,2048000
300,6.5622,6.5528,8.42e+13,8.42e+13,2457600
350,6.2749,6.4213,9.83e+13,9.82e+13,2867200
400,6.1975,6.3029,1.12e+14,1.12e+14,3276800
450,6.1129,6.2280,1.26e+14,1.26e+14,3686400
500,6.0995,6.1744,1.40e+14,1.40e+14,4096000
550,6.1518,6.0898,1.54e+14,1.54e+14,4505600
600,6.0307,6.0410,1.68e+14,1.68e+14,4915200
650,5.9819,6.0067,1.83e+14,1.82e+14,5324800
700,5.8233,5.9626,1.97e+14,1.96e+14,5734400
750,5.8210,5.9152,2.11e+14,2.11e+14,6144000
800,5.8521,5.8874,2.25e+14,2.25e+14,6553600
850,5.8845,5.8660,2.39e+14,2.39e+14,6963200
900,5.8712,5.8440,2.53e+14,2.53e+14,7372800
950,5.6807,5.8094,2.67e+14,2.67e+14,7782400
1000,5.6700,5.7858,2.81e+14,2.81e+14,8192000
1050,5.7281,5.7643,2.95e+14,2.95e+14,8601600
1100,5.5967,5.7457,3.09e+14,3.09e+14,9011200
1150,5.5991,5.7377,3.23e+14,3.23e+14,9420800
1200,5.5808,5.7053,3.37e+14,3.37e+14,9830400
1250,5.6464,5.6990,3.51e+14,3.51e+14,10240000
1300,5.5127,5.6727,3.65e+14,3.65e+14,10649600
1350,5.4915,5.6427,3.79e+14,3.79e+14,11059200
1400,5.6018,5.6388,3.93e+14,3.93e+14,11468800
1450,5.4806,5.6067,4.07e+14,4.07e+14,11878400
1500,5.5896,5.5969,4.21e+14,4.21e+14,12288000
1550,5.4111,5.5843,4.35e+14,4.35e+14,12697600
1600,5.5652,5.5661,4.49e+14,4.49e+14,13107200
1650,5.4727,5.5526,4.63e+14,4.63e+14,13516800
1700,5.4279,5.5396,4.77e+14,4.77e+14,13926400
1750,5.4167,5.5312,4.91e+14,4.91e+14,14336000
1800,5.4778,5.5191,5.05e+14,5.05e+14,14745600
1850,5.3372,5.5055,5.20e+14,5.19e+14,15155200
1900,5.4566,5.4970,5.34e+14,5.33e+14,15564800
1950,5.3302,5.4870,5.48e+14,5.47e+14,15974400
2000,5.2115,5.4729,5.62e+14,5.61e+14,16384000
2050,5.2698,5.4713,5.76e+14,5.75e+14,16793600
2100,5.2881,5.4520,5.90e+14,5.89e+14,17203200
2150,5.4022,5.4556,6.04e+14,6.03e+14,17612800
2200,5.3055,5.4482,6.18e+14,6.18e+14,18022400
2250,5.3717,5.4394,6.32e+14,6.32e+14,18432000
2300,5.2447,5.4281,6.46e+14,6.46e+14,18841600
2350,5.2997,5.4241,6.60e+14,6.60e+14,19251200
2400,5.4354,5.4239,6.74e+14,6.74e+14,19660800
2450,5.3042,5.4125,6.88e+14,6.88e+14,20070400
2500,5.3845,5.4010,7.02e+14,7.02e+14,20480000
2550,5.2718,5.3937,7.16e+14,7.16e+14,20889600
2600,5.2725,5.3888,7.30e+14,7.30e+14,21299200
2650,5.3055,5.3765,7.44e+14,7.44e+14,21708800
2700,5.3531,5.3784,7.58e+14,7.58e+14,22118400
2750,5.2267,5.3771,7.72e+14,7.72e+14,22528000
2800,5.2976,5.3715,7.86e+14,7.86e+14,22937600
2850,5.1743,5.3663,8.00e+14,8.00e+14,23347200
2900,5.1827,5.3558,8.14e+14,8.14e+14,23756800
2950,5.3621,5.3502,8.28e+14,8.28e+14,24166400
3000,5.3459,5.3483,8.42e+14,8.42e+14,24576000
3050,5.2886,5.3413,8.57e+14,8.56e+14,24985600
3100,5.1579,5.3352,8.71e+14,8.70e+14,25395200
3150,5.2244,5.3327,8.85e+14,8.84e+14,25804800
3200,5.1910,5.3273,8.99e+14,8.98e+14,26214400
3250,5.2347,5.3235,9.13e+14,9.12e+14,26624000
3300,5.1669,5.3190,9.27e+14,9.26e+14,27033600
3350,5.2495,5.3211,9.41e+14,9.40e+14,27443200
3400,5.2198,5.3063,9.55e+14,9.54e+14,27852800
3450,5.2884,5.3080,9.69e+14,9.68e+14,28262400
3500,5.1673,5.3049,9.83e+14,9.82e+14,28672000
3550,5.3460,5.2975,9.97e+14,9.96e+14,29081600
3600,5.1281,5.2961,1.01e+15,1.01e+15,29491200
3650,5.1502,5.2953,1.03e+15,1.02e+15,29900800
3700,5.1188,5.2870,1.04e+15,1.04e+15,30310400
3750,5.1734,5.2828,1.05e+15,1.05e+15,30720000
3800,5.1939,5.2738,1.07e+15,1.07e+15,31129600
3850,4.9984,5.2723,1.08e+15,1.08e+15,31539200
3900,5.1776,5.2675,1.10e+15,1.09e+15,31948800
3950,5.2675,5.2591,1.11e+15,1.11e+15,32358400
4000,5.2277,5.2568,1.12e+15,1.12e+15,32768000
4050,5.1486,5.2528,1.14e+15,1.14e+15,33177600
4100,5.1994,5.2477,1.15e+15,1.15e+15,33587200
4150,5.1419,5.2429,1.17e+15,1.16e+15,33996800
4200,5.1040,5.2441,1.18e+15,1.18e+15,34406400
4250,5.0275,5.2385,1.19e+15,1.19e+15,34816000
4300,5.0059,5.2373,1.21e+15,1.21e+15,35225600
4350,5.0685,5.2328,1.22e+15,1.22e+15,35635200
4400,5.1527,5.2347,1.24e+15,1.24e+15,36044800
4450,5.1234,5.2226,1.25e+15,1.25e+15,36454400
4500,5.0362,5.2210,1.26e+15,1.26e+15,36864000
4550,5.1881,5.2215,1.28e+15,1.28e+15,37273600
4600,4.9554,5.2162,1.29e+15,1.29e+15,37683200
4650,5.0930,5.2170,1.31e+15,1.31e+15,38092800
4700,5.0088,5.2060,1.32e+15,1.32e+15,38502400
4750,5.1431,5.2074,1.33e+15,1.33e+15,38912000
4800,5.0635,5.2011,1.35e+15,1.35e+15,39321600
4850,5.0206,5.1993,1.36e+15,1.36e+15,39731200
4900,5.1519,5.1930,1.38e+15,1.38e+15,40140800
4950,5.0194,5.1861,1.39e+15,1.39e+15,40550400
5000,5.0267,5.1835,1.40e+15,1.40e+15,40960000
5050,5.0767,5.1846,1.42e+15,1.42e+15,41369600
5100,5.0545,5.1772,1.43e+15,1.43e+15,41779200
5150,5.0127,5.1730,1.45e+15,1.45e+15,42188800
5200,5.0602,5.1700,1.46e+15,1.46e+15,42598400
5250,5.0798,5.1689,1.47e+15,1.47e+15,43008000
5300,5.0979,5.1624,1.49e+15,1.49e+15,43417600
5350,4.9994,5.1631,1.50e+15,1.50e+15,43827200
5400,5.0259,5.1616,1.52e+15,1.52e+15,44236800
5450,4.8953,5.1579,1.53e+15,1.53e+15,44646400
5500,5.1249,5.1561,1.54e+15,1.54e+15,45056000
5550,4.8590,5.1543,1.56e+15,1.56e+15,45465600
5600,5.0792,5.1497,1.57e+15,1.57e+15,45875200
5650,4.9566,5.1474,1.59e+15,1.59e+15,46284800
5700,5.0649,5.1463,1.60e+15,1.60e+15,46694400
5750,4.9693,5.1338,1.61e+15,1.61e+15,47104000
5800,5.1544,5.1381,1.63e+15,1.63e+15,47513600
5850,4.9433,5.1323,1.64e+15,1.64e+15,47923200
5900,5.1027,5.1306,1.66e+15,1.66e+15,48332800
5950,4.9139,5.1216,1.67e+15,1.67e+15,48742400
6000,5.0478,5.1312,1.68e+15,1.68e+15,49152000
6050,4.9053,5.1190,1.70e+15,1.70e+15,49561600
6100,5.0134,5.1244,1.71e+15,1.71e+15,49971200
6150,5.0021,5.1170,1.73e+15,1.73e+15,50380800
6200,4.9174,5.1117,1.74e+15,1.74e+15,50790400
6250,4.9155,5.1126,1.76e+15,1.75e+15,51200000
6300,4.8870,5.1112,1.77e+15,1.77e+15,51609600
6350,4.9764,5.1060,1.78e+15,1.78e+15,52019200
6400,4.8719,5.1073,1.80e+15,1.80e+15,52428800
6450,4.9046,5.1067,1.81e+15,1.81e+15,52838400
6500,5.0854,5.0980,1.83e+15,1.82e+15,53248000
6550,4.9353,5.0957,1.84e+15,1.84e+15,53657600
6600,4.8926,5.0935,1.85e+15,1.85e+15,54067200
6650,5.0353,5.0886,1.87e+15,1.87e+15,54476800
6700,4.8875,5.0868,1.88e+15,1.88e+15,54886400
6750,4.8758,5.0869,1.90e+15,1.89e+15,55296000
6800,4.8745,5.0864,1.91e+15,1.91e+15,55705600
6850,5.0447,5.0874,1.92e+15,1.92e+15,56115200
6900,5.0314,5.0820,1.94e+15,1.94e+15,56524800
6950,4.9587,5.0821,1.95e+15,1.95e+15,56934400
7000,4.9770,5.0717,1.97e+15,1.96e+15,57344000
7050,5.0069,5.0712,1.98e+15,1.98e+15,57753600
7100,5.1197,5.0709,1.99e+15,1.99e+15,58163200
7150,4.9750,5.0683,2.01e+15,2.01e+15,58572800
7200,4.8212,5.0663,2.02e+15,2.02e+15,58982400
7250,4.9413,5.0602,2.04e+15,2.04e+15,59392000
7300,4.9950,5.0643,2.05e+15,2.05e+15,59801600
7350,5.1210,5.0591,2.06e+15,2.06e+15,60211200
7400,4.8887,5.0574,2.08e+15,2.08e+15,60620800
7450,4.9616,5.0557,2.09e+15,2.09e+15,61030400
7500,4.8170,5.0502,2.11e+15,2.11e+15,61440000
7550,4.8793,5.0497,2.12e+15,2.12e+15,61849600
7600,4.8934,5.0455,2.13e+15,2.13e+15,62259200
7650,5.0044,5.0469,2.15e+15,2.15e+15,62668800
7700,4.9780,5.0429,2.16e+15,2.16e+15,63078400
7750,4.9298,5.0415,2.18e+15,2.18e+15,63488000
7800,4.8999,5.0363,2.19e+15,2.19e+15,63897600
7850,4.9076,5.0357,2.20e+15,2.20e+15,64307200
7900,4.8036,5.0304,2.22e+15,2.22e+15,64716800
7950,4.9696,5.0325,2.23e+15,2.23e+15,65126400
8000,4.8735,5.0235,2.25e+15,2.25e+15,65536000
8050,4.9644,5.0265,2.26e+15,2.26e+15,65945600
8100,4.9397,5.0193,2.27e+15,2.27e+15,66355200
8150,4.8943,5.0195,2.29e+15,2.29e+15,66764800
8200,4.8694,5.0189,2.30e+15,2.30e+15,67174400
8250,4.9415,5.0139,2.32e+15,2.32e+15,67584000
