step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.7119,9.6839,1.40e+13,1.40e+13,409600
100,7.7541,7.8082,2.81e+13,2.81e+13,819200
150,7.4296,7.3695,4.21e+13,4.21e+13,1228800
200,6.8629,6.9734,5.62e+13,5.61e+13,1638400
250,6.5971,6.7299,7.02e+13,7.02e+13,2048000
300,6.5707,6.5482,8.42e+13,8.42e+13,2457600
350,6.2691,6.4118,9.83e+13,9.82e+13,2867200
400,6.2051,6.3017,1.12e+14,1.12e+14,3276800
450,6.1079,6.2238,1.26e+14,1.26e+14,3686400
500,6.0856,6.1705,1.40e+14,1.40e+14,4096000
550,6.1453,6.0884,1.54e+14,1.54e+14,4505600
600,6.0315,6.0377,1.68e+14,1.68e+14,4915200
650,5.9871,6.0060,1.83e+14,1.82e+14,5324800
700,5.8183,5.9606,1.97e+14,1.96e+14,5734400
750,5.8192,5.9182,2.11e+14,2.11e+14,6144000
800,5.8446,5.8900,2.25e+14,2.25e+14,6553600
850,5.8769,5.8676,2.39e+14,2.39e+14,6963200
900,5.8689,5.8382,2.53e+14,2.53e+14,7372800
950,5.6702,5.8025,2.67e+14,2.67e+14,7782400
1000,5.6746,5.7877,2.81e+14,2.81e+14,8192000
1050,5.7215,5.7565,2.95e+14,2.95e+14,8601600
1100,5.6026,5.7408,3.09e+14,3.09e+14,9011200
1150,5.5913,5.7302,3.23e+14,3.23e+14,9420800
1200,5.5787,5.7008,3.37e+14,3.37e+14,9830400
1250,5.6348,5.6871,3.51e+14,3.51e+14,10240000
1300,5.5074,5.6665,3.65e+14,3.65e+14,10649600
1350,5.4904,5.6372,3.79e+14,3.79e+14,11059200
1400,5.5990,5.6340,3.93e+14,3.93e+14,11468800
1450,5.4685,5.6009,4.07e+14,4.07e+14,11878400
1500,5.5813,5.5884,4.21e+14,4.21e+14,12288000
1550,5.4150,5.5716,4.35e+14,4.35e+14,12697600
1600,5.5655,5.5544,4.49e+14,4.49e+14,13107200
1650,5.4622,5.5413,4.63e+14,4.63e+14,13516800
1700,5.4248,5.5344,4.77e+14,4.77e+14,13926400
1750,5.4023,5.5204,4.91e+14,4.91e+14,14336000
1800,5.4633,5.5013,5.05e+14,5.05e+14,14745600
1850,5.3423,5.4959,5.20e+14,5.19e+14,15155200
1900,5.4415,5.4843,5.34e+14,5.33e+14,15564800
1950,5.3250,5.4784,5.48e+14,5.47e+14,15974400
2000,5.2037,5.4639,5.62e+14,5.61e+14,16384000
2050,5.2608,5.4589,5.76e+14,5.75e+14,16793600
2100,5.2874,5.4436,5.90e+14,5.89e+14,17203200
2150,5.3900,5.4432,6.04e+14,6.03e+14,17612800
2200,5.3025,5.4376,6.18e+14,6.18e+14,18022400
2250,5.3591,5.4222,6.32e+14,6.32e+14,18432000
2300,5.2381,5.4149,6.46e+14,6.46e+14,18841600
2350,5.3058,5.4085,6.60e+14,6.60e+14,19251200
2400,5.4276,5.4115,6.74e+14,6.74e+14,19660800
2450,5.2889,5.3965,6.88e+14,6.88e+14,20070400
2500,5.3691,5.3844,7.02e+14,7.02e+14,20480000
2550,5.2620,5.3763,7.16e+14,7.16e+14,20889600
2600,5.2760,5.3740,7.30e+14,7.30e+14,21299200
2650,5.2787,5.3638,7.44e+14,7.44e+14,21708800
2700,5.3599,5.3630,7.58e+14,7.58e+14,22118400
2750,5.2065,5.3593,7.72e+14,7.72e+14,22528000
2800,5.2768,5.3543,7.86e+14,7.86e+14,22937600
2850,5.1556,5.3460,8.00e+14,8.00e+14,23347200
2900,5.1934,5.3386,8.14e+14,8.14e+14,23756800
2950,5.3491,5.3342,8.28e+14,8.28e+14,24166400
3000,5.3419,5.3321,8.42e+14,8.42e+14,24576000
3050,5.2608,5.3239,8.57e+14,8.56e+14,24985600
3100,5.1546,5.3189,8.71e+14,8.70e+14,25395200
3150,5.1998,5.3147,8.85e+14,8.84e+14,25804800
3200,5.1650,5.3106,8.99e+14,8.98e+14,26214400
3250,5.2371,5.3036,9.13e+14,9.12e+14,26624000
3300,5.1459,5.3001,9.27e+14,9.26e+14,27033600
3350,5.2352,5.3036,9.41e+14,9.40e+14,27443200
3400,5.1883,5.2927,9.55e+14,9.54e+14,27852800
3450,5.2923,5.2879,9.69e+14,9.68e+14,28262400
3500,5.1417,5.2859,9.83e+14,9.82e+14,28672000
3550,5.3363,5.2803,9.97e+14,9.96e+14,29081600
3600,5.1163,5.2769,1.01e+15,1.01e+15,29491200
3650,5.1207,5.2783,1.03e+15,1.02e+15,29900800
3700,5.1158,5.2720,1.04e+15,1.04e+15,30310400
3750,5.1578,5.2690,1.05e+15,1.05e+15,30720000
3800,5.1661,5.2571,1.07e+15,1.07e+15,31129600
3850,4.9917,5.2596,1.08e+15,1.08e+15,31539200
3900,5.1656,5.2564,1.10e+15,1.09e+15,31948800
3950,5.2516,5.2440,1.11e+15,1.11e+15,32358400
4000,5.2187,5.2397,1.12e+15,1.12e+15,32768000
4050,5.1469,5.2345,1.14e+15,1.14e+15,33177600
4100,5.1795,5.2333,1.15e+15,1.15e+15,33587200
4150,5.1490,5.2271,1.17e+15,1.16e+15,33996800
4200,5.0885,5.2299,1.18e+15,1.18e+15,34406400
4250,5.0063,5.2263,1.19e+15,1.19e+15,34816000
4300,4.9779,5.2196,1.21e+15,1.21e+15,35225600
4350,5.0582,5.2218,1.22e+15,1.22e+15,35635200
4400,5.1381,5.2193,1.24e+15,1.24e+15,36044800
4450,5.1199,5.2074,1.25e+15,1.25e+15,36454400
4500,5.0296,5.2110,1.26e+15,1.26e+15,36864000
4550,5.1657,5.2090,1.28e+15,1.28e+15,37273600
4600,4.9655,5.2038,1.29e+15,1.29e+15,37683200
4650,5.0902,5.2017,1.31e+15,1.31e+15,38092800
4700,5.0045,5.1920,1.32e+15,1.32e+15,38502400
4750,5.1359,5.1927,1.33e+15,1.33e+15,38912000
4800,5.0463,5.1862,1.35e+15,1.35e+15,39321600
4850,5.0158,5.1846,1.36e+15,1.36e+15,39731200
4900,5.1302,5.1777,1.38e+15,1.38e+15,40140800
4950,4.9909,5.1758,1.39e+15,1.39e+15,40550400
5000,5.0241,5.1715,1.40e+15,1.40e+15,40960000
5050,5.0639,5.1710,1.42e+15,1.42e+15,41369600
5100,5.0302,5.1627,1.43e+15,1.43e+15,41779200
5150,5.0007,5.1625,1.45e+15,1.45e+15,42188800
5200,5.0514,5.1590,1.46e+15,1.46e+15,42598400
5250,5.0729,5.1576,1.47e+15,1.47e+15,43008000
5300,5.0995,5.1542,1.49e+15,1.49e+15,43417600
5350,4.9920,5.1525,1.50e+15,1.50e+15,43827200
5400,5.0002,5.1494,1.52e+15,1.52e+15,44236800
5450,4.8845,5.1473,1.53e+15,1.53e+15,44646400
5500,5.1040,5.1466,1.54e+15,1.54e+15,45056000
5550,4.8473,5.1434,1.56e+15,1.56e+15,45465600
5600,5.0650,5.1381,1.57e+15,1.57e+15,45875200
5650,4.9360,5.1369,1.59e+15,1.59e+15,46284800
5700,5.0528,5.1339,1.60e+15,1.60e+15,46694400
5750,4.9431,5.1247,1.61e+15,1.61e+15,47104000
5800,5.1307,5.1221,1.63e+15,1.63e+15,47513600
5850,4.9199,5.1209,1.64e+15,1.64e+15,47923200
5900,5.0793,5.1198,1.66e+15,1.66e+15,48332800
5950,4.8937,5.1129,1.67e+15,1.67e+15,48742400
6000,5.0381,5.1166,1.68e+15,1.68e+15,49152000
6050,4.8875,5.1098,1.70e+15,1.70e+15,49561600
6100,5.0000,5.1146,1.71e+15,1.71e+15,49971200
6150,4.9894,5.1075,1.73e+15,1.73e+15,50380800
6200,4.9124,5.1020,1.74e+15,1.74e+15,50790400
6250,4.8942,5.1041,1.76e+15,1.75e+15,51200000
6300,4.8802,5.0997,1.77e+15,1.77e+15,51609600
6350,4.9775,5.0980,1.78e+15,1.78e+15,52019200
6400,4.8519,5.0976,1.80e+15,1.80e+15,52428800
6450,4.9042,5.0981,1.81e+15,1.81e+15,52838400
6500,5.0624,5.0909,1.83e+15,1.82e+15,53248000
6550,4.9264,5.0880,1.84e+15,1.84e+15,53657600
6600,4.8737,5.0867,1.85e+15,1.85e+15,54067200
6650,5.0171,5.0810,1.87e+15,1.87e+15,54476800
6700,4.8846,5.0788,1.88e+15,1.88e+15,54886400
6750,4.8669,5.0797,1.90e+15,1.89e+15,55296000
6800,4.8685,5.0801,1.91e+15,1.91e+15,55705600
6850,5.0273,5.0753,1.92e+15,1.92e+15,56115200
6900,5.0238,5.0725,1.94e+15,1.94e+15,56524800
6950,4.9308,5.0733,1.95e+15,1.95e+15,56934400
7000,4.9645,5.0653,1.97e+15,1.96e+15,57344000
7050,5.0065,5.0645,1.98e+15,1.98e+15,57753600
7100,5.1090,5.0636,1.99e+15,1.99e+15,58163200
7150,4.9679,5.0631,2.01e+15,2.01e+15,58572800
7200,4.7976,5.0607,2.02e+15,2.02e+15,58982400
7250,4.9393,5.0557,2.04e+15,2.04e+15,59392000
7300,4.9811,5.0574,2.05e+15,2.05e+15,59801600
7350,5.1121,5.0556,2.06e+15,2.06e+15,60211200
7400,4.8776,5.0507,2.08e+15,2.08e+15,60620800
7450,4.9530,5.0527,2.09e+15,2.09e+15,61030400
7500,4.8035,5.0438,2.11e+15,2.11e+15,61440000
7550,4.8626,5.0445,2.12e+15,2.12e+15,61849600
7600,4.8866,5.0387,2.13e+15,2.13e+15,62259200
7650,4.9888,5.0373,2.15e+15,2.15e+15,62668800
7700,4.9868,5.0365,2.16e+15,2.16e+15,63078400
7750,4.9242,5.0363,2.18e+15,2.18e+15,63488000
7800,4.8891,5.0309,2.19e+15,2.19e+15,63897600
7850,4.8822,5.0308,2.20e+15,2.20e+15,64307200
7900,4.8008,5.0300,2.22e+15,2.22e+15,64716800
7950,4.9523,5.0261,2.23e+15,2.23e+15,65126400
8000,4.8667,5.0216,2.25e+15,2.25e+15,65536000
8050,4.9627,5.0243,2.26e+15,2.26e+15,65945600
8100,4.9282,5.0212,2.27e+15,2.27e+15,66355200
8150,4.8948,5.0167,2.29e+15,2.29e+15,66764800
8200,4.8678,5.0159,2.30e+15,2.30e+15,67174400
8250,4.9318,5.0135,2.32e+15,2.32e+15,67584000
8300,4.8335,5.0107,2.33e+15,2.33e+15,67993600
8350,4.8787,5.0107,2.34e+15,2.34e+15,68403200
8400,4.9968,5.0055,2.36e+15,2.36e+15,68812800
8450,4.8067,5.0040,2.37e+15,2.37e+15,69222400
8500,5.0111,5.0047,2.39e+15,2.39e+15,69632000
8550,4.8270,5.0012,2.40e+15,2.40e+15,70041600
8600,4.8820,4.9992,2.42e+15,2.41e+15,70451200
8650,4.9350,4.9972,2.43e+15,2.43e+15,70860800
8700,4.9725,4.9952,2.44e+15,2.44e+15,71270400
8750,4.9860,4.9938,2.46e+15,2.46e+15,71680000
8800,4.9763,4.9917,2.47e+15,2.47e+15,72089600
8850,4.8827,4.9892,2.49e+15,2.48e+15,72499200
8900,4.8140,4.9857,2.50e+15,2.50e+15,72908800
8950,4.9454,4.9844,2.51e+15,2.51e+15,73318400
9000,4.9232,4.9812,2.53e+15,2.53e+15,73728000
9050,4.8487,4.9804,2.54e+15,2.54e+15,74137600
