step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.0705,10.0364,1.62e+13,1.65e+13,1310720
40,9.5081,9.4562,3.25e+13,3.30e+13,2621440
60,8.8241,8.7726,4.87e+13,4.95e+13,3932160
80,8.0326,8.0209,6.50e+13,6.61e+13,5242880
100,7.6789,7.7236,8.12e+13,8.26e+13,6553600
120,7.5009,7.5095,9.75e+13,9.91e+13,7864320
140,7.3404,7.3406,1.14e+14,1.16e+14,9175040
160,7.3114,7.2633,1.30e+14,1.32e+14,10485760
180,7.1386,7.1738,1.46e+14,1.49e+14,11796480
200,7.1665,7.1418,1.62e+14,1.65e+14,13107200
220,7.0737,7.1086,1.79e+14,1.82e+14,14417920
240,7.1153,7.0781,1.95e+14,1.98e+14,15728640
260,7.1162,7.0448,2.11e+14,2.15e+14,17039360
280,6.9900,7.0196,2.27e+14,2.31e+14,18350080
300,6.9921,6.9896,2.44e+14,2.48e+14,19660800
320,6.9539,6.9615,2.60e+14,2.64e+14,20971520
340,6.9674,6.9397,2.76e+14,2.81e+14,22282240
360,6.9094,6.9132,2.92e+14,2.97e+14,23592960
380,6.8858,6.8944,3.09e+14,3.14e+14,24903680
400,6.8594,6.8755,3.25e+14,3.30e+14,26214400
420,6.8669,6.8569,3.41e+14,3.47e+14,27525120
440,6.8495,6.8393,3.57e+14,3.63e+14,28835840
460,6.8471,6.8240,3.74e+14,3.80e+14,30146560
480,6.8122,6.8100,3.90e+14,3.96e+14,31457280
500,6.7933,6.7959,4.06e+14,4.13e+14,32768000
