step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,nan,nan,7.75e+12,8.11e+12,409600
100,nan,nan,1.57e+13,1.62e+13,819200
150,nan,nan,2.36e+13,2.43e+13,1228800
200,nan,nan,3.15e+13,3.24e+13,1638400
250,nan,nan,3.94e+13,4.06e+13,2048000
300,nan,nan,4.73e+13,4.87e+13,2457600
350,nan,nan,5.52e+13,5.68e+13,2867200
400,nan,nan,6.31e+13,6.49e+13,3276800
450,nan,nan,7.10e+13,7.30e+13,3686400
500,nan,nan,7.89e+13,8.11e+13,4096000
550,nan,nan,8.68e+13,8.92e+13,4505600
600,nan,nan,9.47e+13,9.73e+13,4915200
650,nan,nan,1.03e+14,1.05e+14,5324800
700,nan,nan,1.11e+14,1.14e+14,5734400
750,nan,nan,1.18e+14,1.22e+14,6144000
800,nan,nan,1.26e+14,1.30e+14,6553600
850,nan,nan,1.34e+14,1.38e+14,6963200
900,nan,nan,1.42e+14,1.46e+14,7372800
950,nan,nan,1.50e+14,1.54e+14,7782400
1000,nan,nan,1.58e+14,1.62e+14,8192000
1050,nan,nan,1.66e+14,1.70e+14,8601600
1100,nan,nan,1.74e+14,1.78e+14,9011200
1150,nan,nan,1.82e+14,1.87e+14,9420800
1200,nan,nan,1.90e+14,1.95e+14,9830400
1250,nan,nan,1.97e+14,2.03e+14,10240000
1300,nan,nan,2.05e+14,2.11e+14,10649600
1350,nan,nan,2.13e+14,2.19e+14,11059200
1400,nan,nan,2.21e+14,2.27e+14,11468800
1450,nan,nan,2.29e+14,2.35e+14,11878400
1500,nan,nan,2.37e+14,2.43e+14,12288000
1550,nan,nan,2.45e+14,2.51e+14,12697600
1600,nan,nan,2.53e+14,2.60e+14,13107200
1650,nan,nan,2.61e+14,2.68e+14,13516800
1700,nan,nan,2.69e+14,2.76e+14,13926400
1750,nan,nan,2.77e+14,2.84e+14,14336000
1800,nan,nan,2.84e+14,2.92e+14,14745600
1850,nan,nan,2.92e+14,3.00e+14,15155200
1900,nan,nan,3.00e+14,3.08e+14,15564800
1950,nan,nan,3.08e+14,3.16e+14,15974400
2000,nan,nan,3.16e+14,3.24e+14,16384000
2050,nan,nan,3.24e+14,3.33e+14,16793600
2100,nan,nan,3.32e+14,3.41e+14,17203200
2150,nan,nan,3.40e+14,3.49e+14,17612800
2200,nan,nan,3.48e+14,3.57e+14,18022400
2250,nan,nan,3.56e+14,3.65e+14,18432000
2300,nan,nan,3.63e+14,3.73e+14,18841600
2350,nan,nan,3.71e+14,3.81e+14,19251200
2400,nan,nan,3.79e+14,3.89e+14,19660800
2450,nan,nan,3.87e+14,3.97e+14,20070400
2500,nan,nan,3.95e+14,4.06e+14,20480000
2550,nan,nan,4.03e+14,4.14e+14,20889600
2600,nan,nan,4.11e+14,4.22e+14,21299200
2650,nan,nan,4.19e+14,4.30e+14,21708800
2700,nan,nan,4.27e+14,4.38e+14,22118400
2750,nan,nan,4.35e+14,4.46e+14,22528000
2800,nan,nan,4.43e+14,4.54e+14,22937600
2850,nan,nan,4.50e+14,4.62e+14,23347200
2900,nan,nan,4.58e+14,4.70e+14,23756800
2950,nan,nan,4.66e+14,4.78e+14,24166400
3000,nan,nan,4.74e+14,4.87e+14,24576000
3050,nan,nan,4.82e+14,4.95e+14,24985600
3100,nan,nan,4.90e+14,5.03e+14,25395200
3150,nan,nan,4.98e+14,5.11e+14,25804800
3200,nan,nan,5.06e+14,5.19e+14,26214400
3250,nan,nan,5.14e+14,5.27e+14,26624000
3300,nan,nan,5.22e+14,5.35e+14,27033600
3350,nan,nan,5.29e+14,5.43e+14,27443200
3400,nan,nan,5.37e+14,5.51e+14,27852800
3450,nan,nan,5.45e+14,5.60e+14,28262400
3500,nan,nan,5.53e+14,5.68e+14,28672000
3550,nan,nan,5.61e+14,5.76e+14,29081600
3600,nan,nan,5.69e+14,5.84e+14,29491200
3650,nan,nan,5.77e+14,5.92e+14,29900800
3700,nan,nan,5.85e+14,6.00e+14,30310400
3750,nan,nan,5.93e+14,6.08e+14,30720000
3800,nan,nan,6.01e+14,6.16e+14,31129600
3850,nan,nan,6.09e+14,6.24e+14,31539200
3900,nan,nan,6.16e+14,6.33e+14,31948800
3950,nan,nan,6.24e+14,6.41e+14,32358400
4000,nan,nan,6.32e+14,6.49e+14,32768000
4050,nan,nan,6.40e+14,6.57e+14,33177600
4100,nan,nan,6.48e+14,6.65e+14,33587200
4150,nan,nan,6.56e+14,6.73e+14,33996800
4200,nan,nan,6.64e+14,6.81e+14,34406400
4250,nan,nan,6.72e+14,6.89e+14,34816000
4300,nan,nan,6.80e+14,6.97e+14,35225600
4350,nan,nan,6.88e+14,7.06e+14,35635200
4400,nan,nan,6.95e+14,7.14e+14,36044800
4450,nan,nan,7.03e+14,7.22e+14,36454400
4500,nan,nan,7.11e+14,7.30e+14,36864000
4550,nan,nan,7.19e+14,7.38e+14,37273600
4600,nan,nan,7.27e+14,7.46e+14,37683200
4650,nan,nan,7.35e+14,7.54e+14,38092800
4700,nan,nan,7.43e+14,7.62e+14,38502400
4750,nan,nan,7.51e+14,7.70e+14,38912000
4800,nan,nan,7.59e+14,7.79e+14,39321600
4850,nan,nan,7.67e+14,7.87e+14,39731200
4900,nan,nan,7.75e+14,7.95e+14,40140800
4950,nan,nan,7.82e+14,8.03e+14,40550400
5000,nan,nan,7.90e+14,8.11e+14,40960000
5050,nan,nan,7.98e+14,8.19e+14,41369600
5100,nan,nan,8.06e+14,8.27e+14,41779200
5150,nan,nan,8.14e+14,8.35e+14,42188800
5200,nan,nan,8.22e+14,8.43e+14,42598400
5250,nan,nan,8.30e+14,8.52e+14,43008000
5300,nan,nan,8.38e+14,8.60e+14,43417600
5350,nan,nan,8.46e+14,8.68e+14,43827200
5400,nan,nan,8.54e+14,8.76e+14,44236800
5450,nan,nan,8.61e+14,8.84e+14,44646400
5500,nan,nan,8.69e+14,8.92e+14,45056000
5550,nan,nan,8.77e+14,9.00e+14,45465600
5600,nan,nan,8.85e+14,9.08e+14,45875200
5650,nan,nan,8.93e+14,9.16e+14,46284800
5700,nan,nan,9.01e+14,9.25e+14,46694400
5750,nan,nan,9.09e+14,9.33e+14,47104000
5800,nan,nan,9.17e+14,9.41e+14,47513600
5850,nan,nan,9.25e+14,9.49e+14,47923200
5900,nan,nan,9.33e+14,9.57e+14,48332800
5950,nan,nan,9.41e+14,9.65e+14,48742400
6000,nan,nan,9.48e+14,9.73e+14,49152000
6050,nan,nan,9.56e+14,9.81e+14,49561600
6100,nan,nan,9.64e+14,9.89e+14,49971200
6150,nan,nan,9.72e+14,9.98e+14,50380800
6200,nan,nan,9.80e+14,1.01e+15,50790400
6250,nan,nan,9.88e+14,1.01e+15,51200000
6300,nan,nan,9.96e+14,1.02e+15,51609600
6350,nan,nan,1.00e+15,1.03e+15,52019200
6400,nan,nan,1.01e+15,1.04e+15,52428800
6450,nan,nan,1.02e+15,1.05e+15,52838400
6500,nan,nan,1.03e+15,1.05e+15,53248000
6550,nan,nan,1.04e+15,1.06e+15,53657600
6600,nan,nan,1.04e+15,1.07e+15,54067200
6650,nan,nan,1.05e+15,1.08e+15,54476800
6700,nan,nan,1.06e+15,1.09e+15,54886400
6750,nan,nan,1.07e+15,1.09e+15,55296000
6800,nan,nan,1.07e+15,1.10e+15,55705600
6850,nan,nan,1.08e+15,1.11e+15,56115200
6900,nan,nan,1.09e+15,1.12e+15,56524800
6950,nan,nan,1.10e+15,1.13e+15,56934400
7000,nan,nan,1.11e+15,1.14e+15,57344000
7050,nan,nan,1.11e+15,1.14e+15,57753600
7100,nan,nan,1.12e+15,1.15e+15,58163200
7150,nan,nan,1.13e+15,1.16e+15,58572800
7200,nan,nan,1.14e+15,1.17e+15,58982400
7250,nan,nan,1.15e+15,1.18e+15,59392000
7300,nan,nan,1.15e+15,1.18e+15,59801600
7350,nan,nan,1.16e+15,1.19e+15,60211200
7400,nan,nan,1.17e+15,1.20e+15,60620800
7450,nan,nan,1.18e+15,1.21e+15,61030400
7500,nan,nan,1.19e+15,1.22e+15,61440000
7550,nan,nan,1.19e+15,1.22e+15,61849600
7600,nan,nan,1.20e+15,1.23e+15,62259200
7650,nan,nan,1.21e+15,1.24e+15,62668800
